Name,Country,Position,Born
Kerima Abane,Tunisia,Forward,03/01/1989
Murat AdigÃ¼zel,Turkey,Forward,15/01/1992
Assen Alexov,Bulgaria,Goalkeeper,24/06/1987
Henry Alika,Nigeria,Defender,15/10/1987
Tayfun Altin,Germany,Goalkeeper,20/09/1995
Benjamin Arnold,Germany,Midfielder,25/09/1995
Ryan Asare-Bediako,USA,Midfielder,10/10/1990
Miguel-Kfulu Augusto,Germany,Midfielder,05/10/1995
Yannick Bach,Germany,Midfielder,21/05/1991
Andreas Backmann,Germany,Defender,30/06/1976
Nassim Banouas,Germany,Defender,08/09/1986
Florian Bauer,Germany,Forward,02/03/1988
Jaba Bebua,Georgia,Midfielder,15/07/1986
Boris Becker,Germany,Defender,09/02/1991
Johann Bernard,France,Forward,13/03/1986
Michael Berndt,Germany,Midfielder,14/12/1978
Burak Bilaloglu,Turkey,Midfielder,19/07/1997
Murat Bildirici,Germany,Midfielder,20/02/1993
Alexander Bisorca,Germany,Forward,08/05/1987
Mirko Bitzer,Germany,Goalkeeper,05/04/1974
Hans Bodmer,Germany,Goalkeeper,
Adam Bouzid,France,Midfielder,30/11/1987
Nikko Boxall,New Zealand,Defender,24/02/1992
Heiko Brunck,Germany,Defender,02/01/1987
Tobias Buch,Germany,Goalkeeper,23/03/1992
Jean-Michel Caillas,Germany,Goalkeeper,14/12/1982
Ivo Caput,Croatia,Forward,15/02/1993
Rudy Carlier,France,Forward,19/01/1986
Alexander CondÃ©,Germany,Midfielder,30/06/1981
Florian Cordier,Germany,Midfielder,01/02/1986
Ernes Custic,Bosnia-Herzegovina,Midfielder,31/10/1984
Rufat Dadashov,Azerbaijan,Forward,29/09/1991
Valdrin Dakaj,Germany,Forward,02/09/1996
Felix Dausend,Germany,Forward,01/11/1988
Brandon Diau,Congo,Defender,02/06/1993
Mario Diehl,Germany,Midfielder,28/03/1989
Andrei-Mihail Dufour,Germany,Midfielder,22/03/1992
Lukas Ehlert,Germany,Forward,04/06/1993
Mounhim El Gourari,France,Midfielder,12/06/1991
Sayfedine El Khadem,Germany,Midfielder,23/04/1995
