Name,Country,Position,Born
Wahidou Abdul,,Midfielder,25/12/1996
Xander Abdul,Ghana,Defender,19/06/1995
Samer Aio,Germany,Forward,01/10/1994
Ismet Akman,Germany,Forward,11/12/1995
Marc Albrecht,Germany,Midfielder,02/03/1986
Hakan Atasoy,Germany,Forward,21/01/1984
Terence Baah,Ghana,Midfielder,21/04/1990
Ibrahim Bamba,France,Midfielder,29/06/1997
Tobias Beck,Germany,Goalkeeper,29/09/1992
Neil Bertram,Germany,Defender,
Niclas Bertram,Germany,Defender,28/11/1991
Iman Bi-Ria,Iran,Forward,30/06/1984
Dean Calvin Bier,Germany,Midfielder,30/11/1990
Lucca Biermann,Spain,Forward,19/09/1996
Inouss Bourai TourÃ©,Germany,Defender,07/08/1990
Arbnor Brahimi,Germany,Forward,22/10/1997
Yannik BrÃ¼ggemann,Germany,Midfielder,
Necati Bulduk,Turkey,Midfielder,
Michael Busche,Germany,Midfielder,
Alptug Caglar,Turkey,Defender,07/02/1976
Cansin Cetin,Germany,Forward,10/10/1990
Eun-Suk Chung,South Korea,Forward,19/01/1995
Ischo Cicek,Turkey,Midfielder,10/10/1983
Doguhan Cigdem,Germany,Defender,
Jari Dammasch,Germany,Midfielder,
AndrÃ© David,Germany,Forward,22/08/1995
Clifford Degraft,Germany,Midfielder,21/07/1994
Semih Demir,Turkey,Midfielder,22/01/1994
Zazan Demir-Ackerschott,Germany,Midfielder,
Ahmet Derin,Germany,Midfielder,18/03/1992
Okan Derin,Turkey,Midfielder,27/08/1992
Keno Djuren,Germany,Midfielder,07/07/1992
Ahmet Dogmus,Turkey,Defender,16/08/1982
Jonas Duhm,Germany,Goalkeeper,
Nico Eichhorn,Germany,Forward,
Mohamed Eke,Germany,Midfielder,
Ali El-Sater,Lebanon,Forward,12/09/1994
Marek Entelmann,Germany,Midfielder,
Ahmet-Furkan Er,Germany,Midfielder,
Bayram ErdoÄan,Turkey,Midfielder,10/02/1982
Serkan ErdoÄan,Turkey,Defender,13/10/1978
Mehmet Ali Eslikizi,Germany,Midfielder,2000
Fabricio,Germany,Forward,14/01/1990
Aaron Gallinger,Germany,Midfielder,
Henry Garbrecht,Germany,Forward,25/10/1994
Alexander Garuba,Germany,Forward,01/05/1995
Marcel GaytÃ¡n,Germany,Midfielder,28/07/1992
Mathew GaytÃ¡n,Germany,Midfielder,11/07/1993
Oliver Gerth,Germany,Defender,04/03/1986
Cavit GÃ¶kce,Turkey,Midfielder,01/09/1994
Daniel GrÃ¤ser,Germany,Goalkeeper,
Adrian GrÃ¼ner,Germany,Defender,01/01/1987
David GrÃ¼ner,Germany,Midfielder,01/01/1987
Altan GÃ¼ler,Turkey,Midfielder,11/11/1995
Jarmo Haesloop,Germany,Defender,12/06/1994
David Haskamp,Germany,Defender,19/05/1992
Jannik Haskamp,Germany,Defender,
Joris Hilgerloh,Germany,Defender,
Felix Hinrichs,Germany,Defender,
Johannes Ibelherr,Germany,Defender,09/05/1986
Cevdet Ildas,Germany,Defender,26/04/1996
Niklas Isserstedt,Germany,Midfielder,1998
Fabian Istefo,Germany,Midfielder,29/10/1993
Franck Jache,Germany,Midfielder,
Dominic JÃ¤ger,Germany,Midfielder,20/08/1992
Amadou Jaiteh,Germany,Forward,17/11/1994
Lamin Jallow,Germany,Midfielder,02/06/1998
Patrick Jentsch,Germany,Midfielder,
Sam Johnson,Germany,Defender,01/10/1995
Malte Kahl,Germany,Defender,
Robin Kalbhenn,Germany,Forward,
Ahmet Kale,Germany,Midfielder,28/03/1991
Ioannis Karagiannidis,Germany,Midfielder,07/07/1989
Atakan KarakoÃ§,Germany,Midfielder,
Sergej Kavun,Germany,Defender,1996
Ercan Kaya,Germany,Midfielder,13/01/1985
Daniel Kazmierczak,Germany,Defender,20/05/1994
Bahadir Kilickeser,Germany,Goalkeeper,21/11/1978
