Name,Country,Position,Born
Darren Adams,England,Defender,12/01/1974
Moses Ademola,England,Forward,18/07/1989
Adriano Basso,Brazil,Goalkeeper,18/04/1975
Reuben Agboola,Nigeria,Defender,30/05/1962
Jimmy Aggrey,England,Defender,26/10/1978
Nassim Akrour,Algeria,Forward,10/07/1974
Reise Allassani,England,Forward,03/01/1996
Anthony Allman,England,Midfielder,14/12/1980
Ricky Anane,England,Defender,18/02/1989
Joe Anderson,England,Defender,13/10/1989
Declan Appau,England,Midfielder,13/07/1999
Nick Arnold,England,Defender,01/03/1991
Harry Arter,Ireland,Midfielder,28/12/1989
Chris Arthur,England,Midfielder,25/01/1990
Dean Austin,England,Defender,26/04/1970
Samuel Aziz,Sweden,Forward,05/07/1991
Nicky Banger,England,Forward,25/04/1971
Jason Banton,England,Midfielder,15/12/1992
Charles Banya,England,Midfielder,18/09/1993
Neil Barrett,England,Midfielder,24/12/1981
Laurence Batty,England,Goalkeeper,15/02/1964
Bobson Bawling,England,Midfielder,21/09/1995
Nathan Baxter,England,Goalkeeper,08/11/1998
Ashley Bayes,England,Goalkeeper,19/04/1972
Sam Beasant,England,Goalkeeper,08/04/1988
Reece Beckles,Antigua & Barbuda,Forward,19/07/1995
Albert Bell,England,Midfielder,
Narada Bernard,England,Defender,30/01/1981
Ollie Berquez,England,Midfielder,02/02/1982
Kevin Betsy,Seychelles,Midfielder,20/03/1978
Scott Bevan,England,Goalkeeper,19/09/1979
Dale Binns,England,Midfielder,08/07/1981
James Bittner,England,Goalkeeper,02/02/1982
Lloyd Blackman,England,Forward,24/09/1983
Jonathan Boardman,England,Midfielder,27/01/1981
Kelvin Bossman,Ghana,Forward,20/01/1991
George Bowerman,England,Forward,06/11/1991
Oliver BozaniÄ,Australia,Midfielder,08/01/1989
Harvey Bradbury,England,Forward,09/11/1998
Jon Brady,Australia,Defender,14/01/1975
Craig Braham-Barrett,Montserrat,Defender,02/01/1988
Kevan Brown,England,Defender,02/01/1966
Laurie Brown,England,Forward,22/08/1937
Seb Brown,England,Goalkeeper,24/11/1989
Bruno Andrade,Portugal,Midfielder,02/10/1993
Malik Buari,Ghana,Midfielder,24/01/1984
Bradley Bubb,Grenada,Forward,30/05/1988
Wayne Burnett,England,Midfielder,04/09/1971
Jamie Campbell,England,Defender,21/10/1972
Scott Canham,England,Midfielder,05/11/1974
Jake Caprice,England,Midfielder,11/11/1992
Harry Cardwell,Scotland,Forward,23/10/1996
Charlie Carter,England,Midfielder,25/10/1996
Joshua Casey,England,Defender,19/10/1991
Mike Cestor,France,Defender,30/04/1992
Geoff Chapple,England,Forward,1945
Regan Charles-Cook,England,Midfielder,01/03/1997
James Clarke,England,Defender,17/11/1989
Andrew Clement,Wales,Defender,12/11/1967
Jonathan Coates,Wales,Forward,27/06/1975
Sam Cockerill,England,Midfielder,09/08/1986
Jake Cole,England,Goalkeeper,11/09/1985
Nathan Collier,England,Midfielder,15/08/1985
Momo Coly,Senegal,Forward,05/03/1985
Jack Cook,England,Defender,16/09/1993
SeÃ¡n Cooney,Australia,Defender,31/10/1983
Luke Cornwall,England,Forward,23/07/1980
Paris Cowan-Hall,England,Forward,05/10/1990
Adam Cunnington,England,Forward,07/10/1987
Roscoe D'Sane,England,Forward,16/10/1980
Tom Denton,England,Forward,24/07/1989
Moussa Diarra,France,Defender,04/02/1990
Wilfried Domoraud,France,Forward,18/08/1988
Shaun Donnellan,Ireland,Defender,16/10/1996
Adam Doyle,England,Defender,23/03/1986
Simon Eastwood,England,Goalkeeper,26/06/1989
Anthony Edgar,England,Midfielder,30/09/1990
Toby Edser,England,Midfielder,28/02/1999
Bobby Edwards,England,Forward,22/05/1931
Jonathan Edwards,England,Forward,24/11/1996
Inih Effiong,England,Forward,02/03/1991
Abdou El Kholti,France,Midfielder,17/10/1980
Karim El Salahi,England,Defender,24/11/1986
Andrew Ellis,Wales,Midfielder,17/04/1967
Rob Elvins,England,Midfielder,17/09/1986
Liam Enver-Marum,England,Forward,17/11/1987
Connor Essam,England,Defender,09/07/1992
Stephen Evans,England,Forward,12/11/1980
Sean Evers,England,Midfielder,10/10/1977
Aaron Eyoma,England,Midfielder,22/09/1997
Fabio Saraiva,Portugal,Midfielder,30/07/1993
Steve Farrelly,England,Goalkeeper,27/03/1965
Craig Faulconbridge,England,Forward,20/04/1978
Jerome Federico,England,Midfielder,14/05/1992
Kane Ferdinand,Ireland,Midfielder,07/10/1992
Steven Ferguson,Scotland,Forward,01/04/1982
Steve Foster,England,Defender,03/12/1974
Amos Foyewa,Nigeria,Forward,26/12/1981
Jay Gasson,England,Defender,29/12/1984
Joe Gatting,England,Forward,25/11/1987
Ian Gayle,England,Defender,23/10/1992
Ben Gerring,England,Defender,01/01/1991
David Gilroy,England,Forward,23/12/1982
Nick Gindre,Argentina,Goalkeeper,24/07/1984
John Goddard,England,Midfielder,02/06/1993
Richard Goddard-Crawley,England,Midfielder,31/03/1978
Kim Grant,Ghana,Forward,25/09/1972
Jake Gray,England,Midfielder,25/12/1995
Giuliano Grazioli,England,Forward,23/03/1975
Reece Grego-Cox,Ireland,Midfielder,12/11/1996
Phil Gridelet,England,Midfielder,17/09/1971
Charlie Griffin,England,Forward,25/06/1979
Brandon Hall,England,Goalkeeper,27/09/1993
Nick Hamann,Germany,Goalkeeper,04/09/1987
Ian Hamilton,England,Midfielder,14/12/1967
Elvis Hammond,Ghana,Forward,06/10/1980
Jayden Harris,England,Midfielder,04/09/1999
Izedin Harusha,England,Forward,24/01/1985
Darran Hay,England,Forward,17/12/1969
Nicholas Hayes,England,Goalkeeper,10/04/1999
Matthew Hayfield,England,Midfielder,08/08/1975
Andy Hayward,England,Midfielder,21/06/1970
Charlie Hester-Cook,England,Midfielder,21/12/1999
Carl Hoddle,England,Midfielder,08/03/1967
Paul Hodges,England,Forward,24/05/1993
Terry Howard,England,Defender,26/02/1966
Aaron Howe,England,Goalkeeper,05/10/1987
Sam Howes,England,Goalkeeper,10/11/1997
Junior Hunter,England,Midfielder,01/02/1975
Chris Hussey,England,Defender,02/01/1989
Thomas Hutchinson,England,Defender,12/02/1982
Jake Hyde,England,Forward,01/07/1990
Micah Hyde,Jamaica,Midfielder,10/11/1974
Alan Inns,England,Defender,05/06/1982
Chez Isaac,England,Midfielder,16/11/1992
Simon Jackson,England,Defender,04/04/1985
Shwan Jalal,Iraq,Goalkeeper,14/08/1983
Kevin James,England,Forward,03/01/1980
Shaun Jeffers,England,Forward,14/04/1992
Ben Jefford,England,Defender,04/09/1994
Brett Johnson,England,Defender,25/08/1985
Tyreke Johnson,England,Forward,03/11/1998
Christian Jolley,England,Forward,12/05/1988
Joe Jones,Northern Ireland,Defender,15/04/1994
Tommy Jones,England,Midfielder,07/10/1964
Daniel Kadell,England,Midfielder,03/06/1994
Michael Kamara,Sierra Leone,Defender,17/05/1989
Chike Kandi,Wales,Forward,06/10/1995
Robert Kember,England,Midfielder,21/08/1981
Danny Knowles,England,Goalkeeper,07/01/1986
Max Kretzschmar,England,Midfielder,12/10/1993
Freddie Ladapo,Nigeria,Forward,01/02/1993
Ross Lafayette,England,Forward,11/04/1987
Dennon Lewis,England,Forward,09/05/1997
Theo Lewis,England,Forward,10/08/1991
Andy Little,England,Goalkeeper,03/10/1974
Armani Little,England,Midfielder,05/04/1997
Loick Pires,Portugal,Midfielder,20/11/1989
Paul Lorraine,England,Defender,12/10/1983
Jefferson Louis,England,Forward,22/02/1979
Jamar Loza,Jamaica,Forward,10/05/1994
Greg Luer,England,Forward,06/12/1994
Gary MacDonald,England,Defender,25/10/1979
Donovan Makoma,France,Midfielder,01/02/1999
Jerome Maledon,England,Midfielder,24/02/1988
Jack Marriott,England,Forward,09/09/1994
Jae Martin,England,Midfielder,05/02/1976
Sam Mason,England,Goalkeeper,13/06/2000
Vince Matassa,Australia,Goalkeeper,21/09/1973
Jack Mazzone,England,Forward,15/04/1993
Craig McAllister,Scotland,Midfielder,28/06/1980
Rodney McAree,Northern Ireland,Midfielder,19/08/1974
Gavin McCallum,Canada,Midfielder,24/08/1987
Terry McFlynn,Northern Ireland,Midfielder,27/03/1981
Brian McGorry,England,Midfielder,16/04/1970
Paul McKinnon,England,Forward,01/08/1958
Joe McNab,England,Midfielder,29/10/1980
Joe McNerney,England,Defender,24/01/1990
Harry Medhurst,England,Goalkeeper,05/02/1916
Luke Medley,England,Forward,21/06/1989
Ibrahim MeitÃ©,England,Forward,26/08/1996
Colin Miles,England,Defender,06/09/1978
Patrice Mondon-Konan,Ivory Coast,Midfielder,17/03/1983
Marvin Morgan,Grenada,Forward,18/04/1983
John Mousinho,England,Midfielder,30/04/1986
Darren Murphy,Ireland,Midfielder,28/07/1985
Karl Murray,England,Midfielder,26/08/1982
Kieran Murtagh,Antigua & Barbuda,Midfielder,29/10/1988
RaphaÃ«l NadÃ©,Ivory Coast,Midfielder,18/10/1980
Stuart Nethercott,England,Defender,21/03/1973
Josh Neufville,England,Midfielder,22/03/2001
Adam Newton,St. Kitts & Nevis,Defender,04/12/1980
Nicky Nicolau,England,Defender,12/10/1983
Stuart Noble,Scotland,Forward,14/10/1983
Jason Norville,Trinidad & Tobago,Forward,09/09/1983
Jonathan Nurse,Barbados,Forward,28/03/1981
John Nutter,England,Defender,13/06/1982
Duane Ofori-Acheampong,England,Forward,01/12/1992
Luke Oliver,England,Midfielder,09/04/1984
Michael Jide Olugbodi,Nigeria,Forward,29/11/1977
Richard Orlu,England,Defender,12/07/1988
Mark Ormerod,England,Goalkeeper,05/02/1976
Curtis Osano,England,Defender,08/03/1987
Lee Palmer,England,Defender,19/09/1970
Ollie Palmer,England,Forward,21/01/1992
Jack Parkinson,England,Midfielder,23/07/1989
Immanuel Parry,England,Defender,20/01/1994
Warren Patmore,England,Forward,14/08/1971
Chris Paulat-Brigg,England,Goalkeeper,29/05/1994
Josh Payne,England,Midfielder,25/11/1990
Jason Pearce,England,Defender,06/12/1987
Matt Pegler,England,Goalkeeper,12/08/1992
Steven Perkins,England,Midfielder,05/11/1975
Jamie Philpot,England,Forward,02/10/1996
Lenny Pidgeley,England,Goalkeeper,07/02/1984
David Piper,England,Defender,31/10/1977
Geoffrey Pitcher,England,Midfielder,15/08/1975
Jamie Pitman,England,Midfielder,06/01/1976
Michael Poke,England,Goalkeeper,21/11/1985
Godfrey Poku,England,Midfielder,22/07/1990
David Puckett,England,Forward,29/10/1960
Francis Quarm,England,Midfielder,01/08/1983
Joe Quigley,England,Forward,10/12/1996
Nathan Ralph,England,Defender,14/02/1993
Louis Ramsay,England,Defender,23/09/1997
Louis Ramsey,England,Defender,23/09/1997
Kevin Rattray,England,Midfielder,06/10/1968
Mark Rawle,England,Forward,27/04/1979
Glen Rea,Ireland,Defender,03/09/1994
Stephen Reed,England,Defender,18/06/1985
Nicky Reid,England,Defender,30/10/1960
Scott Rendell,England,Forward,21/10/1986
Alex Rhodes,England,Forward,23/01/1982
Justin Richards,England,Forward,16/10/1980
Mark Ricketts,England,Defender,07/10/1984
Matt Robinson,England,Midfielder,01/06/1994
Simon Rodger,England,Midfielder,03/10/1971
Craig Ross,England,Goalkeeper,29/01/1990
Matt Ruby,England,Defender,18/03/1986
Phil Ruggles,England,Forward,26/10/1982
Brian Saah,England,Midfielder,16/12/1986
Delano Sam-Yorke,England,Forward,20/01/1989
Saheed Sankoh,England,Forward,01/04/1988
Edward Saunders,England,Defender,
Lee Sawyer,England,Midfielder,10/09/1989
Herbert SchÃ¶tterl,Germany,Goalkeeper,22/09/1994
Hans Segers,Netherlands,Goalkeeper,30/10/1961
Trevor Senior,England,Forward,28/11/1961
Mo Shariff,England,Forward,08/03/1993
Neil Sharp,England,Defender,19/01/1978
Chris Sharpling,England,Forward,21/04/1981
Frazer Shaw,England,Defender,23/12/1994
Mark Shelton,England,Midfielder,12/09/1996
Bradley Simmonds,England,Midfielder,17/09/1994
Robbie Simpson,England,Forward,03/03/1976
Tony Sinclair,England,Defender,05/03/1985
Daniel Sintim,England,Defender,19/05/1990
Jack Skinner,England,Midfielder,18/06/2000
Alex Smith,England,Defender,31/10/1991
Neil Smith,England,Midfielder,30/09/1971
Peter Smith,England,Defender,12/07/1969
Scott Smith,New Zealand,Defender,06/03/1975
Ola Sogbanmu,England,Forward,06/03/1992
Giuseppe Sole,England,Forward,08/01/1988
Daniel Spence,England,Defender,22/10/1989
Mason Springthorpe,England,Goalkeeper,01/11/1994
Joshua Staunton,England,Defender,15/09/1995
Scott Steele,Scotland,Midfielder,19/09/1971
Simon Stewart,England,Defender,01/11/1973
Lazar Stojsavljevic,Serbia,Defender,05/05/1998
Steve Stott,England,Midfielder,03/02/1965
Craig Sutherland,Scotland,Forward,17/12/1988
Frankie Sutherland,Ireland,Midfielder,06/12/1993
Wayne Sutton,England,Defender,01/10/1975
David Tarpey,England,Forward,14/11/1988
Harry Taylor,England,Defender,05/05/1997
Jamie Taylor,England,Forward,16/12/1982
Olly Taylor,England,Forward,13/12/1993
Robin Taylor,England,Midfielder,
Louie Theophanous,England,Forward,05/11/1991
Aswad Thomas,England,Defender,09/08/1989
Terell Thomas,England,Defender,13/10/1997
Steve Thompson,England,Midfielder,12/01/1963
Tony Thorpe,England,Forward,10/04/1974
Christ JoÃ«l Tiehi,France,Midfielder,16/06/1998
Ben Townsend,England,Defender,08/10/1981
Matt Tubbs,England,Forward,15/07/1984
Charles Turnbull,England,Midfielder,08/12/1990
Gozie Ugwu,England,Forward,22/04/1993
Paolo Vernazza,England,Midfielder,01/11/1979
Clive Walker,England,Forward,26/05/1957
Alex Wall,England,Forward,22/09/1990
Joe Ward,England,Forward,22/08/1995
Jayden Wareham,England,Forward,
Charlie Wassmer,England,Defender,21/03/1991
Josh Watkins,England,Forward,02/03/1992
Mark Leon Watson,England,Forward,28/12/1973
Paul Watson,England,Defender,04/01/1975
Daniel Webb,England,Forward,02/07/1983
Nick Wheeler,England,Midfielder,16/12/1990
Gavin Williams,Wales,Midfielder,20/07/1980
Manny Williams,Sierra Leone,Forward,13/11/1981
Martin Williams,England,Forward,12/07/1973
Joe Wollacott,England,Goalkeeper,08/09/1996
Ross Worner,England,Goalkeeper,03/10/1989
Ben Wright,England,Forward,01/07/1980
Lloyd Wye,England,Defender,14/05/1967
Shane Wye,England,Midfielder,1966
Jordan Wynter,England,Midfielder,24/11/1993
Ismail Yakubu,England,Defender,08/04/1985
Matt Young,England,Defender,26/01/1994
Reggie Young,England,Forward,10/03/1999
James Younghusband,Philippines,Midfielder,04/09/1986
