Name,Country,Position,Born
Sebastian Handle,Austria,Midfielder,20/09/1996
Fabian Krismer,Austria,Forward,10/11/1991
Samuel Krismer,Austria,Midfielder,17/01/1994
Simon Lentsch,Austria,Defender,06/04/1985
Bernhard Mittermair,Austria,Midfielder,03/10/1986
Sandro Neurauter,Austria,Defender,21/03/1992
Rene Prantl,Austria,Forward,28/01/1990
Thomas Schatz,Austria,Goalkeeper,07/02/1981
Robert Scheiber,Austria,Midfielder,07/07/1960
Franz Schlatter,Austria,Goalkeeper,19/03/1956
Lukas Schnegg,Austria,Midfielder,29/11/1993
Marvin SchÃ¶pf,Austria,Midfielder,10/03/1998
Dominik SchÃ¼tz,Austria,Goalkeeper,15/02/1986
