Name,Country,Position,Born
Mohenned Al-Dulaimi,Germany,,13/04/1990
Ioannis Alatzas,Greece,Midfielder,23/01/1996
Oschmir Amidou,Germany,Defender,28/09/1998
Darius Awoudja,Germany,Defender,
Qendrim Beqiri,Kosovo,Midfielder,20/11/1990
Michael Berchtold,Germany,Defender,08/07/1986
Georgios Blantis,Greece,Goalkeeper,21/10/1993
Marco BlÃ¤ser,Germany,Forward,18/05/1981
Marko BogojeviÄ,Serbia,Defender,02/09/1995
Felix Breuer,Germany,Defender,10/04/2001
Sebastian Brey,Germany,Midfielder,12/08/1994
Andreas Brysch,Germany,Defender,26/02/1986
Alexander Buch,Germany,Midfielder,12/05/1988
Burhan Bytyqi,Germany,Midfielder,12/05/1999
Satuk Can,Turkey,Midfielder,05/07/1986
Juan Jose Castillo Duque,Mexico,Midfielder,25/04/1988
HÃ¼seyin Ceker,Turkey,Forward,18/09/1998
Amar Cekic,Germany,Midfielder,21/12/1992
Evangelos Chatziioannidis,Greece,Forward,20/05/1995
Dominik Chlubek,Germany,Goalkeeper,
Daniel dos Santos,Spain,Forward,08/03/1982
Emre Demir,Turkey,Midfielder,08/01/1995
Raffael Dirrigl,Germany,Forward,
William Kemtchoum Djayo,Germany,Midfielder,
Julian Dlask,Germany,Goalkeeper,08/06/1999
Christian Doll,Germany,Forward,19/05/1987
Matthias Eisenkolb,Germany,Defender,19/07/1996
Philipp Englich,Germany,Defender,17/03/1991
Fernando Ernesto,Angola,Forward,08/09/1989
Thomas Ettenberger,Germany,Midfielder,26/09/1994
Nikolaus Grotz,Germany,Midfielder,22/03/1996
Triumf Gudaci,Germany,Midfielder,11/01/2000
Amir Hajrizi,Germany,Forward,06/11/1998
Moritz Hannemann,Germany,Forward,09/04/1998
Christian Heufers,Germany,Goalkeeper,19/11/1994
Merlin HÃ¶ckendorff,Germany,Defender,25/02/1993
Marc Hofer,Germany,Goalkeeper,
Dennis HÃ¶lzl,Germany,Midfielder,07/10/1991
Franz HÃ¼bl,Germany,Defender,09/08/1988
Michael Hutterer,Germany,Midfielder,25/12/1989
Fabian Imhof,Germany,Defender,06/02/1998
Marco Jakob,Germany,Goalkeeper,21/06/2000
Dimitrios Kalogeropoulos,Germany,Goalkeeper,
Mate Kantor,Hungary,Forward,
Hakan Karadubak,Turkey,Midfielder,19/11/1990
Enis Kavkazi,Germany,Midfielder,25/06/2000
Konstantin Kebaptzis,Greece,Midfielder,17/12/1993
Ryosuke Kikuchi,Japan,Midfielder,05/11/1993
Albian Kodra,Kosovo,Midfielder,07/08/1996
Daniel Korang,Germany,Defender,
Onur Korkmaz,Germany,Midfielder,29/01/1997
Josip KovaÄeviÄ,Croatia,Defender,28/03/1996
Benjamin Kromann,Germany,Forward,
Fabian Lamotte,Germany,Defender,25/02/1983
Leander Lask,Germany,Forward,27/01/1999
Christian Lippert,Germany,Midfielder,05/05/1982
Nils Lissat,Germany,Midfielder,24/02/1995
Nikolaos Mangasaros,Germany,Midfielder,23/11/1999
Mario MariÄ,Croatia,Forward,28/10/1987
Stefan Marinkovic,Serbia,Forward,18/07/1997
Julian Maurer,Germany,Defender,27/03/1986
Florian Mayer,Germany,Defender,30/05/1992
Maximilian Mayer,Germany,Goalkeeper,19/11/1989
Sulejman Mecavica,Bosnia-Herzegovina,Midfielder,30/06/1997
Nico Merz,Germany,Goalkeeper,23/08/1997
Mergim Morina,Kosovo,Goalkeeper,05/06/1998
Dimitrios Nassis,Greece,Defender,
Fabian Negele,Germany,Midfielder,17/06/1990
Ousman Fally Nyabally,Gambia,Forward,24/03/1998
Benson Okeke,Nigeria,Forward,10/02/1982
Wilson Onyemaeke,Germany,Forward,27/01/1987
Ãnder ÃtkÃ¼n,Turkey,Forward,06/08/1996
Yemi Oyewoie,Nigeria,Defender,22/02/1991
Fatih Ãzdemir,Turkey,Goalkeeper,03/06/1996
Alpay ÃzgÃ¼l,Turkey,Forward,10/03/1996
Hysenri Peti,Germany,Midfielder,
Matej Popovic,Croatia,Forward,23/06/1996
Marcel Richter,Germany,Forward,31/03/1981
Nickoy Ricter,Jamaica,Midfielder,13/07/1995
Lukas Riglewski,Germany,Midfielder,16/11/1993
Marco Sarac,Germany,Defender,20/02/1999
Dominik SchÃ¤ffer,Germany,Midfielder,06/09/1990
Alexander Schiller,Germany,Midfielder,19/06/1986
Toni SchrÃ¶ter,Germany,Goalkeeper,21/08/1983
Giacinto Sibilia,Germany,Forward,21/11/1990
Vendim Sinani,Albania,Defender,28/02/1994
Jan Sostmann,Germany,Defender,30/06/1997
Manuel Stangl,Germany,Forward,31/12/1999
Kevin Stoiber,Germany,Defender,13/11/1992
Marko Todorovic,Germany,Midfielder,30/08/1996
Robin Volland,Germany,Forward,27/04/1994
Stefan VÃ¶tter,Germany,Midfielder,28/10/1990
Nicolas Walz,Germany,Midfielder,03/05/1994
Oliver Wargalla,Germany,Forward,13/05/1993
Alexander Weiser,Germany,Defender,20/02/1989
Alexander WeiÃ,Germany,Midfielder,11/08/1995
Korbinian Wildgruber,Germany,Defender,27/11/1990
Florian Wolf,Germany,Forward,21/02/1986
Michael Zach,Germany,Midfielder,30/06/1996
Arigon Zejnullahi,Kosovo,Forward,16/04/1998
