Name,Country,Position,Born
Genti Ajdari,Switzerland,Defender,16/01/2003
Blert Aliaj,Switzerland,Defender,23/01/2000
Lulzim Aliu,North Macedonia,Midfielder,01/02/1998
Yvan Alounga,Cameroon,Forward,05/02/2002
Nicholas Ammeter,USA,Goalkeeper,11/12/2000
Aleksandar Angelov,Switzerland,Midfielder,19/11/2003
Gregori Anliker,Switzerland,Forward,18/04/2002
Visar Arifi,Switzerland,Forward,24/06/2002
Noah Bachmann,Switzerland,Forward,06/10/2003
Ajdin Bajric,Switzerland,Midfielder,15/09/2002
Ivo Bajusic,Switzerland,Defender,17/09/2001
Semir Bisevac,Serbia,Forward,25/02/1991
Noah Boakye,Switzerland,Forward,13/08/2001
Mattia Bochicchio,Italy,Defender,19/08/2000
JoÃ«l Bonorand,Switzerland,Goalkeeper,11/02/2002
JoÃ«l Brack,Switzerland,Forward,30/04/2003
Dean Bregenzer,Switzerland,Defender,15/02/2002
Santiago Brunner,Switzerland,Defender,31/07/2001
Gabriel Bruno,Italy,Forward,02/02/2000
Jan Burkard,Switzerland,Defender,09/08/2000
Tim Burkard,Switzerland,Goalkeeper,23/02/2002
Felix Carvalho,Germany,Midfielder,08/08/2000
Flavio Caserta,Switzerland,Midfielder,22/08/2003
Christian Chirulli,Switzerland,Forward,05/04/2003
Aboubacar Cisse,Ivory Coast,Forward,12/05/2001
Marco Corradi,Switzerland,Defender,01/01/2000
Sirio Crippa,Switzerland,Goalkeeper,15/01/2002
Meo Dalgic,Switzerland,Defender,26/09/2000
Severin DÃ¤twyler,Switzerland,Forward,03/04/1991
Egzon Dzelili,Switzerland,Defender,22/01/2003
Kujtim Dzelili,Kosovo,Midfielder,24/02/1991
Joris Freyenmuth,Switzerland,Midfielder,14/04/2001
Joshua Gasane,Sudan,Forward,03/06/2003
Gilles Gauchat,Switzerland,Midfielder,31/10/2003
Robin Gloor,Switzerland,Defender,15/12/1996
Levin Gratwohl,Switzerland,Goalkeeper,02/11/2003
Ersan Hajdari,North Macedonia,Midfielder,05/05/2001
Binjamin Hasani,Switzerland,Defender,22/04/2003
Txapua Hasler,Switzerland,Goalkeeper,22/02/2003
Joshua Heeg,Switzerland,Midfielder,20/01/2000
Marvin HÃ¼bel,Switzerland,Goalkeeper,01/03/2003
Omid Jafari,Afghanistan,Forward,01/01/2003
Olivier Joos,Switzerland,Goalkeeper,12/03/1997
Jasin Jusic,Switzerland,Midfielder,17/01/2003
Jan Kalt,Switzerland,Midfielder,08/01/2002
Luca Kasper,Switzerland,Defender,21/09/1999
Levin Kessler,Switzerland,Defender,24/12/2002
Joel KrÃ¤mer,Switzerland,Midfielder,13/09/2002
Kerem Kursun,Switzerland,Midfielder,03/03/2001
Luca Lenzin,Switzerland,Defender,27/04/1999
Stevan Lujic,Switzerland,Defender,25/03/2002
Beli Lukaj,Kosovo,Midfielder,04/12/1999
Tim LÃ¼scher,Switzerland,Defender,27/05/2001
Nikola Maksimovic,Switzerland,Defender,12/04/1998
Luka MarkoviÄ,Serbia,Defender,30/07/2001
Shilanabad Maroufi,Switzerland,Midfielder,13/06/2002
Marko Mijatovic,Austria,Forward,01/02/2000
Mihailo Mijatovic,Switzerland,Midfielder,30/09/2000
Oliver MilanoviÄ,Switzerland,Goalkeeper,12/08/2003
Stefan Mitrev,North Macedonia,Goalkeeper,14/02/2003
Patrick Muff,Switzerland,Defender,22/04/1994
