Name,Country,Position,Born
Udo Abels,Germany,Midfielder,
Timo Achenbach,Germany,Defender,03/09/1982
Daniel Adamczyk,Germany,Goalkeeper,14/07/2002
Erkan Akalp,Germany,Defender,30/07/2001
Kenan Akalp,Turkey,Midfielder,30/05/1999
Andreas Akbari,Germany,Midfielder,24/06/1991
Enis Alushi,Kosovo,Midfielder,22/12/1985
Aias Aosman,Syria,Midfielder,21/10/1994
BjÃ¶rn Arens,Germany,Defender,29/09/1972
JÃ©rÃ´me Assauer,Germany,Forward,06/06/1988
Leon Augusto,Portugal,Midfielder,10/09/1999
Sven Bacher,Germany,Goalkeeper,28/09/1988
Felix Bachmann,Germany,Midfielder,12/03/1986
Alexander Bade,Germany,Goalkeeper,25/08/1970
Matthias Bader,Germany,Defender,17/06/1997
Yohannes Bahcecioglu,Germany,Midfielder,26/02/1988
Marco Ban,Germany,Forward,26/08/1994
Jan-Christoph Bartels,Germany,Goalkeeper,13/01/1999
Daniel Bartsch,Germany,Defender,07/05/1987
Bienvenue Basala-Mazana,Germany,Defender,02/01/1992
Jens Bauer,Germany,Midfielder,06/02/1997
Tim Bauer,Germany,Defender,25/04/1988
Frank Becker,Germany,Goalkeeper,13/02/1990
Roland Benschneider,Germany,Defender,22/08/1980
Andreas Bergmann,Germany,Midfielder,18/06/1959
Sascha Bigalke,Germany,Midfielder,08/01/1990
Leon Binder,Germany,Defender,24/03/1987
Dino BiÅ¡anoviÄ,Bosnia-Herzegovina,Midfielder,13/03/1990
Yann Bisseck,Germany,Defender,29/11/2000
Gabriel Boakye,Canada,Forward,26/02/1998
Fofo Bolonga-Lobanga,Germany,Defender,05/05/1985
David Bors,Germany,Forward,13/04/1995
Rachid Bouallal,Germany,Forward,09/11/1987
Calvin Brackelmann,Germany,Defender,22/08/1999
Timo Braun,Germany,Midfielder,05/06/1998
Sascha Breitbach,Germany,Midfielder,29/06/1972
Bremer,Germany,Midfielder,
Brendel,Germany,Defender,
Reinhold Breu,Germany,Midfielder,12/09/1970
Breuer,Germany,Midfielder,
Hagen Brinkmann,Germany,Midfielder,06/08/1976
Axel Britz,Germany,Midfielder,16/01/1969
Daniel Brode,Germany,Defender,23/02/1984
Thomas BrÃ¶ker,Germany,Forward,22/01/1985
Daniel Brosinski,Germany,Midfielder,17/07/1988
Bruno Nascimento,Brazil,Defender,30/05/1991
Christopher Buchtmann,Germany,Midfielder,25/04/1992
Arnold Budimbu,Germany,Midfielder,20/02/1995
Zlatan Cajkovski,Serbia,Midfielder,03/08/1954
Kaan Caliskaner,Germany,Forward,03/11/1999
Mahmut CalÄ±Åkan,Germany,Midfielder,25/01/1966
Massimo Cannizzaro,Italy,Forward,03/04/1981
Anil Capkin,Turkey,Defender,12/04/1996
Nermin Celikovic,Bosnia-Herzegovina,Midfielder,27/11/1980
Sava ÄestiÄ,Serbia,Defender,19/02/2001
Adil Chihi,Morocco,Midfielder,21/02/1988
Daniel Chitsulo,Malawi,Forward,07/03/1983
Darko Churlinov,North Macedonia,Midfielder,11/07/2000
Hikmet ÃiftÃ§i,Turkey,Midfielder,10/03/1998
Robert Ciolek,Germany,Forward,25/04/1984
Christian Clemens,Germany,Midfielder,04/08/1991
Michael Clemens,Germany,Defender,08/10/1995
Lucas Cueto,Germany,Forward,24/03/1996
Carsten Cullmann,Germany,Defender,05/03/1976
Marcel Damaschek,Germany,Defender,24/03/1997
Christoph Daum,Germany,Midfielder,24/10/1953
Adem Demir,Turkey,Midfielder,31/03/1987
Willi Deutschmann,Germany,Defender,17/04/1965
Dick,Germany,Midfielder,
Andreas Dick,Germany,Defender,25/04/1989
Markus Dworrak,Germany,Midfielder,23/01/1978
Marius Ebbers,Germany,Forward,04/01/1978
Aaron Eichhorn,Germany,Midfielder,22/09/1998
Alexander Ende,Germany,Defender,19/09/1979
Sven Engelke,Germany,Midfielder,10/04/1994
Mario Engels,Germany,Midfielder,22/10/1993
Stefan Engels,Germany,Midfielder,06/09/1960
Denis Epstein,Germany,Midfielder,02/07/1986
Daniel Eschbach,Germany,Goalkeeper,05/10/1973
Dennis Esser,Germany,Defender,20/04/1985
Maurice Exslager,Germany,Forward,12/02/1991
Ralf Faber,Germany,Midfielder,12/09/1948
Hans Faust,Germany,Forward,07/07/1958
Giovanni Federico,Italy,Midfielder,04/10/1980
Markus Feulner,Germany,Midfielder,12/02/1982
Gerd Fink,Germany,Defender,08/12/1955
Benjamin Finke,Germany,Goalkeeper,09/09/1982
BÃ¥rd Finne,Norway,Forward,13/02/1995
Sven Fischer,Germany,Defender,07/01/1977
Flessers,Germany,Defender,
Dirk Flock,Germany,Midfielder,23/05/1972
Chris FÃ¼hrich,Germany,Midfielder,09/01/1998
Michael Gardawski,Germany,Midfielder,25/09/1990
Dalibor GatariÄ,Germany,Defender,18/05/1986
Danijel GatariÄ,Germany,Forward,18/05/1986
Marcel Gebhardt,Germany,Midfielder,15/09/1979
Vincent Geimer,Germany,Forward,08/08/1992
Nick Gerhards,Germany,Midfielder,09/10/1997
Tim Gerhards,Germany,Forward,13/03/1995
Yannick Gerhardt,Germany,Midfielder,13/03/1994
Jean Ghafourian,Germany,Midfielder,10/02/1998
Kasra Ghawilu,Germany,Defender,11/02/1999
Manuel Glowacz,Germany,Midfielder,29/09/1987
Kevin Goden,Germany,Defender,22/02/1999
JÃ¼rgen Goschler,Germany,Defender,13/12/1966
Daniel Grebe,Germany,Midfielder,03/03/1987
Rolf-Christel GuiÃ©-Mien,Congo,Forward,28/10/1977
Serhou Guirassy,France,Forward,12/03/1996
Dennis GÃ¼lpen,Germany,Forward,29/07/1990
JÃ¼rgen Halbe,Germany,Midfielder,09/01/1953
Matthias Hamrol,Germany,Goalkeeper,31/12/1993
Tim Handwerker,Germany,Midfielder,19/05/1998
Marcel Hartel,Germany,Midfielder,19/01/1996
Frank Hartmann,Germany,Forward,27/09/1960
Moritz Hartmann,Germany,Forward,20/06/1986
Michael Hasemann,Germany,Midfielder,10/12/1997
Niklas Hauptmann,Germany,Midfielder,27/06/1996
Dirk Hebel,Germany,Midfielder,24/11/1972
Jonas Hector,Germany,Midfielder,27/05/1990
JÃ¼rgen Heinrichs,Germany,Midfielder,21/01/1977
Sebastian Helbig,Germany,Forward,25/04/1977
Horst Heldt,Germany,Midfielder,09/12/1969
Hans Heller,Germany,Midfielder,25/08/1964
Patrick Helmes,Germany,Forward,01/03/1984
Ricardo Henning,Germany,Defender,22/09/2000
Dieter Herlein,Germany,Midfielder,16/11/1958
Chris Hermansen,Denmark,Forward,23/01/1975
Paul Heyeres,Germany,Goalkeeper,30/05/1946
Hans Otto Hiestermann,Germany,Midfielder,07/01/1949
Jonas Hildebrandt,Germany,Midfielder,08/12/1996
Philipp HÃ¶ffler,Germany,Defender,23/08/2000
Jannes Hoffmann,Germany,Midfielder,10/03/1996
Hans Hohs,Germany,Defender,08/04/1960
Robin HÃ¶mig,Germany,Midfielder,26/02/1992
Jannes Horn,Germany,Defender,06/02/1997
Timo Horn,Germany,Goalkeeper,12/05/1993
Florian HÃ¶rnig,Germany,Defender,06/08/1986
Heinz-Theo Horst,Germany,Midfielder,26/11/1947
Philipp Hosiner,Austria,Forward,15/05/1989
Timo HÃ¼bers,Germany,Defender,20/07/1996
Mohamed Hurembegovic,Bosnia-Herzegovina,Midfielder,25/09/1975
Alexandru IoniÈÄ,Romania,Forward,05/08/1989
Mikael Ishak,Sweden,Forward,31/03/1993
Mato Jajalo,Bosnia-Herzegovina,Midfielder,24/05/1988
Ismail Jakobs,Germany,Forward,17/08/1999
Carsten Jancker,Germany,Forward,28/08/1974
Sebastian Jansen,Germany,Defender,10/11/1987
Christian Jenne,Germany,Defender,24/06/1997
Vojno JeÅ¡iÄ,Serbia,Forward,04/03/1994
JoÃ£o QueirÃ³s,Portugal,Defender,22/04/1998
Bashir Kaba,Guinea,Defender,23/07/1981
Fitim Kaciku,Albania,Forward,23/07/1988
Koray KaÃ§Ä±noÄlu,Germany,Defender,20/07/1994
Christian Kaes,Germany,Midfielder,09/07/1976
Chama Kaira,Zambia,Midfielder,06/09/1986
TomÃ¡Å¡ Kalas,Czech Republic,Defender,15/05/1993
Gregor Kapitza,Germany,Defender,09/08/1979
Berkan Karadeniz,Germany,Forward,10/02/1992
Erdinc Karakas,Germany,Defender,23/03/1998
Sinan Karweina,Germany,Midfielder,29/03/1999
Noah Katterbach,Germany,Defender,13/04/2001
Joshua Kennedy,Australia,Forward,20/08/1982
Serdar Kesimal,Turkey,Defender,24/01/1989
Thomas Kessler,Germany,Goalkeeper,20/01/1986
Thiemo-JÃ©rÃ´me Kialka,Germany,Forward,12/01/1989
GÃ¼nter Kirch,Germany,Midfielder,01/10/1948
Ferhat KÄ±skanÃ§,Turkey,Midfielder,01/08/1982
Michael KlauÃ,Germany,Midfielder,20/04/1987
Lukas KlÃ¼nter,Germany,Defender,26/05/1996
Hermann KnÃ¶ppel,Germany,Defender,15/10/1956
Kohtz,Germany,Forward,
Johannes KÃ¶lmel,Germany,Defender,29/04/1997
Nikos Kolombourdas,Greece,Midfielder,25/04/1972
Kostas Konstantinidis,Greece,Defender,31/08/1972
Miro KovaÄiÄ,Croatia,Midfielder,29/08/1994
Vincent Koziello,France,Midfielder,28/10/1995
Julian Krahl,Germany,Goalkeeper,22/01/2000
Thomas Kraus,Germany,Forward,05/04/1987
Florian Kringe,Germany,Midfielder,18/08/1982
AndrÃ© KrÃ¶ning,Germany,Forward,23/10/1962
Lukas KÃ¼bler,Germany,Defender,30/08/1992
Stefan Kuchem,Germany,Midfielder,12/09/1980
Christian KÃ¼hlwetter,Germany,Forward,21/04/1996
Baykal KulaksÄ±zoÄlu,Switzerland,Midfielder,12/05/1983
Filip KusiÄ,Serbia,Defender,03/06/1996
Fabio La Monica,Italy,Forward,05/03/1994
Christian Lang,Germany,Midfielder,09/01/1984
Peter Langer,Germany,Defender,02/06/1950
Fredrik Lassas,Finland,Midfielder,01/10/1996
Marius Laux,Germany,Forward,07/02/1986
Lars Leese,Germany,Goalkeeper,18/08/1969
Manfred Lefkes,Germany,Midfielder,07/08/1959
Michael Lejan,Belgium,Midfielder,02/05/1983
Christian Lell,Germany,Defender,29/08/1984
Sascha Lenhart,Germany,Midfielder,16/12/1973
Tobias Lippold,Germany,Midfielder,04/11/1993
Dirk Lottner,Germany,Midfielder,04/03/1972
Luciano EmÃ­lio,Brazil,Forward,12/12/1978
Julien LÃ¼cke,Germany,Midfielder,15/06/1985
Antonio Lumina,Germany,Forward,05/02/1977
Kelly Lunga,Germany,Forward,11/05/1994
Anthony Lurling,Netherlands,Forward,22/04/1977
GÃ¼nter Mabanza,Germany,Defender,23/01/1996
AndrÃ© Maczkowiak,Germany,Goalkeeper,01/04/1983
Peter Madsen,Denmark,Forward,26/04/1978
Tomoaki Makino,Japan,Defender,11/05/1987
Dominic Maroh,Slovenia,Defender,04/03/1987
Siggi Marti,Germany,Defender,10/05/1959
Marvin Matip,Cameroon,Defender,25/09/1985
Wolfgang Mattern,Germany,Goalkeeper,17/07/1956
Adam Matuszczyk,Poland,Midfielder,14/02/1989
Paul Maurer,Germany,Midfielder,22/05/1996
Jannik Mause,Germany,Forward,11/07/1998
MÃ«rgim Mavraj,Albania,Defender,09/06/1986
Kevin McKenna,Canada,Defender,21/01/1980
Ajdin Mehinovic,Bosnia-Herzegovina,Midfielder,26/10/1993
Daniel MesenhÃ¶ler,Germany,Goalkeeper,24/07/1995
Nino Miotke,Germany,Defender,09/01/1998
Youssef Mokhtari,Morocco,Midfielder,05/03/1979
Maximilian MÃ¶ller,Germany,Forward,05/05/2000
Freddy Mombongo,Congo,Forward,30/08/1985
