Name,Country,Position,Born
Alberto Herrero,Spain,Forward,23/02/1971
Claudi BovÃ©,Andorra,Forward,08/03/1996
Carlos Cendros,Spain,Goalkeeper,24/11/1974
Carlos Machado,Portugal,Defender,21/08/1965
Walter Carvalho,Andorra,Defender,06/10/1984
Joan Casal,Andorra,Defender,20/02/1979
David Pons,Spain,Defender,22/06/1982
Enrique Hernandez,Spain,Midfielder,26/05/1977
Frederic Aragonez,Spain,Defender,31/12/1960
Gabriel Garcia,Spain,Midfielder,13/01/1978
Esteve Garcia,Andorra,Forward,26/09/1976
Israel Alberca,Spain,Goalkeeper,08/02/1975
Jordi Aleu,Spain,Midfielder,15/01/1975
NicolÃ¡s Minutella,Argentina,Midfielder,23/03/1995
Josep Nieto,Andorra,Defender,02/03/1987
Nuno Frias,Portugal,Forward,08/05/1982
Nuno Ressureicao,Portugal,Defender,30/01/1977
Jonathan Perez,Andorra,Midfielder,08/02/1980
Ramon Morera,Spain,Forward,26/08/1978
Richard Rios,Andorra,Forward,31/12/1974
Sergio Roca,Chile,Midfielder,18/12/1974
Ruben Pereira,Spain,Midfielder,17/10/1977
