Name,Country,Position,Born
Dennis Abrosimov,Germany,Defender,13/05/1998
Ali Abu-Alfa,Germany,Midfielder,28/08/1999
Ryan-Segon Adigo,Germany,Forward,15/04/2001
Robin Afamefuna,Germany,Defender,02/03/1997
Amir Ahmadi,Afghanistan,Midfielder,01/01/2002
Patrick Ajani,Germany,Defender,07/03/1989
Bulut Aksoy,Germany,Forward,25/10/1987
BÃ¼nyamin Aksoy,Germany,Forward,18/05/1989
Ãrhan Aktas,Germany,Midfielder,21/10/1994
Iyad Al-Khalaf,Germany,Defender,24/06/1995
Alec Antalik,Germany,Forward,25/04/1999
Alper Arslan,Germany,Midfielder,16/05/2000
Kushtrim Asallari,Albania,Forward,23/04/2003
Samuel Atiye,Germany,Midfielder,21/04/1999
Yassir Atty,Togo,Defender,10/04/2003
Mervan Aydin,Germany,Forward,22/02/2000
Fabian BÃ¤cker,Germany,Forward,28/05/1990
Tom Baller,Germany,Midfielder,02/08/1998
Muhittin BastÃ¼rk,Germany,Defender,03/01/1991
Mehmet Bayrakli,Germany,Defender,27/03/2000
Andre Beaujean,Germany,Defender,17/01/1999
Bastian Beckers,Germany,Midfielder,29/09/1995
Robin Beckers,Germany,Midfielder,20/08/1997
Roland Bekker,Hungary,Defender,05/04/2002
Marcel Benger,Germany,Defender,02/07/1998
Malte Berauer,Germany,Defender,19/01/1995
Martin Berger,Germany,Goalkeeper,24/05/1986
Arian Berkigt,Germany,Midfielder,10/04/1984
Lukas Betz,Germany,Goalkeeper,10/04/1998
Jordan Beyer,Germany,Defender,19/05/2000
Janis Blaswich,Germany,Goalkeeper,02/05/1991
Andreas Bluhm,Germany,Midfielder,21/12/1973
Niklas Bolten,Germany,Goalkeeper,29/03/1994
Jordi Bongard,Germany,Defender,21/09/2001
Kevin BoÃeler,Germany,Forward,13/06/1992
Mehmet Boztepe,Turkey,Midfielder,16/01/1988
Nico Brandenburger,Germany,Defender,17/01/1995
Pinkus Brandes,Germany,Midfielder,10/02/1999
Kevin Breuer,Germany,Midfielder,08/03/1991
Maximilian BrÃ¼ll,Germany,Goalkeeper,26/08/2002
Albert BrÃ¼lls,Germany,Forward,26/03/1937
Furkan Cakmak,Germany,Midfielder,21/09/2001
Serkan ÃalÄ±k,Turkey,Forward,15/03/1986
TaÅkÄ±n ÃalÄ±Å,Turkey,Midfielder,25/07/1993
