Name,Country,Position,Born
Emil Ãberg,Sweden,Forward,08/05/1992
Oliver Ãkerman,Sweden,Midfielder,15/04/1999
Marcus Andersson,Sweden,Defender,30/10/1988
Ludvig Asterman Brink,Sweden,Midfielder,2000
Samuel Aziz,Sweden,Forward,05/07/1991
Daniel Bennassar Nilsson,Sweden,Midfielder,02/01/1992
Filiph BodenÃ¤s,Sweden,Goalkeeper,28/07/1995
Robin Book,Sweden,Midfielder,05/04/1992
Mohammed Chahrour,Sweden,Midfielder,2000
Noah Christoffersson,Sweden,Forward,11/05/1999
Filip Egger,Sweden,Midfielder,02/02/1987
Mathias HoltenÃ¤s,Sweden,Defender,12/07/1996
Niklas JÃ¶nsson,Sweden,Midfielder,11/07/1996
Jesper Larsson,Sweden,Midfielder,24/05/1991
Jonathan Levi,Sweden,Midfielder,23/01/1996
Pontus LÃ¶fvenmark,Sweden,Goalkeeper,18/01/1996
Jesper Lundborg,Sweden,Midfielder,24/02/1996
Filip Lundeberg,Sweden,Midfielder,13/04/1998
Lars Felix MÃ¥nsson,Sweden,Midfielder,07/02/1991
Noel Mbo,England,Forward,14/03/1999
Elias Olsson,Sweden,Goalkeeper,2002
Jonatan Olsson,Sweden,Defender,09/02/1993
Filip Ottosson,Sweden,Midfielder,12/09/1996
Passi Prudence,Sweden,Forward,15/08/1999
Jonatan Persson,Sweden,Defender,21/01/1993
Philip Petersson,Sweden,Midfielder,04/02/1992
Emir Plakalo,Bosnia-Herzegovina,Goalkeeper,19/02/1995
Casper Seger,Sweden,Midfielder,16/09/1999
Alex Simovski,North Macedonia,Defender,22/02/1996
Thomas SjÃ¶berg,Sweden,Midfielder,06/07/1952
Carl Thulin,Sweden,Defender,05/07/1999
Mattias Unkuri,Sweden,Midfielder,16/01/1988
Victor Wahlgren,Sweden,Defender,06/01/1993
