Name,Country,Position,Born
Felix Arnold,Germany,Defender,14/01/1999
Simon Asta,Germany,Defender,25/01/2001
Ulas Aydin,Germany,Midfielder,14/02/1995
Denil BadÅ¾ak,Bosnia-Herzegovina,Midfielder,02/03/2001
Philipp Baier,Germany,Defender,02/07/1997
Halim Bal,Germany,Forward,
Argjent Balaj,Germany,Forward,09/10/1998
Florent Balaj,Albania,Midfielder,20/01/1997
Micha Bareis,Germany,Defender,25/03/2003
David Bauer,Germany,Defender,16/02/1995
Mathias Bauer,Norway,Defender,14/05/2003
Henrik Bediako,Ghana,Midfielder,18/07/2002
Tim Bergmiller,Germany,Forward,14/02/2000
Dion Berisha,Kosovo,Midfielder,09/05/2003
Lukas Bettrich,Germany,Defender,22/04/2002
Hrvoje Bevanda,Germany,Midfielder,23/05/2000
Benedikt Bottenschein,Germany,Defender,15/03/2001
Philipp Boyer,Germany,Midfielder,22/03/1996
Moritz Buchhart,Germany,Defender,06/02/1998
Christoph Burkhard,Germany,Defender,09/11/1984
Dorian Cevis,Germany,Forward,06/06/2001
Julian Chessa,Germany,Midfielder,14/10/1996
Tim Civeja,Germany,Midfielder,04/01/2002
Hrvoje Culjak,Germany,Midfielder,08/02/2000
Marin Culjak,Croatia,Midfielder,02/09/1998
Kevin Danso,Austria,Defender,19/09/1998
Amer Dedic,Bosnia-Herzegovina,Defender,23/03/2002
David Deger,Germany,Midfielder,13/02/2000
Marco Deininger,Germany,Defender,06/05/2000
Michael Deininger,Germany,Goalkeeper,06/02/1999
Davide Dell'Erba,Germany,Midfielder,06/04/2004
Alessandro Di Rosa,Germany,Defender,16/03/2001
Ioannis Dodas,Greece,Forward,29/05/2001
Tim Dopfer,Germany,Midfielder,17/03/2000
Fabian Dorschky,Germany,Goalkeeper,25/01/2000
Maximilian Dreisbach,Germany,Midfielder,05/09/2000
Arif Ekin,Germany,Midfielder,14/09/1995
Aivin Emini,Germany,Forward,24/02/2002
Lukas Ender,Germany,Defender,16/03/2000
Tayfun Erol,Germany,Forward,
Kenan Ersoy,Germany,Midfielder,16/04/1995
Bastian Ertl,Germany,Midfielder,27/11/1999
Felix Ertl,Germany,Defender,11/03/1998
Robin Faber,Germany,Defender,22/04/1996
Gerhard FÃ¶rschner,Germany,Midfielder,26/11/1955
Raphael Framberger,Germany,Defender,06/09/1995
Nico Fundel,Germany,Midfielder,15/01/2001
Gabriel Galinec,Croatia,Defender,07/01/2000
Simon Gartmann,Germany,Midfielder,15/09/1999
Jason Gaudio,Germany,Midfielder,05/09/2001
Metin Genc,Turkey,Midfielder,17/03/1997
Giovanni Goia,Romania,Midfielder,07/04/1992
Robin GÃ¶tz,Germany,Goalkeeper,24/04/1996
Tim Greifenegger,Germany,Defender,08/10/2001
Marco Greisel,Germany,Midfielder,24/07/1997
Jonas Greppmeir,Germany,Forward,14/02/1999
Fabio Gruber,Germany,Midfielder,03/09/2002
Michael Guggumos,Germany,Midfielder,03/06/1994
Halil Hajtic,Germany,Forward,19/01/1994
Manuel HÃ¤rtel,Germany,Defender,10/11/2001
Tim Heckmeier,Germany,Midfielder,26/02/2001
Peter Herger,Germany,Defender,24/01/1995
RenÃ© Heugel,Germany,Forward,11/12/1994
Tobias Hildmann,Germany,Midfielder,22/02/1994
Sven Hinrichs,Germany,Goalkeeper,02/03/1997
Noris HÃ¶flmair,Germany,Goalkeeper,16/01/1995
Niklas Hofmann,Germany,Defender,12/04/2000
Alessandro HÃ¶lscher,Germany,Midfielder,07/01/2001
Lutz Holzapfel,Germany,Goalkeeper,23/06/1994
Jeremy Holzer,Germany,Midfielder,12/01/2003
Luis Hoti,Kosovo,Midfielder,26/04/2004
Florian Huber,Germany,Midfielder,26/03/1996
Tim HÃ¼bsch,Germany,Defender,29/09/1998
Raif Husic,Germany,Goalkeeper,05/02/1996
Dragan Ignjatovic,Germany,Goalkeeper,02/04/1993
Franjo IvanoviÄ,Croatia,Midfielder,01/10/2003
Zaman Jafari,Germany,Forward,05/01/2001
Nicolas JÃ¤ger,Germany,Defender,15/02/1995
Dawoud Jalinous,Germany,Forward,08/03/1999
Amito Janda,Germany,Forward,26/07/1995
Lasse JÃ¼rgensen,Denmark,Midfielder,16/02/1998
Robin Kasper,Germany,Forward,04/04/1997
Florian Kastenmeier,Germany,Goalkeeper,28/06/1997
Daniel Katic,Croatia,Forward,26/04/2003
Yannick Kayma,Germany,Defender,14/02/2001
Angelos Kerasidis,Greece,Midfielder,02/01/1997
Tae-ho Kim,South Korea,Defender,12/02/2002
Felix Kling,Germany,Defender,11/06/1995
Leon Klocker,Germany,Midfielder,17/07/2001
GergÅ Kocsis,Hungary,Midfielder,07/03/1994
Andreas Kotter,Germany,Midfielder,22/02/1999
Adrien Koudelka,Germany,Defender,23/05/2002
Daniel Kraft,Germany,Forward,27/01/2002
Xaver Kroll,Germany,Forward,07/01/2003
Benedikt Krug,Germany,Defender,07/02/1995
Simon Krumpschmid,Germany,Midfielder,25/12/1996
Mahmut KÃ¼cÃ¼ksahin,Germany,Midfielder,07/04/2004
Julian Kudala,Germany,Midfielder,18/01/2002
Matthias KÃ¼hling,Germany,Midfielder,10/02/1995
Fabio KÃ¼hn,Germany,Defender,12/04/1996
Luan Kukic,Germany,Forward,12/05/2001
Emre Kurt,Germany,Defender,06/03/1997
Bastian Kurz,Germany,Midfielder,23/09/1996
Christopher Lannert,Germany,Midfielder,08/06/1998
Dennis Lechner,Germany,Forward,15/10/2001
Maximilian Lechner,Germany,Forward,
Benjamin Leneis,Germany,Goalkeeper,08/03/1999
Johannes Lotter,Germany,Forward,20/02/1993
Maximilian LÃ¶w,Germany,Forward,06/03/1992
Marcel Lubik,Germany,Goalkeeper,19/05/2004
Marco Luburic,Germany,Midfielder,07/02/1998
Carl Ludosan,Romania,Goalkeeper,30/01/2001
Stefan Lukic,Germany,Defender,21/07/1997
Åukasz ÅabuÅ,Poland,Midfielder,03/12/1996
Moritz Maiershofer,Germany,Goalkeeper,16/04/1998
Fabio Maiolo,Italy,Midfielder,10/02/1997
Kevin Malone,Germany,Goalkeeper,04/08/2003
Maurice Malone,Germany,Forward,17/08/2000
Antonio MarojeviÄ,Croatia,Goalkeeper,04/01/2001
Pascal Marquard,Germany,Forward,17/11/1999
JosuÃ© Mbila,Germany,Midfielder,21/08/1999
Calvin McClure,Scotland,Goalkeeper,01/11/1994
Ä°lhami Medineli,Turkey,Forward,29/01/2000
Lukas MeisetschlÃ¤ger,Germany,Midfielder,26/09/1996
Tiago Mendes,Angola,Defender,01/01/2000
Maximilian Mertl,Germany,Midfielder,16/01/1997
Christian Miller,Germany,Defender,19/01/1999
Jivincy Milolo,Kenya,Forward,10/05/1995
Thomas Mitsakos,Greece,Midfielder,19/02/2001
