Name,Country,Position,Born
Saif Ahmed,Denmark,Midfielder,
Mahdi Youssef Alawie,Denmark,Midfielder,
Hiva Alimoradi,Denmark,Midfielder,
Selim Baskaya,Denmark,,
Levent Bicen,Denmark,Midfielder,
Magnus Blixt,Denmark,Midfielder,
Magnus BjÃ¸rn Blixt,Denmark,Midfielder,
Sebastian Blynov,Denmark,Goalkeeper,24/12/2000
Hugo BÃ¸je Munter,Denmark,Midfielder,
Patrick Brochsgaard,Denmark,Midfielder,
Hasan Buruk,Denmark,Midfielder,
Mads Christensen,Denmark,Midfielder,
Mattheo Cliford,Denmark,Defender,15/03/2001
Frederik Druedal Nielsen,Denmark,Midfielder,
Bastian Efraimsen,Denmark,Midfielder,
Jonathan Engell,Denmark,Midfielder,
Mahdi Fatahi,Denmark,,
Mohammed Fazal,Denmark,Midfielder,29/05/2002
Max Fenger,Denmark,Midfielder,07/08/2001
Carl-Emil Fjord,Denmark,Midfielder,
Valdemar Fuchs Jensen,Denmark,Midfielder,
Stefan Gartenmann,Denmark,Defender,02/02/1997
David Gitau,Denmark,Defender,10/01/2001
Jonas Harslund,Denmark,Midfielder,
Malthe Holmbjerg,Denmark,Midfielder,
Mohammed Hussian,Denmark,Goalkeeper,
Oliver Jensen,Denmark,Midfielder,18/01/2001
Mathias Johansen,Denmark,Forward,01/11/2001
Silas Juhl,Denmark,Midfielder,
Gabriel Kabongo-Bentzen,Denmark,Defender,
Mikkel Knudsen,Denmark,Midfielder,21/03/2001
Conrad Kromann,Denmark,Goalkeeper,
Asger Larsen,Denmark,Midfielder,
Oliver Lauritsen,Denmark,Midfielder,09/03/2002
Tobias Lauritsen,Denmark,Midfielder,
Gustav Lemke,Denmark,Midfielder,
Frederik Lindberg,Denmark,Forward,
Albert Madsen,Denmark,Midfielder,
Tobias Matthiesen,Denmark,Midfielder,
Jacob Milo,Denmark,Midfielder,
Omed Mirzazadeh,Denmark,,
Anton MÃ¸ller Nielsen,Denmark,Midfielder,
Niels Nejsig Javakhishvili,Denmark,Midfielder,
Anton NÃ¸rvang,Denmark,Midfielder,
William Vincens Olsen,Denmark,Midfielder,
Sebastian Otoa,Denmark,,
Casper Emil Petersen,Denmark,Midfielder,
Christopher Poulsen,Denmark,Midfielder,
Henrik Ravensbeck,Denmark,Midfielder,09/01/2001
Alexander Rosengaard Engqvist,Denmark,Midfielder,
Imberja Salihi,Denmark,Forward,
Christian Sandbeck Bruhn,Denmark,Midfielder,
Lorent Selmani,Denmark,Midfielder,
Alexander Simmelhack,Denmark,,
Marcus Skovgaard,Denmark,Goalkeeper,
Marc SÃ¸rensen,Denmark,Midfielder,28/09/2001
Patrick Szankowski,Denmark,Midfielder,
Christoffer Tabrizi-BirkebÃ¦k,Denmark,Midfielder,
Fredrik Thisted,Denmark,Midfielder,
Benjamin Toelstang Riisgaard,Denmark,Midfielder,
Victor Vasquez,Denmark,Midfielder,14/11/2003
Sebastian Voie-Andersen,Denmark,,
Benjamin Zeka,Denmark,Forward,03/05/2001
