Name,Country,Position,Born
Arlind Aliti,North Macedonia,Defender,24/11/1999
Ermin Anrushi,North Macedonia,Defender,21/08/1995
Sedat Berisha,North Macedonia,Defender,03/09/1989
Klisman Cake,Albania,Defender,02/05/1999
Aleksandar Celeski,North Macedonia,Forward,24/08/1996
Dejan Cvetanoski,North Macedonia,Forward,15/05/1990
Aleksandar DalÄeski,North Macedonia,Midfielder,18/04/1991
Fjoralb Deliaj,Albania,Defender,04/04/1997
Hristijan Dragarski,North Macedonia,Defender,16/04/1992
UroÅ¡ ÄuriÄ,Serbia,Goalkeeper,01/12/1993
Blagojce Glavevski,North Macedonia,Forward,06/04/1988
Agon Hajredini,North Macedonia,Midfielder,06/05/2000
Abdulhadi Jahja,North Macedonia,Forward,03/06/1999
Antonio Kalanoski,North Macedonia,Forward,25/04/1994
Ard Kasami,North Macedonia,Defender,03/01/1998
Hristijan Kirovski,North Macedonia,Forward,12/10/1985
Valentin Kochoski,North Macedonia,Midfielder,01/03/1997
Nijaz Lena,North Macedonia,Midfielder,25/06/1986
Atdhe Mazari,Albania,Midfielder,02/06/2001
Zija Merdjani,North Macedonia,Defender,22/10/1995
Burhan Mustafov,North Macedonia,Midfielder,02/03/1994
Florent Osmani,North Macedonia,Forward,28/05/1988
Ilce Petrovski,North Macedonia,Goalkeeper,22/07/1989
Emran Ramadani,North Macedonia,Forward,29/01/1992
Ardit Shaqiri,North Macedonia,Midfielder,04/05/1985
Blerton Sheji,Albania,Defender,21/10/2000
Nikolche Simonovski,North Macedonia,Goalkeeper,19/11/1993
Arben Tafe,North Macedonia,Defender,06/04/1992
Flamur Tairi,North Macedonia,Midfielder,24/11/1990
Filip TrajÄevski,North Macedonia,Goalkeeper,08/09/1998
Ljupco Trpeski,North Macedonia,Midfielder,24/07/1994
Aleksandar Vasilev,North Macedonia,Defender,03/07/1985
Naum Veljanoski,North Macedonia,Defender,21/12/1992
Boban Zdravevski,North Macedonia,Forward,24/07/1999
