Name,Country,Position,Born
Friederike Abt,Germany,Goalkeeper,07/07/1994
Lea Althof,Germany,Midfielder,30/10/1996
Verena Aschauer,Austria,Defender,20/01/1994
Jessy Atila,Belgium,Defender,17/02/1987
Elena Auinger,Germany,Defender,22/04/1996
Barfin Aytan,Germany,Forward,17/11/1999
Anja Barwinsky,Germany,Midfielder,14/04/1986
Helen Baus,Germany,Defender,24/03/2000
Joana Beckers,Germany,Forward,13/05/1994
Isabella Berger,Austria,Defender,04/09/1989
Maxine Birker,Germany,Midfielder,24/12/1989
Aaliyah Blanke,Germany,Midfielder,03/04/2002
Anna Bock,Germany,Goalkeeper,11/01/2000
Hannah BÃ¶ddicker,Germany,Midfielder,03/09/1999
Virginia BÃ¶hne,Germany,Forward,09/01/1995
Sarah BÃ¶versen,Germany,Forward,27/02/2002
Joyce Lee Braun,Germany,Goalkeeper,09/07/2001
Laureen Brilka,Germany,Midfielder,29/01/1996
Franziska BrÃ¶ckl,Germany,Defender,13/06/1994
Hannah Bromley,New Zealand,Defender,15/11/1986
Claudia Bujna,Germany,Defender,10/12/1991
Romina Burgheim,Germany,Forward,08/06/1987
Svenja Burkhardt,Germany,Defender,20/10/1993
MÃ©lissa Busque,Canada,Midfielder,18/02/1990
Duygu CantÃ¼rk,Germany,Defender,
Martina Capelli,Italy,Midfielder,19/02/1992
Fabiana Colalongo,Germany,Midfielder,09/04/1998
Laura Dahlkemper,Germany,Defender,03/09/1995
Gianna Daniele,Germany,Midfielder,12/02/2001
Carlie Davis,USA,Defender,27/02/1991
Sandra Deilmann,Germany,Midfielder,11/10/1983
Meike DeliÃen,Germany,Defender,09/01/1997
Celine DemirÃ¶nal,Germany,Midfielder,15/07/1999
Orsolya Dencz,Hungary,Midfielder,20/12/1996
Juliana Denecke,Germany,Midfielder,17/02/2001
Christina Drewitz,Germany,Defender,12/02/1986
Jacqueline DÃ¼nker,Germany,Midfielder,21/04/1986
Kea Eckermann,Germany,Defender,25/12/1994
Leonora Ejupi,Kosovo,Forward,07/02/2000
Laura Feiersinger,Austria,Midfielder,05/04/1993
Melina Finke,Germany,Midfielder,05/06/2001
Amelie FÃ¶lsing,Germany,Midfielder,29/12/1999
Laura Giuliani,Italy,Goalkeeper,05/06/1993
Nina GÃ¶king,Germany,Goalkeeper,27/05/1992
Lena GÃ¶llner,Germany,Defender,11/04/1995
Marion GrÃ¶bner,Austria,Forward,26/12/1985
Ashley Grove,USA,Midfielder,20/11/1990
Lena Hackmann,Germany,Defender,26/04/1984
Yvonne Hansmeier,Germany,Defender,20/04/1990
Deniz Harbert,Germany,Midfielder,03/02/1987
Lydia Hastings,USA,Midfielder,05/02/1990
Leonie Heitlindemann,Germany,Defender,29/06/1998
Cathrin Herfurth,Germany,Midfielder,27/12/1972
Julia Holke,Germany,Forward,19/05/2000
Kristina HÃ¶lscher,Germany,Midfielder,09/03/1989
Christin Horst,Germany,Midfielder,09/12/1992
