Name,Country,Position,Born
Daneel Abela,Malta,Forward,08/01/1999
Kenneth Abela,Malta,Forward,21/05/1975
Andrei Agius,Malta,Defender,12/08/1986
Edmond Agius,Malta,Midfielder,23/02/1987
Alarcon,Spain,Forward,21/01/1988
Julio AlcorsÃ©,Argentina,Forward,17/09/1981
Allan Kardeck,Brazil,Forward,16/05/1982
Sunny Anastasi,Malta,Defender,05/04/1934
Ferdinando Apap,Malta,Defender,29/07/1992
Edward Aquilina,Malta,Midfielder,02/09/1945
Darren Attard,Malta,Defender,01/11/1974
Emanuel Attard,Malta,Defender,16/11/1934
Ian Attard,Malta,Defender,17/09/1968
Joseph Attard,Malta,Midfielder,
Lawrence Attard,Malta,Defender,06/06/1966
Noel Attard,Malta,Forward,20/12/1960
Alfred Azzopardi,Malta,Defender,05/02/1956
Andrea Azzopardi,Malta,Midfielder,15/02/1998
Ayrton Azzopardi,Malta,Midfielder,09/12/1993
Edward Azzopardi,Malta,Defender,24/12/1941
Roderick Baldacchino,Malta,Midfielder,07/10/1975
Daniel Balzan,Malta,Goalkeeper,08/05/1991
Etienne Barbara,Malta,Forward,10/06/1982
Matthew Bartolo,Malta,Midfielder,14/06/1986
Victor Bellia,Malta,Midfielder,02/11/1979
Fadel Ben Ammar,Lebanon,Midfielder,
Johan Bezzina,Malta,Midfielder,30/05/1994
GuÃ°mundur Bjarnarson,Iceland,Midfielder,27/04/1961
Ivan BlaÅ¾eviÄ,Croatia,Midfielder,25/07/1992
Dejan BoljeviÄ,Montenegro,Defender,30/05/1990
Henry Bonello,Malta,Goalkeeper,13/10/1988
John Bonello,Malta,Goalkeeper,10/05/1958
Salvu Bonello,Malta,Forward,31/03/1945
Mauro Bonnici,Malta,Defender,28/05/1984
Steve Borda,Malta,Defender,09/07/1986
Borg,Malta,Forward,
Anthony Borg,Malta,Goalkeeper,
Jurgen Borg,Malta,Goalkeeper,08/08/1994
Martin Borg,Malta,Defender,17/11/1979
Roderick Briffa,Malta,Midfielder,24/08/1981
Rudi Briffa,Malta,Goalkeeper,21/08/1996
Igor BubnjiÄ,Croatia,Defender,17/07/1992
David Buckingham,Malta,Defender,03/01/1951
Daniel Buckle,Malta,Defender,29/07/1997
Norman Buckle,Malta,Forward,
Joe Bugeja,Malta,Midfielder,
Ian Buhagiar,Malta,Forward,06/09/1964
Alex Busuttil,Malta,Forward,03/01/1969
George Buttigieg,Malta,Defender,26/10/1960
Luka Buttigieg,Malta,Midfielder,11/10/1988
Norman Buttigieg,Malta,Defender,18/02/1956
Danijel Buzurovic,Croatia,Midfielder,
Christian Callejas,Uruguay,Midfielder,17/05/1978
Camilleri,Malta,Midfielder,
Alex Camilleri,Malta,Goalkeeper,08/08/1975
Benjamin Camilleri,Malta,Midfielder,16/08/1988
David Camilleri,Malta,Midfielder,21/08/1974
Edwin Camilleri,Malta,Defender,08/01/1963
Ryan Camilleri,Malta,Defender,22/05/1988
Silvio Camilleri,Malta,Midfielder,12/10/1968
John Campbell,Malta,Defender,03/10/1961
Eddie Canige,Malta,Forward,
David Carabott,Malta,Midfielder,18/06/1968
Bertu Carter,Malta,Defender,10/04/1952
Edgar Caruana,Malta,Midfielder,
Jonathan Caruana,Malta,Defender,24/07/1986
Thomas Caruana,Malta,Forward,1985
Tristan Caruana,Malta,Midfielder,15/09/1991
Andre Cassar,Malta,Midfielder,19/02/1971
Charles Cassar,Malta,Midfielder,31/10/1958
Christian Cassar,Malta,Goalkeeper,22/03/1992
David Cassar,Malta,Goalkeeper,24/11/1987
Ivan Cassar,Malta,Goalkeeper,03/04/1982
Kevin Cassar,Malta,Defender,22/06/1979
Stephen Cassar,Malta,Defender,18/09/1967
Victor Cassar,Malta,Defender,
Elkien Cauchi,Malta,Defender,
John Cauchi,Malta,Defender,03/01/1956
Yan Cauchi,Malta,Defender,23/07/1991
Neil Chetcuti,Malta,Forward,27/04/1995
Scott Chircop,Malta,Defender,17/02/1994
Ndubisi Chukunyere,Nigeria,Forward,23/12/1979
Adrian Ciantar,Malta,Midfielder,09/08/1978
Kevin Ciantar,Malta,Defender,12/07/1971
