Name,Country,Position,Born
Sami Alsafi,Denmark,Forward,
Jon Bach Andersen,Denmark,Midfielder,
Adam Bejerholm,Denmark,Midfielder,
Simon BergstrÃ¸m,Denmark,Midfielder,
Arvid Birch Laursen,Denmark,Goalkeeper,
Mads Bobjerg,Denmark,Defender,
Casper BorÃ¸d,Denmark,Defender,05/03/2000
Nikolaj Brandt Frandsen,Denmark,Midfielder,12/04/1999
Jonas Christensen,Denmark,Defender,
William Christtreu,Denmark,Midfielder,
Lukas Dahl,Denmark,Forward,
Magnus Eilstrup Larsen,Denmark,Forward,
Simon Engberg,Denmark,Forward,16/07/1999
Casper Gyldenvang,Denmark,Midfielder,
Jonas Hansen,Denmark,Defender,12/06/1999
Magnus Hansen,Denmark,Forward,
Peter Hansen,Denmark,Forward,
Anders Herlev Andersen,Denmark,Midfielder,
Otto Jarlfeldt,Denmark,Defender,
Frederik Ruhr Jensen,Denmark,Midfielder,
Lucas Jensen,Denmark,Midfielder,
Rasmus Jensen,Denmark,Midfielder,
Daniel Kjeldsen,Denmark,Midfielder,
Victor Kofoed,Denmark,Defender,
Oliver Kolding,Denmark,Midfielder,
Noah Kristensen,Denmark,Midfielder,
Victor Krogholt,Denmark,Midfielder,
Andreas Larsen,Denmark,Forward,
Mathias Larsen,Denmark,Midfielder,
Rasmus Lean,Denmark,Midfielder,
Jack Lin,China,Defender,
Benjamin Maarfelt,Denmark,Defender,03/07/1999
Gustav Madsen,Denmark,Midfielder,
Elias Markvadsen,Denmark,Forward,
Rune Min Foght,Denmark,Midfielder,
August Mogensen,Denmark,Defender,
Kevin MÃ¸llebro,Denmark,Midfielder,
Gustav Nyman,Denmark,Forward,
Frederik Nymark,Denmark,Midfielder,
Emil Nystrand,Denmark,Defender,
Christian Olsen,Denmark,Forward,
Nicolai Olsen,Denmark,Midfielder,
Victor Palmquist,Sweden,Midfielder,
David Paris,Denmark,Goalkeeper,19/02/1999
Kristian Paris,Denmark,Defender,
Jeppe Petersen,Denmark,Midfielder,
Magnus Petersson,Denmark,Goalkeeper,
DÃ¡nial Poulsen,Denmark,Midfielder,
Magnus Ravn Olsen,Denmark,Defender,2003
Mads RÃ¸nn,Denmark,Midfielder,
Kristian Skovby,Denmark,Midfielder,24/07/1999
Emil Skovholm,Denmark,Midfielder,
Emil Slipsager,Denmark,Goalkeeper,
Lucas SÃ¸rensen,Denmark,Midfielder,
Magnus SÃ¸rensen,Denmark,Midfielder,22/02/2001
Tor SÃ¸rensen,Denmark,Midfielder,
Emil Staugaard,Denmark,Defender,20/09/2001
Alexander Stroustrup,Denmark,Forward,10/11/2000
Oliver Toft Geppel,Denmark,Midfielder,
Mathias Vallem,Denmark,Midfielder,
Victor Vega MÃ¸ller,Denmark,Midfielder,
