Name,Country,Position,Born
Alex de Andrade,Brazil,Forward,26/05/1980
Lazaro Alfonso,Cuba,Midfielder,04/02/1981
Rafail Asbuchanow,Germany,Forward,25/01/1989
Ayhan Bas,Turkey,Midfielder,1984
Marc Becker,Germany,Forward,01/05/1989
Tim-Niklas Becker,Germany,Forward,01/05/1991
Andreas Berg,Germany,Defender,02/05/1974
Mirko Blech,Germany,Midfielder,31/01/1991
Daniel Boateng,Germany,Midfielder,14/02/1989
Sven Bothfeld,Germany,Defender,05/07/1981
Jamal Bounoua,Morocco,Defender,19/11/1970
Benjamin Brosche,Germany,Goalkeeper,04/11/1988
JÃ¶rg BrÃ¼ning,Germany,Defender,01/11/1975
Manuel Brunne,Germany,Forward,13/02/1981
Sascha Buchholz,Germany,Defender,22/10/1984
Garip Capin,Turkey,Forward,28/07/1975
Tobias Clausing,Germany,Defender,29/08/1978
Yilmaz Dag,Turkey,Defender,29/09/1981
Vedat Dragusha,Germany,Forward,
Ãnder Duyar,Turkey,Midfielder,16/08/1979
Emilio Ortega,Spain,Midfielder,07/07/1985
Sebastian Ernst,Germany,Defender,28/03/1983
Philipp Fritschmann,Germany,Defender,
Sergej Ginger,Germany,Forward,29/09/1986
Benjamin Grupp,Germany,Midfielder,
Benjamin Halstenberg,Germany,Defender,31/05/1986
Marco Hansmann,Germany,Defender,24/08/1987
Robert Hauk,Germany,Forward,06/08/1989
Patrick Heldt,Germany,Forward,07/10/1980
Patrick Hiber,Germany,Forward,01/04/1988
Alexander Homann,Germany,Goalkeeper,27/12/1980
Michael Huntemann,Germany,Forward,1985
Mark Jenkins,Germany,Midfielder,10/02/1976
Marcel Kattenhorn,Germany,Midfielder,26/09/1986
Marco Kirsch,Germany,Midfielder,23/01/1980
Martin Kunka,Germany,Goalkeeper,07/01/1979
Jonas KÃ¼nne,Germany,Midfielder,24/02/1991
Cihan Kuru,Turkey,Midfielder,29/12/1986
Gernot Leipold,Germany,Forward,01/07/1980
Pascal Magiera,Germany,Midfielder,24/10/1990
Marcel Maluck,Germany,Goalkeeper,06/03/1989
Marcel IbÃ¡Ã±ez,Spain,Defender,03/04/1977
Jan-Henrik Matthes,Germany,Midfielder,13/07/1991
Steven McAuley,Germany,Midfielder,14/09/1989
Maxiem Menges,Germany,Midfielder,29/09/1990
Freerk Miener,Germany,Defender,04/06/1990
Roy Nischkowsky,Germany,Defender,11/02/1975
Patrick Njofang,Nigeria,Defender,26/12/1974
Franklin Nnane,Germany,Midfielder,07/06/1988
Erkan Ogurtan,Turkey,Midfielder,06/05/1987
Marco Ostermann,Germany,Defender,02/04/1988
Dustin Reinhold,Germany,Forward,05/04/1990
Jan Reuter,Germany,Midfielder,18/06/1994
Ricardo Borba,Brazil,Forward,04/02/1983
Miguel Risco,Germany,Goalkeeper,
Philipp Rockahr,Germany,Forward,20/06/1989
Jens RÃ¶hl,Germany,Forward,23/11/1979
Dag RÃ¼diger,Germany,Midfielder,04/03/1993
Elvedin Sabotic,Germany,Forward,02/03/1978
Sener Samast,Germany,Midfielder,01/06/1979
Benjamin Sausmikat,Germany,Midfielder,22/04/1985
Benjamin Schmedes,Germany,Defender,28/02/1985
Marko Schwabe,Germany,Defender,04/12/1975
Artur Smiatek,Germany,Defender,23/04/1984
Marvin StrohschÃ¤nk,Germany,Midfielder,04/01/1999
Hakan Toku,Germany,Midfielder,14/12/1983
Florian Toussaint,Germany,Midfielder,30/01/1976
Daniel Trochymiuk,Poland,Forward,08/07/1987
Sascha Walther,Germany,Goalkeeper,16/07/1982
Matthias WÃ¶rner,Germany,Midfielder,06/05/1985
Michael Wurszt,Germany,Defender,24/07/1991
Joe Yankson,Ghana,Defender,27/04/1980
Malte Becker,Germany,Forward,16/11/1983
Rene Bonath,Germany,Defender,26/01/1988
Danny Enthof,Germany,Midfielder,06/02/1980
Patrick FiÃ,Germany,Forward,27/04/1984
Jan Hartwig,Germany,Midfielder,17/06/1987
Martin Heinrich,Germany,Defender,15/06/1980
Martin Hepke,Germany,Defender,15/05/1979
Mehmet KodeÅ,Turkey,Forward,21/06/1990
Oliver KÃ¶ther,Germany,Goalkeeper,12/05/1972
Thorsten Kuhlmann,Germany,Midfielder,31/07/1987
Christopher Leonhardt,Germany,Forward,24/08/1987
Bulani Malungu,Congo DR,Forward,29/04/1990
Florian Mitzlaff,Germany,Midfielder,01/06/1995
Amir Redzic,Bosnia-Herzegovina,Midfielder,29/06/1996
Marc Rustige,Germany,Forward,06/04/1989
Thorsten Schlingmann,Germany,Midfielder,28/12/1979
Sebastian Schmidt,Germany,Midfielder,18/02/1985
Ustim SchrÃ¶der,Germany,Forward,22/06/1987
Marko Tredup,Germany,Defender,15/05/1974
Hanjo Vocks,Germany,Midfielder,23/04/1980
Dimitri Vollmer,Kazakhstan,Midfielder,12/05/1988
Christoph Vormund,Germany,Defender,05/08/1987
Oluwafemi Williams,Nigeria,Goalkeeper,14/05/1993
Frederik Witte,Germany,Goalkeeper,19/02/1985
MathÃ¤us Zehn,Germany,Defender,26/11/1983
