Name,Country,Position,Born
Jan Adolphs,Germany,Defender,
Lauritz Angerstein,Germany,Defender,20/03/1990
Nico August,Germany,Midfielder,
Carsten Aumann,Germany,Goalkeeper,
Sebastian Behler,Germany,Goalkeeper,12/03/1996
Paul Beyer,Germany,Defender,11/02/1998
Simon Bukowski,Germany,Forward,19/04/1996
Malte Eckert,Germany,Midfielder,
Dominik Enz,Germany,Forward,04/07/1996
Timm Esser,Germany,Defender,14/07/1997
Fabian Feldmann,Germany,Defender,21/07/1989
Frederick Gipper,Germany,Midfielder,12/04/1993
Alexander Golz,Germany,Goalkeeper,16/05/1996
Maximilian Golz,Germany,Midfielder,30/04/1995
Marc Andre Gotzeina,Germany,Midfielder,15/04/1998
Justin Gumpert,Germany,Defender,03/03/2000
Steffen Herzog,Germany,Defender,02/11/1997
Luca Kazelis,Germany,Forward,21/04/1999
Ismail KÄ±Åin,Germany,Midfielder,07/10/1996
Steffen KÃ¶fler,Germany,Midfielder,07/04/1995
Marcel Kraushaar,Germany,Midfielder,03/04/1991
Marcel Kuhlmann,Germany,Defender,25/08/1993
Leonard LÃ¶hrmann,Germany,Midfielder,26/04/2000
Fabian LÃ¼mmer,Germany,Forward,16/09/1991
Niklas LÃ¼mmer,Germany,Midfielder,11/10/1989
Marius LÃ¼nemann,Germany,Defender,17/09/1996
Florian Machtemes,Germany,Forward,02/12/1992
Luca Margref,Germany,Defender,23/09/1998
David Moreno,Germany,Midfielder,09/02/1987
Marius Nieland,Germany,Goalkeeper,08/07/1992
Amin Ouahaalou,Germany,Defender,25/06/1998
Christopher PannenbÃ¤cker,Germany,Goalkeeper,
Damian Peterburs,Germany,Midfielder,22/04/1997
Sebastian Schnell,Germany,Midfielder,
Paul SchÃ¼tte,Germany,Midfielder,09/08/2000
Sergej Stahl,Germany,Defender,16/08/1996
Hendrik Zimmermann,Germany,Goalkeeper,07/02/1998
