Name,Country,Position,Born
Niclas Andersen,Denmark,Defender,17/03/1999
Ture Blaue,Germany,Midfielder,16/08/1999
Jonas Bossen,Denmark,Midfielder,08/07/2001
Jesper Byriel,Denmark,Midfielder,
Peter Christiansen,Denmark,Forward,02/12/1999
Nicolai Dupont SÃ¸rensen,Denmark,Forward,05/07/2000
Morten Dyrmose,Denmark,Defender,23/03/2001
Valdemar Frahm,Denmark,Midfielder,
Rasmus Glintborg,Denmark,Goalkeeper,
Leivur Guttesen,Faroe Islands,Midfielder,17/01/2002
Mads Hansen,Denmark,Midfielder,10/04/2001
Tobias Hansen,Denmark,Midfielder,
JÃ³hann Hansson,Faroe Islands,Forward,17/08/2001
Lasse Haysen,Denmark,Midfielder,
Zlatan Henic,Denmark,Midfielder,24/03/2001
Alex HersbÃ¸ll,Denmark,Defender,
Simon HÃ¸yer,Denmark,Midfielder,
Gulak Jacobsen,Faroe Islands,Forward,09/06/2002
Teit Jacobsen,Faroe Islands,Midfielder,16/03/1998
Patrick Jahn,Denmark,Midfielder,
Jesper Jensen,Denmark,Midfielder,
Emil Johansen,Denmark,Defender,06/01/2000
Jeppe Jordoson,Denmark,Defender,30/11/1999
Yilmaz Kocan,Denmark,Forward,05/04/2003
Alexander Kostow,Denmark,Goalkeeper,27/05/2001
Jannick Liburd,Denmark,Forward,26/09/2001
Jonas Madsen,Denmark,Defender,04/11/2000
Kristoffer Madsen,Denmark,Goalkeeper,28/05/2000
Christian MaglehÃ¸j Skou,Denmark,Midfielder,
Casper Mols,Denmark,Goalkeeper,
Adis Murati,Denmark,Forward,08/02/2002
Ardit Murati,Denmark,Forward,08/07/2000
Edin Muratovic,Bosnia-Herzegovina,Forward,11/05/2001
Van Tha Thawng Ni Dum,Myanmar,Midfielder,08/09/1998
Frederik Nielsen,Denmark,Forward,2000
Kristian Nielsen,Denmark,Defender,03/04/2000
Erik Nissen,Denmark,Defender,05/02/1997
Magnus Nissen,Denmark,Goalkeeper,05/08/2002
Mads Olesen,Denmark,Midfielder,
Kristian Olsen,Denmark,Goalkeeper,
Philip ÃsterbÃ¦k,Denmark,Goalkeeper,
Ajvaz Redzepi,Denmark,Forward,27/04/2002
Jesper Riis,Denmark,Defender,
Tobias Ryborg,Denmark,Defender,
Oliver Saundry,Canada,Goalkeeper,01/12/2000
Victor Schlage,Denmark,Midfielder,
Oscar Schultz,Denmark,Defender,19/01/2000
Marcus Sloth,Denmark,Midfielder,13/01/1997
Victor Smedsrud,Denmark,Goalkeeper,26/11/1999
Morten Snabe,Denmark,Midfielder,13/05/2001
Mads Steenberg,Denmark,Defender,22/06/2001
Oscar Stentoft,Denmark,Midfielder,25/08/2001
Steffen Svenningsen,Denmark,Midfielder,04/08/2000
Arman Taranis,Denmark,Forward,30/07/2001
Mathias Therkelsen,Denmark,Defender,
Bastian ToelhÃ¶j,Denmark,Midfielder,
Bastian ToelhÃ¸j,Denmark,Midfielder,
Rasmus Vinderslev,Denmark,Midfielder,12/08/1997
Mads Winther,Denmark,Defender,20/10/2001
Nazifi Yahaya,Nigeria,Forward,16/12/2000
