Name,Country,Position,Born
Patrick Asshocko,,Defender,
Adonai Bandu,,,
Alexandre Batisse,,,
Edon Berisha,Switzerland,Midfielder,03/01/2004
Bernard Blasco,,,
Ethan Brandy,Switzerland,Defender,10/11/2004
Dario Camerieri,,,
Thibaud Clerc,,,
Anton Ekstrand,Switzerland,Goalkeeper,28/08/2005
Amin Hajoubi,,Midfielder,
Timo Hottiger,,,
Eric Jorge Castellino,Switzerland,Midfielder,06/02/2004
Elvis Kouassi,,Defender,
Silva Luvualo,Switzerland,Forward,18/04/2004
ExaucÃ© Luwawa Filipe,Angola,Defender,26/08/2004
JoÃ«l Mandaka,Switzerland,Defender,12/03/2004
Joss Marques Da Silva,Switzerland,Midfielder,14/01/2004
Dayan MÃ¼ller,,Defender,
Marvin Nkemby,Switzerland,Defender,07/06/2004
Marlon Oliveira,,Forward,
JoÃ«l Ribeiro,Switzerland,Midfielder,14/02/2003
Maxime Rouiller,,,
Malko Sartoretti,,Forward,
Alain Tissot,,,
Dagsan Vigneswaran,,Midfielder,
