Name,Country,Position,Born
Mikkel Agger,Denmark,Forward,01/11/1992
Babajide Akintola,Nigeria,Midfielder,13/01/1996
Mayowa Alli,USA,Defender,21/03/1992
Christian Andreasen,Denmark,Forward,18/05/1988
Hannes Anier,Estonia,Forward,16/01/1993
Jens Berthel Askou,Denmark,Defender,19/08/1982
Peter Bechmann,Denmark,Forward,03/04/1981
Mickey Berg,Denmark,Midfielder,25/02/1987
Bobo,Ghana,Defender,21/03/1982
Asger Bust,Denmark,Midfielder,24/09/1996
Laurits Bust,Denmark,Defender,05/12/1998
Thomas Christensen,Denmark,Midfielder,13/08/1989
Denis DiemÃ©,Senegal,Defender,
Lukas Enevoldsen,Denmark,Defender,
Johny Eriksen,Denmark,Goalkeeper,30/05/1982
Aziz Essaisi,Sweden,Forward,29/05/1998
Tim Faldov,Denmark,Midfielder,24/03/1982
Christian Flindt-Bjerg,Denmark,Midfielder,19/02/1974
Sead Gavranovic,Denmark,Forward,01/07/1991
Hunter Gorskie,USA,Defender,27/06/1991
Kasper Hedegaard,Denmark,Forward,31/08/1999
Andreas Heimer,Denmark,Midfielder,10/12/1997
Allan HÃ¸venhoff,Denmark,Midfielder,22/05/1990
Markus Iversen,Denmark,Goalkeeper,31/01/1999
Sonny Jakobsen,Denmark,Forward,14/11/1990
Kris Jensen,Denmark,Forward,01/09/1989
Simon Josefsen,Denmark,Forward,13/03/1978
Daniel Kristensen,Denmark,Midfielder,14/12/1980
Lars Kristensen,Denmark,Forward,07/08/1986
Andreas Kristiansen,Denmark,Midfielder,29/05/1987
Mickey Kristiansen,Denmark,Midfielder,25/02/1987
Christian Kudsk,Denmark,Midfielder,09/01/1998
Emil Lagergaard,Denmark,Midfielder,01/11/1998
Danni Lauridsen,Denmark,Forward,31/01/1989
Mads Lauritsen,Denmark,Defender,14/04/1993
Benjamin Lund,Denmark,Defender,12/03/1997
Charlie Machell,England,Forward,25/10/1994
Tommy Markussen,Denmark,Defender,04/03/1984
Thorsten Marx,Denmark,Goalkeeper,20/05/1987
Jeppe Mehl,Denmark,Midfielder,21/09/1986
Kevin Ray Mendoza,Philippines,Goalkeeper,29/09/1994
Jeff Mensah,Denmark,Midfielder,10/08/1992
Kasper Mortensen,Denmark,Midfielder,11/01/1990
Tobias MÃ¸lgaard,Denmark,Midfielder,22/07/1996
Ronny MÃ¸ller-Iversen,Denmark,Forward,17/07/1994
Mathias Myrthue,Denmark,Defender,
Kristian Nielsen,Denmark,Midfielder,29/03/1984
Martin Nielsen,Denmark,Forward,06/12/1984
SÃ¸ren Nielsen,Denmark,Forward,03/11/1990
Casper NordstrÃ¸m,Denmark,Defender,03/02/1989
Malthe Nygaard,Denmark,Midfielder,26/06/1989
Casper Olesen,Denmark,Midfielder,10/05/1996
Dennis Olsen,Denmark,Midfielder,25/11/1983
Matias Olsen,Denmark,Defender,30/10/1990
Rasmus Olsen,Denmark,Defender,29/10/1981
Kingsley Onyenekwe,Nigeria,Defender,30/07/1986
Jesper Overgaard,Denmark,Midfielder,28/03/1985
Laus Ãstervig Nielsen,Denmark,Defender,11/06/1997
Mathias Pedersen,Denmark,Midfielder,04/06/1992
Mikkel Pedersen,Denmark,Defender,14/03/1990
Mikkel Petersen,Denmark,Goalkeeper,30/01/1978
Matej Podstavek,Slovakia,Defender,21/02/1991
Morten Poulsen,Denmark,Midfielder,09/03/1971
Glenn Rask,Denmark,Midfielder,28/08/1990
Mathias RosenÃ¸rn,Denmark,Goalkeeper,11/05/1993
Rasmus RÃ¸ge,Denmark,Defender,15/09/1997
Marcus Solberg,Denmark,Forward,17/02/1995
Jesper SÃ¸ndergaard,Denmark,Forward,19/02/1992
Martin SÃ¸ndergaard,Denmark,Defender,25/03/1993
Mads Stefansen,Denmark,Forward,15/02/1999
Jeppe Svenningsen,Denmark,Defender,14/10/1994
Collins Tanor,Ghana,Midfielder,04/01/1998
JÃ¡kup Thomsen,Faroe Islands,Forward,23/11/1997
Sakari Tukiainen,Finland,Forward,02/10/1991
Mads Vang,Denmark,Midfielder,30/01/1998
Victor Wagner,Denmark,Defender,18/03/1996
Anders Winther,Denmark,Midfielder,17/02/1973
