Name,Country,Position,Born
Andrea Accardi,Italy,Defender,30/07/1995
Cristiano Adelfio,Italy,Forward,06/04/1997
Fabio Alagna,Italy,Forward,01/04/2000
Salvatore Aloi,Italy,Midfielder,11/11/1996
Alessandro Alunni,Italy,Goalkeeper,27/02/1998
Aldo Arcuri,Italy,Defender,01/01/1998
Emanuel Baiata,Italy,Defender,20/05/1997
Barcellona,Italy,Forward,
Eric Battilana,Italy,Midfielder,04/03/2000
Pierluigi Benenati,Italy,Defender,01/01/1997
Pierluigi Beninati,Italy,Defender,11/01/1997
Francesco Biscari,Italy,Midfielder,29/09/1997
Matteo Bruno,Italy,Goalkeeper,07/06/2001
Romito Paolo Bulades,Italy,Midfielder,19/08/1997
Enrico Canino,Italy,Midfielder,02/04/1998
Alessio Caradolfo,Italy,Defender,26/08/1999
Lorenzo Carissoni,Italy,Defender,07/02/1997
Antonio Cascione,Italy,Goalkeeper,16/09/1998
Riccardo Cataldi,Italy,Midfielder,31/01/2001
Antonio Ciardiello,Italy,Midfielder,14/09/1997
Giovanni Compagno,Italy,Goalkeeper,15/12/1999
Marco Cosentino,Italy,Defender,30/11/1997
Dario Costa,Italy,Forward,01/02/1994
Andrea Croce,Italy,Goalkeeper,01/01/1998
Sergio Cucchiara,Italy,Forward,14/10/1995
Ignazio D'Aguanno,Italy,Defender,2000
Giuseppe D'Anca,Italy,Midfielder,06/04/2000
Ludovico D'Angelo,Italy,Midfielder,11/05/1999
Alessandro Daidone,Italy,Forward,25/03/1997
Abdoluie Dampha,Gambia,Midfielder,01/09/1998
Alessandro De Santis,Italy,Defender,17/09/1999
Ivan Di Federico,Italy,Forward,26/04/1996
Angelo Di Maggio,Italy,Midfielder,09/11/1999
Zakaria El Badaoui,Italy,Defender,10/01/1998
Pietro Emmolo,Italy,Forward,30/04/1997
Flavio Erroi,Italy,Defender,11/01/1996
Valerio Fatta,Italy,Midfielder,18/03/1999
Salvatore Federico,Italy,Midfielder,02/07/1999
Francesco Ferracane,Italy,Midfielder,24/01/1996
Riccardo Ferrara,Italy,Goalkeeper,14/07/1995
RareÅ FlueraÅ,Romania,Forward,13/01/1999
Gianvito Gallina,Italy,Defender,08/08/1997
Mateo Titouan Gardet,France,Midfielder,01/08/1997
Alessio Garofolo,Italy,Defender,26/06/2000
Davide Gastone,Italy,Forward,10/05/1997
Emanuele Geria,Italy,Goalkeeper,29/07/1995
Pietro Giammarinaro,Italy,Midfielder,25/07/1998
Dario Giliberti,Italy,Forward,01/01/1998
Simone Guaiana,Italy,Forward,22/11/1996
Giorgio Guercio,Italy,Midfielder,20/04/1997
Giuseppe Angelo Guiducci,Italy,Defender,08/03/1997
Antonio Ingoglia,Italy,Defender,09/03/1999
Dario Ingrassia,Italy,Goalkeeper,12/02/2000
Mattia Iuculano,Italy,Midfielder,25/04/1996
Calogero Antonio La Piana,Italy,Midfielder,15/08/1997
Daniele Lazzari,Italy,Goalkeeper,03/12/1997
Vicenzo Licari,Italy,Midfielder,08/10/1998
Fabio Loliva,Italy,Goalkeeper,13/06/1998
Andrea Lombardo,Italy,Defender,04/05/1997
Andrea Annibale Lombardo,Italy,Defender,04/05/1997
Salvatore Maltese,Italy,Midfielder,21/05/1996
Luigi Marino,Italy,Forward,01/01/2000
Pietro Marino,Italy,Midfielder,31/01/1997
Alessandro Martina,Italy,Defender,17/02/2000
Domenico Mistretta,Italy,Forward,03/06/1997
Erasmo MulÃ¨,Italy,Defender,13/06/1999
Giuseppe Mule,Italy,Midfielder,26/04/1997
Giovanni Muratore,Italy,Midfielder,07/03/1999
Antonino Musso,Italy,Forward,14/09/1999
Salvatore Musumeci,Italy,Forward,03/05/1997
Davide Nitti,Italy,Defender,24/07/1997
Salvatore Novara,Italy,Defender,01/01/1999
Riccardo Ocello,Italy,Forward,01/01/1998
Justice Opoku,Senegal,Midfielder,25/01/1998
Francesco Palermo,Italy,Midfielder,29/06/1998
Riccardo Pampalone,Italy,Defender,19/09/1997
Ignazio Fabio Pipitone,Italy,Defender,26/01/1996
Andrea Polesano,Italy,Defender,16/06/1999
Samuel Portovenero,Italy,Midfielder,04/01/1996
Daniele Rao,Italy,Goalkeeper,25/09/2000
Alberto Rizzo,Italy,Midfielder,25/04/1997
Vincenzo Rocchetta,Italy,Forward,16/04/1996
Gaetano Russo,Italy,Defender,01/04/1997
Vincenzo Salone,Italy,Forward,09/04/1997
Gianluigi Salvato,Italy,Defender,01/04/1996
Vito Scarcella,Italy,Goalkeeper,1997
Camillo Schiazza,Italy,Defender,24/08/1996
Giorgio Schiro,Italy,Forward,04/04/1997
Dario Scuderi,Italy,Defender,18/06/1998
Giuseppe Selvaggio,Italy,Midfielder,04/07/1998
Michele Sisino,Italy,Goalkeeper,05/04/1998
Davide Spadaro,Italy,Midfielder,08/08/1997
Mel Taufer,Italy,Midfielder,08/02/1998
Andrea Tentoni,Italy,Midfielder,13/01/1996
Antonino Todaro,Italy,Midfielder,1998
Filippo Tolomello,Italy,Midfielder,30/05/2002
Rosario Tornetta,Italy,Forward,23/03/1999
TulhÃ£o,Brazil,Defender,22/05/1995
Giorgio Tumbarello,Italy,Midfielder,20/04/1996
Mattia Tumminelli,Italy,Defender,30/11/1996
Mattia Tumminelli,Italy,Defender,12/08/1997
Alessio Vaccaro,Italy,Goalkeeper,04/09/1999
Luca Valenti,Italy,Forward,21/03/2000
Pavel Vidanov,Bulgaria,Defender,01/08/1988
Giuseppe Vitale,Italy,Midfielder,10/09/1993
