Name,Country,Position,Born
Revelino Anastase,France,Goalkeeper,13/08/1980
Christophe Autret,France,Midfielder,25/06/1988
Sitou Ayi,Togo,Forward,01/08/1990
Alexandre Barbier,France,Defender,07/07/1979
SÃ©bastien Barrau,France,Midfielder,29/11/1977
Dylan Beaulieu,France,Midfielder,05/05/1997
Tony Bebere Bilo,France,Midfielder,
Farid Beziouen,Algeria,Midfielder,17/10/1986
Bituruna,Brazil,Defender,04/01/1991
Alexandre Bouchard,France,Goalkeeper,01/05/1988
Damien Boudjemaa,France,Midfielder,07/06/1985
StÃ©phane Cabral,Cape Verde,Defender,07/12/1988
Johan Centime,France,Defender,14/05/1976
Kevin Colin,France,Midfielder,15/11/1992
Jeremie Courtet,France,Midfielder,19/05/1993
Thomas da Costa,France,Defender,12/03/1998
Jean-Jacques Davezac,France,Forward,11/01/1968
Carlos de Carvalho,Portugal,Defender,28/07/1985
Olivier Debert,France,Defender,03/12/1975
FrÃ©dÃ©ric Delhelle,France,Midfielder,05/07/1970
Kessima DembÃ©lÃ©,France,Defender,06/04/1983
KÃ©vin Diaz,France,Forward,11/04/1983
Mamadou Dicko,France,Forward,02/02/1992
Philippe dos Santos,France,Midfielder,09/09/1972
BafodÃ© DramÃ©,France,Forward,04/08/1989
EdÃº Silva,Portugal,Defender,10/08/1990
KÃ©vin Farade,France,Forward,01/09/1995
Anthony Fernandes,France,Forward,26/03/1980
Rui Ferreira,Portugal,Forward,12/10/1990
Nicolas FranÃ§ois,France,Midfielder,08/06/1973
Gilberto Pereira,Portugal,Forward,17/02/1981
MickaÃ«l GnahorÃ©,France,Midfielder,19/03/1984
SÃ©bastien Gondouin,France,Defender,15/03/1976
Teddy Hubert,France,Defender,11/05/1973
JoÃ£o Fonseca,Portugal,Defender,17/01/1987
JoÃ£o Monteiro,Portugal,Midfielder,09/12/1998
Joel,Portugal,Forward,24/10/1990
Jony Ramos,SÃ£o TomÃ© and PrÃ­ncipe,Forward,12/05/1986
Jorge PlÃ¡cido,Portugal,Forward,19/06/1964
Doudou Kamata,Angola,Forward,11/06/1975
Ousmane KantÃ©,France,Defender,21/09/1989
Hamadou Karamoko,France,Defender,31/10/1995
Redouane Kerrouche,France,Midfielder,26/04/1994
Enzo KimbembÃ©,France,Midfielder,
Kisley,Cape Verde,Forward,22/11/1990
Philipo Kleisch,France,Defender,21/06/1992
Cheikene KonatÃ©,France,Forward,05/12/1991
Litos,Portugal,Midfielder,06/01/1967
Anthony Machado,France,Midfielder,21/02/1993
Philippe Malheiro,France,Midfielder,22/11/1971
Eric Martineau,France,Defender,19/03/1972
Marc Martiny,France,Defender,
Glody Mavinga,France,Defender,
NicolÃ¡s Minutella,Argentina,Midfielder,23/03/1995
Wilson Moreira,France,Midfielder,02/06/1986
MichaÃ«l Murcy,France,Forward,18/09/1979
Franck N'Jemane,Cameroon,Defender,10/12/1978
Hakim NaÃ¯m,France,Forward,11/05/1995
Issa NiakatÃ©,France,Midfielder,09/10/1992
Gabriel Oliveira,France,Goalkeeper,10/01/1979
Sylvio Ouassiero,France,Forward,07/05/1994
Guytout Panda,France,Goalkeeper,05/06/1991
Paulo Tavares,Portugal,Midfielder,10/12/1984
JosÃ© Pimenta,France,Defender,
Vincent Pires,France,Midfielder,17/11/1995
Pierre Planus,France,Midfielder,25/03/1979
Mathieu Rangoly,France,Defender,17/01/1989
Philippe Roques,France,Forward,09/09/1971
Mathurin Sakho,Senegal,Defender,10/03/1995
JoÃ«l Saki,France,Midfielder,20/11/1990
Sarmento,Portugal,Midfielder,16/03/1985
Guillaume Sert,France,Defender,29/11/1986
Boubou SidibÃ©,France,Forward,11/03/1986
Airton Silva Nascimento,Cape Verde,Midfielder,11/04/1983
Paulo Soares,France,Midfielder,
Johny Souza,France,Midfielder,14/09/1972
StÃ©phane,Burkina Faso,Defender,05/07/1989
Baba Sylla,Mali,Forward,16/06/1988
Kapokyeng Sylva,France,Midfielder,12/10/1992
Yann Synaeghel,France,Midfielder,23/11/1976
Antonio Tavares,France,Midfielder,23/12/1975
Arnold Temanfo,France,Defender,08/06/1993
Christian Toko Edimo,Cameroon,Forward,24/05/1993
Leopold Toty,Ivory Coast,Midfielder,16/06/1985
Patrice Trohel,France,Forward,01/10/1974
Valter Viegas,Portugal,Defender,08/12/1991
Vasconcelos,Portugal,Midfielder,03/03/1971
Steve VÃ©tier,France,Midfielder,27/12/1988
Florent Vigo,France,Defender,02/08/1971
Ali Yirango,Mali,Goalkeeper,04/01/1994
