Name,Country,Position,Born
Glerdis Ahmeti,Germany,Forward,29/03/1996
Noah Attmanspacher,Germany,Goalkeeper,13/07/1999
Daniel Baltzer,Germany,Goalkeeper,16/10/1995
Thomas Bauer,Germany,Goalkeeper,07/02/1994
Stefan Biber,Germany,Forward,04/05/1993
Christoph Biedermann,Germany,Midfielder,18/04/1991
Georgios Blantis,Greece,Goalkeeper,21/10/1993
Simon BÃ¶hm,Germany,Defender,30/03/1986
Philipp Danner,Germany,Midfielder,28/01/1996
Carmine de Biasi,Germany,Midfielder,09/10/1990
Mamadou Diallo,Germany,Forward,01/01/1997
Max DÃ¶rfler,Germany,Goalkeeper,17/03/1992
Fabian Eberle,Germany,Forward,18/10/1988
Maximilian Eberwein,Germany,Defender,18/01/1994
Tobias Eisenschenk,Germany,Forward,03/02/1989
Philipp Federl,Germany,Midfielder,24/10/1991
Sebastian Felleiter,Germany,Goalkeeper,22/06/1992
Jens FÃ¶rtsch,Germany,Defender,14/04/1998
Thomas Frahler,Germany,Goalkeeper,19/10/1984
Jonas Fries,Germany,Midfielder,03/01/1997
Ahmeti Glerdis,Kosovo,Forward,29/03/1996
Felix GÃ¶ttlicher,Germany,Defender,20/03/2002
Sebastian GraÃl,Germany,Midfielder,06/07/1995
Florian Grau,Germany,Forward,07/04/1987
Jonas Greth,Germany,Defender,25/10/1999
Michael Gurski,Germany,Goalkeeper,21/03/1979
Christopher Haas,Germany,Goalkeeper,26/09/1991
Thomas Haas,Germany,Defender,07/02/1998
Benjamin Hackner,Germany,Midfielder,17/04/1990
Oguzhan Halici,Turkey,Midfielder,15/11/1991
Fabian Heckel,Germany,Midfielder,26/06/1995
Christian Heinloth,Germany,Midfielder,13/07/1996
Thorsten Heinz,Germany,Goalkeeper,
Jonas Herter,Germany,Goalkeeper,29/02/1988
Niklas Heyen,Germany,Goalkeeper,07/08/1996
Michael Hierl,Germany,Goalkeeper,27/10/1993
Markus HÃ¶rmann,Germany,Midfielder,23/10/1982
Panagiotis Iatrou,Greece,Defender,11/03/1993
Florian Ihring,Germany,Midfielder,08/11/1992
Adrian Istrefi,Albania,Midfielder,14/03/1993
Fabian Janker,Germany,Midfielder,05/05/1995
Marcel Jasmann,Germany,Forward,15/05/2000
Markus JÃ¶rg,Germany,Defender,30/10/1981
Felix Junghan,Germany,Goalkeeper,04/09/1993
Alejandro Klinsman,Colombia,Forward,12/05/1998
Markus Kluy,Germany,Goalkeeper,23/02/1995
Marcel Kraft,Germany,Defender,25/07/1991
David Kramek,Germany,Midfielder,07/10/1992
Tobias Kramer,Germany,Forward,22/01/1994
Vincent Krenn,Germany,Forward,12/04/1991
Philipp Krieglmeier,Germany,Midfielder,16/09/1988
Arjon Kryeziu,Kosovo,Defender,24/06/1999
Julian KÃ¼gel,Germany,Midfielder,30/03/1997
Kevin KÃ¼hnlein,Germany,Defender,09/11/1990
Florian Lamprecht,Germany,Defender,23/01/1996
Benedikt Leesch,Germany,Midfielder,09/07/1995
Stefan Liebler,Germany,Midfielder,10/02/1997
Atdhedon Lushi,Albania,Forward,28/01/1993
Ramazan Mazlum,Turkey,Midfielder,31/01/1995
Rainer Meisinger,Germany,Forward,14/03/1995
Johannes MÃ¼ller,Germany,Defender,15/09/1989
Fabian Neumayer,Germany,Forward,08/04/1998
Roussel Ngankam,Germany,Forward,15/09/1993
Mustafa Ãzhitay,Azerbaijan,Goalkeeper,18/01/1996
Michael Panknin,Germany,Midfielder,07/06/1989
Christos Patsiouras,Greece,Goalkeeper,10/06/1987
Dominik Pfuhler,Germany,Midfielder,
Florian Rauh,Germany,Goalkeeper,04/02/1998
Niklas Reutelhuber,Germany,Midfielder,20/02/1999
Fabian SchÃ¤ll,Germany,Midfielder,16/09/1990
Marcel Schelle,Germany,Midfielder,25/07/1997
Benjamin Schmidramsl,Germany,Defender,29/07/1986
Dominik Schmidramsl,Germany,Defender,10/11/1981
Julian Scholl,Germany,Defender,08/01/1991
Christoph SchÃ¶ls,Germany,Goalkeeper,21/02/1976
Sebastian SchÃ¶n,Germany,Midfielder,05/04/1990
Herbert SchÃ¶tterl,Germany,Goalkeeper,22/09/1994
Lucas Schraufstetter,Germany,Midfielder,02/01/1995
Ralf SchrÃ¶der,Germany,Defender,04/08/1996
Andreas Schuster,Germany,Midfielder,14/05/1991
Yomi Scintu,Germany,Forward,20/05/1997
Marc SteingrÃ¤ber,Germany,Midfielder,20/05/1994
Markus SteinhÃ¶fer,Germany,Defender,07/03/1986
Viktor Stoll,Germany,Defender,24/08/1984
Mario Swierkot,Germany,Forward,14/10/1989
Ismailcan Usta,Germany,Midfielder,22/04/1999
Markus Waffler,Germany,Defender,17/09/1996
Daniel Weickmann,Germany,Defender,12/04/1994
Marco Witasek,Germany,Forward,20/06/1988
Dominik Wolfsteiner,Germany,Midfielder,12/03/1994
Luca Woloszyn,Germany,Goalkeeper,04/02/1998
Michael Zant,Germany,Defender,15/07/1995
Jakob Zitzelsberger,Germany,Defender,20/01/1997
