Name,Country,Position,Born
Lokman Abdi,Germany,Midfielder,05/01/1996
Kubilay Acan,Turkey,Forward,
Ali Achour,Germany,Forward,15/07/1998
Samer Aio,Germany,Forward,01/10/1994
Serhat Akyol,Turkey,Midfielder,19/07/1996
Moussa Alawie,Germany,Forward,29/11/1992
Dallas Aminzadeh,USA,Defender,02/01/1993
Sven Apostel,Germany,Midfielder,26/11/1976
Ibrahim Aslan,Turkey,Forward,01/07/1988
Norbert Auras,Germany,Defender,
R. Auras,Germany,Goalkeeper,
Sergej Bachmann,Germany,Forward,01/05/1984
Enis Baki,Germany,Midfielder,01/02/1984
Maurice Banehr,Germany,Midfielder,21/02/1993
Eddy Bartosewicz,Germany,Defender,
Abdullah Basdas,Turkey,Midfielder,01/09/1992
Damir BegiÄ,Germany,Forward,08/01/1991
Stefan Behrendt,Germany,Forward,25/07/1965
Andreas Beutelsbacher,Germany,Defender,04/09/1988
Hans-Joachim BÃ¶hm,Germany,Defender,18/02/1956
Jonathan Bondombe-Simba,Congo,Forward,1999
Peter Borchers,Germany,Goalkeeper,16/09/1953
Timo Bors,Germany,Defender,03/01/1991
Bothur,Germany,Forward,
Maximilian Braun,Germany,Goalkeeper,
Manuel Broekmann,Germany,Midfielder,16/02/1989
Dominik Burkl,Germany,Forward,16/05/1994
Thomas BÃ¼ttelmann,Germany,Goalkeeper,26/05/1989
Yankuba Camara,Gambia,Midfielder,1999
Yasin Chaaban,Germany,Defender,02/06/1997
Denis Chinaka,Germany,Midfielder,28/03/2001
Adrian Chwiendacz,Poland,Midfielder,01/09/1988
Patrick Chwiendacz,Germany,Defender,22/01/1993
Dario Cordes,Germany,Midfielder,19/01/1998
Ennio Cordes,Germany,Defender,19/01/1998
Giancarlo Cristescu,Germany,Midfielder,29/03/1994
Ali Dag,Germany,Defender,17/06/1993
Daniel DÃ¤hn,Germany,Goalkeeper,17/05/2001
OÄuzhan Dalan,Germany,Midfielder,
Buba Demba,Germany,Forward,17/07/2000
Semih Demir,Turkey,Midfielder,22/01/1994
Angel Diallo,Ivory Coast,Forward,15/02/1995
Heiko Dohrmann,Germany,Midfielder,
Werner Ehrenbrink,Germany,Midfielder,09/09/1956
Ahmed Eren,Turkey,Defender,28/05/1993
Ibrahim Fidan,Germany,Midfielder,31/12/1992
Mehmet Ali Fidan,Turkey,Forward,22/07/1990
Hannes Frerichs,Germany,Goalkeeper,13/06/1994
Daniel Gaese,Germany,Forward,03/01/1989
JÃ¶rg Gliwitzky,Germany,Goalkeeper,04/04/1946
Larry-Francklin Gogbe,Germany,Midfielder,2001
Mahmut GÃ¶kalp,Germany,Defender,06/07/1993
Niels Gronau,Germany,Midfielder,
Cheikh Gueye,Senegal,Midfielder,11/06/1995
Avni-Serdar GÃ¼ngÃ¶r,Germany,Forward,2000
Hannes GÃ¼nther,Germany,Defender,25/09/1988
Moritz Hannemann,Germany,Midfielder,30/07/1998
Rimal Haxhiu,Albania,Forward,04/03/1999
Fabian Herbst,Germany,Defender,21/05/2000
Maurice-Pascal Hesseling,Germany,Defender,2001
Oliver Husen,Germany,Goalkeeper,26/02/1973
Sung-wook Hwang,South Korea,Midfielder,
Kerem Ä°lkÄ±lÄ±Ã§,Turkey,Defender,21/03/1988
Alexander Janosch,Germany,Goalkeeper,21/10/1993
Harald Janssen,Germany,Forward,
Lars Janssen,Germany,Defender,01/01/1998
Uwe Janssen,Germany,Midfielder,
Sven Johannsen,Germany,Goalkeeper,26/12/1979
Dennis Jordan,Germany,Defender,01/02/1993
Mats Kaiser,Germany,Midfielder,22/08/1996
Lennart Kettner,Germany,Midfielder,15/04/1992
Mola Lamine Khan,Germany,Midfielder,06/05/1999
Maurice Kirsch,Germany,Midfielder,09/09/1997
Peter Klepatz,Germany,Defender,18/11/1937
Peter Klingenberg,Germany,Defender,
MichÃ©l Kniat,Germany,Defender,18/11/1985
Erik KÃ¶hler,Germany,Midfielder,02/01/1998
Alexander Koscheck,Germany,Defender,12/05/1999
Leon KrÃ¤mer,Germany,Forward,1999
Pascal Krombholz,Germany,Midfielder,29/10/1995
Bernhard Kulla,Germany,Forward,06/01/1955
Sebastian Kurkiewicz,Germany,Midfielder,24/08/1987
Kilian Lammers,Germany,Forward,13/01/1995
Sven Landwehr,Germany,Midfielder,12/01/1986
Tobias Lange,Germany,Midfielder,
Femi Lepe,Germany,Forward,12/03/1992
Daniel Luckyman,Germany,Defender,09/05/1994
Maximilian Machoczek,Germany,Goalkeeper,
Paul Marciniak,Germany,Defender,15/03/1998
Mahdi Matar,Germany,Midfielder,24/01/2000
Kebba Mboge,Gambia,Forward,19/02/1998
Arne Meyer,Germany,Midfielder,15/04/1992
Vital-Yves Mfumu,Germany,Forward,14/04/1998
Michalowicz,Germany,Forward,
Hamza Miri,Germany,Midfielder,1998
Peter Moussalli,Germany,Defender,14/08/1972
Kevin MÃ¼ller,Germany,Defender,12/07/1991
Bekim Murati,Albania,Forward,19/06/1990
Benedetto Muzzicato,Italy,Midfielder,27/09/1978
Mechak-Lazolo Nankishi,Germany,Midfielder,10/08/1998
Marvin Novotny,Netherlands,Midfielder,19/03/1993
Marvin Ntamag,Germany,Midfielder,1998
Osinski,Germany,Forward,
Tim Pendzich,Germany,Forward,26/07/1992
Nuno Porquet,Germany,Defender,12/01/2001
Andi RamÃ­rez,Dom. Republic,Defender,07/10/1997
Daniel Rosenfeldt,Germany,Defender,28/04/1987
Kurt Rosieka,Germany,Midfielder,
Mika Roskamm,Germany,Defender,20/05/2000
Jannik Rospek,Germany,Defender,04/04/1994
Barni SchrÃ¶der,Germany,Defender,
Horst SchrÃ¶der,Germany,Defender,09/11/1949
Jerome SchrÃ¶der,Germany,Goalkeeper,05/03/1993
Frank Schulken,Germany,Midfielder,08/09/1980
Moritz Schumacher,Germany,Goalkeeper,07/04/1996
Hans-JÃ¼rgen Schwaab,Germany,Forward,1946
Malte Seemann,Germany,Goalkeeper,15/05/1994
SÃ¶ren Seidel,Germany,Forward,10/10/1972
Werner Simon,Germany,Midfielder,29/06/1915
Wolfgang Simon,Germany,Midfielder,12/08/1946
Ibram Soriba Soumah,Guinea,Forward,
Denis Spitzer,Germany,Midfielder,15/12/1986
Jannik Stein,Germany,Defender,1997
Ardijan Syla,Germany,Forward,
Dennis Tanski,Germany,Midfielder,24/10/1985
Hermann Taube,Germany,Forward,04/06/1950
Kevin Thiele,Germany,Defender,12/01/1998
Helmut Thiemann,Germany,Midfielder,
Jascha Tiemann,Germany,Goalkeeper,18/04/1999
Malte Tietze,Germany,Midfielder,11/07/1993
Hillel Tladi,South Africa,Midfielder,29/05/1996
Rudi Trumpfheller,Germany,Forward,18/10/1948
Necati Uluisik,Turkey,Midfielder,08/01/1984
Vinzenz van Koll,Germany,Midfielder,12/02/1991
