Name,Country,Position,Born
Aniello Accardo,Italy,Defender,26/12/2001
Tommaso Aglietti,Italy,Goalkeeper,29/02/2000
Angelo Aimo,Italy,Midfielder,17/11/1964
Federico Altamura,Italy,Forward,
Federico Apolloni,Italy,Midfielder,16/01/2000
Marco Bartolozzi,Italy,Goalkeeper,23/06/2001
Stefano Becagli,Italy,Defender,04/05/1999
Marco Bertelli,Italy,Midfielder,16/01/1972
Tommaso Biasci,Italy,Forward,10/11/1994
Massimiliano Bongiorni,Italy,Forward,18/12/1970
Tommaso Borselli,Italy,Midfielder,08/09/1996
Thomas Braglia,Italy,Midfielder,19/11/1998
Cristian Brega,Italy,Forward,24/07/1987
Alessandro Bulgarelli,Italy,Goalkeeper,23/02/2000
Matteo Caciagli,Italy,Midfielder,05/09/1989
Alessio Canessa,Italy,Forward,12/09/1999
Carlo Caramelli,Italy,Defender,18/06/1963
Manuele Castorani,Italy,Midfielder,07/10/1999
Samuele Chelini,Italy,Defender,
Fabio Cortopassi,Italy,Midfielder,14/01/1999
Andrea de Carlo,Italy,Goalkeeper,29/03/2000
Nicholas de Carlo,Italy,Defender,29/03/2000
Tommaso Di Renzone,Italy,Defender,27/01/1999
Dario Fornaciari,Italy,Forward,14/02/2000
Alessandro Lazzarini,Italy,Goalkeeper,10/01/1967
Stefano Marini,Italy,Midfielder,05/10/1968
Marco Matteoni,Italy,Forward,22/12/2000
NiccolÃ² Micchi,Italy,Forward,30/11/1997
Alessio MordagÃ ,Italy,Forward,30/11/1983
Francesco Noccioli,Italy,Midfielder,24/05/2000
Michele Pagano,Italy,Defender,05/09/1977
Yuri Papi,Italy,Midfielder,24/04/1993
Alex Pelliconi,Italy,Defender,04/06/1999
Alberto Prete,Italy,Defender,21/07/1999
Andrea Razzanelli,Italy,Defender,03/05/1996
Gabriel Santini,Italy,Defender,23/05/2000
Mauro Semprini,Italy,Forward,15/04/1998
Massimo Tazzer,Italy,Defender,28/05/1999
Olawale Tehe,Ivory Coast,Forward,20/02/1999
