Name,Country,Position,Born
Rouven Abel,Germany,Forward,12/12/1986
Narek Abrahamyan,Armenia,Midfielder,11/06/1996
Rezan Acer,Turkey,Midfielder,06/07/1993
Kwaku Afriyie,Ghana,Forward,25/02/1987
Onur Akdogan,Turkey,Forward,01/03/1994
Julius Alt,Germany,Defender,10/03/1998
Fabian Arndt,Germany,Forward,08/09/1995
Patrick Auracher,Germany,Defender,04/01/1990
Noah Awuku,Germany,Forward,09/01/2000
Berat Ayyildiz,Germany,Forward,04/12/1998
Ilir Azemi,Kosovo,Forward,21/02/1992
Conrad Azong,Germany,Forward,27/03/1993
Quendirm Bajraktaraj,Germany,Midfielder,28/03/1996
Dominik Balcer,Germany,Forward,06/06/1989
Tom Baller,Germany,Forward,02/08/1998
Martin Balsam,Germany,Goalkeeper,17/12/1971
Timo Barendt,Germany,Forward,17/03/1996
Ivan Belyaev,Russia,Goalkeeper,23/06/1986
Johann Berger,Germany,Midfielder,23/07/1999
Nico Beyer,Germany,Goalkeeper,21/11/1985
Yann Bisseck,Germany,Defender,29/11/2000
AndrÃ© Bistram,Germany,Forward,25/03/1962
Danilo Blank,Germany,Forward,28/06/1974
AndrÃ© Bock,Germany,Defender,02/02/1981
Bodo BÃ¶nigk,Germany,Defender,06/03/1994
Thies Borchardt,Germany,Forward,19/02/1995
Vincent Born,Germany,Defender,15/05/1998
Sven Boy,Germany,Defender,02/10/1976
SÃ¶ren Brandy,Germany,Forward,06/05/1985
Jannik Braun,Germany,Midfielder,20/06/1997
Jan-Niclas BrÃ¤unling,Germany,Midfielder,11/07/1994
Patrick Breitkreuz,Germany,Midfielder,18/01/1992
Nico Bruns,Germany,Defender,20/05/1996
Timo Bruns,Germany,Midfielder,15/01/1982
Paul Camps,Germany,Midfielder,13/09/1989
Fyn Claasen,Germany,Midfielder,02/05/1997
Marcus Coffie,Germany,Defender,19/01/1995
Erdogan Cumur,Germany,Forward,20/09/1991
Christoph Dammann,Germany,Defender,15/02/1991
Salim Djefaflia,France,Forward,09/10/1978
HÃ¼seyin Dogan,Turkey,Midfielder,20/10/1979
Luca DÃ¼rholtz,Germany,Midfielder,18/08/1993
Michael Eberwein,Germany,Midfielder,11/03/1996
Nasir El Kasmi,Morocco,Defender,02/10/1982
Dennis Emken,Germany,Goalkeeper,08/01/1992
Franck Evina,Germany,Forward,05/07/2000
Mats Facklam,Germany,Forward,22/08/1996
Kevin Ferchen,Germany,Forward,14/04/1997
Tobias Fleckstein,Germany,Defender,24/04/1999
Florian Foit,Germany,Midfielder,10/01/1995
Dustin Gamradt,Germany,Forward,27/04/1991
Joel Gerezgiher,Germany,Midfielder,09/10/1995
Tore Gersch,Germany,Defender,10/03/1985
Benjamin Girth,Germany,Forward,31/01/1992
Kjell Gonda,Germany,Midfielder,05/02/1991
Henning Grieneisen,Germany,Midfielder,09/09/1984
Kai Griese,Germany,Midfielder,06/10/1999
Luca Groth,Germany,Midfielder,01/03/1998
Tjark Grundmann,Germany,Goalkeeper,05/08/1997
RenÃ© Guder,Germany,Midfielder,06/09/1994
Adel Guemari,France,Defender,16/02/1984
Christoph Gums,Germany,Midfielder,07/07/1995
Tim GÃ¼rntke,Germany,Midfielder,30/01/1992
Fynn Gutzeit,Germany,Defender,20/08/1990
Tjark Gutzeit,Germany,Midfielder,28/10/1993
Nick Hallbauer,Germany,Defender,13/07/1996
Stefan Hansen,Germany,Midfielder,22/02/1987
Daniel Hanslik,Germany,Forward,06/10/1996
Tammo Harder,Germany,Forward,04/01/1994
Victor Hardock,Germany,Defender,26/07/1987
Henning Hardt,Germany,Defender,10/05/1971
Florian HÃ¤rter,Germany,Midfielder,03/12/1993
Manuel Hartmann,Germany,Defender,26/03/1984
Bastian Hasler,Germany,Defender,19/03/1984
Sven Hassler,Germany,Midfielder,07/09/1987
Christopher Hauptmann,Germany,Forward,15/08/1985
Philipp HeithÃ¶lter,Germany,Midfielder,28/08/1982
Lukas Henke,Germany,Midfielder,06/08/1990
Simon Henzler,Germany,Goalkeeper,01/12/1976
Lewe Hingst,Germany,Defender,01/09/1988
Michael Holt,Germany,Forward,01/02/1986
Adrian Horn,Germany,Goalkeeper,07/10/1983
Matthias Hummel,Germany,Midfielder,03/11/1984
Zbigniew Ilski,Poland,Midfielder,16/03/1970
Liridon Imeri,Kosovo,Midfielder,23/08/1988
Niklas Jakusch,Germany,Goalkeeper,20/12/1989
Alban Jasari,Germany,Midfielder,08/02/1995
Christian JÃ¼rgensen,Germany,Midfielder,06/04/1985
Atakan Karazor,Germany,Midfielder,13/10/1996
BjÃ¶rn Kastner,Germany,Forward,25/03/1988
Rafael Kazior,Germany,Forward,07/03/1983
Maurice Knutzen,Germany,Forward,26/04/1998
Patrick Kohlmann,Ireland,Defender,25/02/1983
Marcel Kohn,Germany,Defender,11/01/1995
Finn-Niklas Kornath,Germany,Goalkeeper,25/01/1999
Christopher Kramer,Germany,Forward,16/10/1989
Marlon Krause,Germany,Midfielder,01/09/1990
Chris KrÃ¶hnert,Germany,Goalkeeper,09/02/1995
Melvin Krol,Germany,Forward,08/01/1998
Philip KrÃ¶ppelin,Germany,Midfielder,
Laurynas Kulikas,Russia,Forward,13/04/1994
Finn Langkowski,Germany,Forward,29/11/1989
JarosÅaw Lindner,Poland,Forward,28/06/1988
Louis Mandel,Germany,Midfielder,22/01/1996
Mats Melahn,Germany,Midfielder,08/06/2000
Karl-Christian Melfsen,Germany,Forward,19/04/1991
Shpend Meshekrani,Germany,Defender,19/02/1988
Florian Meyer,Germany,Midfielder,14/07/1987
Peter Michalski,Germany,Forward,22/09/1982
Miguel Fernandes,Germany,Forward,13/01/1997
Christian Mikolajczak,Germany,Midfielder,15/05/1981
Marvin Mohr,Germany,Defender,23/12/1996
Tjorve Mohr,Germany,Defender,26/03/1997
Tim MÃ¶ller,Germany,Forward,22/01/2000
Heinz MÃ¶rschel,Germany,Midfielder,24/08/1997
Patrick Nagel,Germany,Midfielder,06/08/1990
Timo Nath,Germany,Forward,18/05/1992
Thomas Neubert,Germany,Forward,14/11/1980
Mats Neumann,Germany,Midfielder,15/03/1996
Felix Niebergall,Germany,Forward,26/07/1998
