Name,Country,Position,Born
Arben Ajdarevic,Sweden,Midfielder,13/04/1995
Daniel Ãkervall,Sweden,Midfielder,23/05/1982
Jonas Andersson,Sweden,Midfielder,30/03/1975
Kristofer Andersson,Sweden,Defender,12/02/1989
Pelle Andersson,Sweden,Midfielder,30/09/1969
Ibrahim Atiku,Ghana,Midfielder,20/05/1983
Robert Axelsson,Sweden,Goalkeeper,12/03/1977
John Barasa,Kenya,Forward,03/06/1974
Marwan Baze,Sweden,Midfielder,03/02/1998
GÃ¶ran Bergort,Sweden,Midfielder,14/02/1968
Carl BjÃ¶rk,Sweden,Forward,19/01/2000
Allan Borgvardt,Denmark,Forward,05/06/1980
Dennis Boskailo,Sweden,Defender,05/01/1988
Gentrit Citaku,Sweden,Forward,25/02/1996
Mattias FlodstrÃ¶m,Sweden,Forward,26/04/1972
Mathias FlorÃ©n,Sweden,Defender,11/08/1975
Andreas Friman,Sweden,Defender,27/06/1983
Andreas Hadenius,Sweden,Defender,18/03/1991
Tarik Hamza,Sweden,Defender,23/02/1997
Chay Hews,Australia,Midfielder,30/09/1976
Armando Ibrakovic,Sweden,Defender,23/10/1988
Felix Jakobsson,Sweden,Goalkeeper,16/09/1999
Lukas Jonsson,Sweden,Goalkeeper,21/10/1992
Peter Karlsson,Sweden,Goalkeeper,03/09/1985
Kristoffer Khazeni,Sweden,Midfielder,25/06/1995
Adnan KojiÄ,Sweden,Defender,28/10/1995
Manasse Kusu,Sweden,Defender,22/12/2001
Jonas Lind,Sweden,Defender,06/06/1962
Julius Lindgren,Sweden,Goalkeeper,17/07/1997
Hampus LÃ¶nn,Sweden,Forward,28/10/1991
Mehmet Mehmet,Sweden,Midfielder,23/12/1985
Daniel Nannskog,Sweden,Forward,22/05/1974
Ihab Naser,Iraq,Midfielder,11/01/1997
Jonathan Rasheed,Sweden,Goalkeeper,21/11/1991
Maic Sema,Sweden,Midfielder,02/12/1988
Mikael StrÃ¶m,Sweden,Defender,01/02/1977
Joonas Tamm,Estonia,Forward,02/02/1992
Armin TankoviÄ,Sweden,Midfielder,22/03/1990
Tesfaldet Tekie,Sweden,Midfielder,04/06/1997
Hamilton Thorp,Australia,Forward,21/08/1975
Jani Tuomala,Finland,Goalkeeper,03/02/1977
Sulo Vaattovaara,Sweden,Defender,18/07/1962
Peder Winsnes,Norway,Midfielder,07/02/1980
