Name,Country,Position,Born
Bobby Adekanye,Netherlands,Forward,14/02/1999
Dan Atherton,England,Goalkeeper,18/12/1999
James Balagizi,England,Midfielder,20/09/2003
Jack Bearne,England,Midfielder,15/09/2001
Owen Beck,Wales,Defender,09/08/2002
Morgan Boyes,Wales,Defender,22/04/2001
Conor Bradley,Northern Ireland,Forward,09/07/2003
Niall Brookwell,England,Midfielder,22/03/2002
Jake Cain,England,Midfielder,02/09/2001
Luke Chambers,England,Defender,24/06/2004
Leighton Clarkson,England,Midfielder,19/10/2001
Tom Clayton,England,Defender,27/12/2000
Dominic Corness,England,Midfielder,05/05/2003
Liam Coyle,England,Midfielder,06/12/1999
Harvey Davies,England,Goalkeeper,03/09/2003
Yan Dhanda,England,Midfielder,14/12/1998
Elijah Dixon-Bonner,England,Midfielder,01/01/2001
Bobby Duncan,England,Forward,26/06/2001
Paul Glatzel,England,Forward,20/02/2001
Daniel Griffiths,Wales,Forward,16/01/2001
Sam Hart,England,Defender,10/09/1996
Luke Hewitson,England,Goalkeeper,
Thomas Hill,England,Midfielder,13/10/2002
Ki-Jana Hoever,Netherlands,Defender,18/01/2002
VÃ­tÄzslav JaroÅ¡,Czech Republic,Goalkeeper,23/07/2001
Curtis Jones,England,Midfielder,30/01/2001
Caoimhin Kelleher,Ireland,Goalkeeper,23/11/1998
Oscar Kelly,England,Goalkeeper,22/11/2002
Billy Koumetio,France,Defender,14/11/2002
Yasser Larouci,France,Defender,01/01/2001
Adam Lewis,England,Defender,08/11/1999
Luis Longstaff,England,Forward,24/02/2001
Isaac Mabaya,England,Midfielder,22/09/2004
Glen McAuley,Ireland,Forward,24/02/2000
Tyler Morton,England,Midfielder,31/10/2002
James Norris,England,Midfielder,04/04/2003
Fidel O'Rourke,England,Forward,05/02/2002
Emeka Obi,England,Defender,06/06/2001
Jakub OjrzyÅski,Poland,Goalkeeper,19/02/2003
Mich'el Parker,England,Defender,22/10/1998
Jarell Quansah,England,Defender,29/01/2003
Rafael Camacho,Portugal,Midfielder,22/05/2000
Patrik Raitanen,Finland,Defender,13/06/2001
Matteo Ritaccio,USA,Midfielder,04/10/2001
Abel Rodriques,England,Midfielder,
Remi Savage,England,Defender,26/10/2001
Abdi Sharif,England,Midfielder,01/01/2001
Okera Simmonds,England,Forward,25/12/1999
Luca Stephenson,England,Midfielder,
Layton Stewart,England,Forward,03/09/2002
Edvard Tagseth,Norway,Midfielder,23/01/2001
Alex Turner,England,Midfielder,26/09/2000
Dal VareÅ¡anoviÄ,Bosnia-Herzegovina,Midfielder,23/05/2001
Jack Walls,England,Defender,16/10/2001
Ben Williams,England,Goalkeeper,17/10/1999
Neco Williams,Wales,Defender,13/04/2001
Rhys Williams,England,Defender,03/02/2001
Sean Wilson,England,Midfielder,02/03/2003
Ben Winterbottom,England,Goalkeeper,16/07/2001
Max Woltman,England,Midfielder,20/08/2003
