Name,Country,Position,Born
Porya Ahmadi,Iran,Forward,08/01/1993
Damien Allen,England,Midfielder,01/08/1986
Mark Allen,Wales,Defender,02/09/1976
Webb Andrew,England,Midfielder,14/09/1984
Obi Anoruo,Nigeria,Forward,28/08/1991
Richard Astley,Wales,Defender,19/05/1989
Ben Bailey,England,Defender,03/02/1991
Sam Bailey,Wales,Defender,28/03/1986
Sam Barnes,England,Defender,16/10/1991
Danny Barton,England,Forward,21/06/1974
Michael Barton,England,Goalkeeper,23/11/1973
Barry Bellis,Wales,Forward,13/07/1988
Robert Bennett,England,Midfielder,25/09/1990
Dylan Blain,Wales,Midfielder,11/10/1982
Steve Blenkinsop,England,Forward,03/02/1989
James Bloom,Wales,Defender,11/08/1991
Luke Boundford,Wales,Midfielder,30/01/1988
Jamie Breeze,Wales,Forward,10/01/1992
Mickey Brown,England,Forward,08/02/1968
Romilly Brown,Wales,Forward,12/08/1973
Gavin Cadwallader,Wales,Defender,18/04/1986
Mark Cartwright,Wales,Defender,19/12/1965
Tom Chapman,Wales,Forward,1871
Hugh Clarke,Wales,Defender,15/06/1971
Steve Clifford,England,Forward,13/07/1973
Leon Clowes,Wales,Defender,27/02/1992
Mike Collister,Wales,Forward,09/06/1985
Mark Comerford,England,Forward,29/08/1962
Jake Cook,England,Defender,06/10/1995
Matthew Cook,Wales,Midfielder,07/09/1985
Christian Courtney,England,Forward,14/05/1984
Connor Courtney,Wales,Midfielder,
Brian Coyne,Scotland,Midfielder,13/12/1959
Phil Daley,England,Forward,12/04/1967
Damien Daniels,Northern Ireland,Midfielder,16/12/1981
Craig Davies,England,Midfielder,21/12/1988
Kevin Davies,Wales,Defender,09/10/1985
Lee Davies,Wales,Midfielder,30/09/1977
Mark Davies,England,Defender,12/02/1988
Richard Davies,,Midfielder,14/01/1996
Dan Dawson,Wales,Defender,21/10/1991
Jay Denny,USA,Midfielder,06/01/1986
Danny Desormeaux,England,Midfielder,15/08/1982
Joe Desormeaux,England,Forward,14/04/1981
Ian Edmunds,England,Defender,12/01/1993
Andy Edwards,Wales,Forward,28/03/1965
Jamie Edwards,Wales,Midfielder,18/02/1983
Steffan Edwards,Wales,Defender,10/10/1989
Timothy Edwards,Wales,Defender,24/04/1972
Martin Ellacott,England,Goalkeeper,05/01/1970
Ben Evans,Wales,Midfielder,20/01/1993
Gareth Evans,Wales,Defender,03/08/1977
Glenn Evans,Wales,Defender,14/11/1986
Jason Evans,England,Defender,22/01/1974
Joe Evans,England,Midfielder,23/12/1993
Joseph Evans,Wales,Forward,23/12/1993
Joshua Evans,Wales,Defender,24/08/1992
Luke Evans,England,Forward,15/01/1991
Martin Evans,Wales,Defender,10/04/1973
Richard Evans,Wales,Midfielder,06/10/1989
Sean Evans,Wales,Midfielder,25/09/1987
Will Evans,England,Midfielder,11/08/2000
Zac Evans,Wales,Midfielder,03/06/1991
Alex Fletcher,England,Midfielder,17/11/1996
Niall Flint,England,Midfielder,
Tomos Foulkes,Wales,Defender,21/10/1988
Stuart Fraser,Wales,Midfielder,28/03/1987
Steve Futcher,England,Midfielder,24/10/1976
Martin Giles,England,Defender,01/01/1979
Tom Goodwin,Wales,Midfielder,12/01/1990
Terry Green,England,Midfielder,03/04/1979
Dan Griffiths,England,Midfielder,12/06/1988
Huw Griffiths,Wales,Defender,09/02/1977
Marc Griffiths,Wales,Forward,16/05/1984
Mark Griffiths,Wales,Forward,04/08/1987
Kieron Groves,Wales,Defender,17/09/1991
Gary Haman,Wales,Goalkeeper,10/09/1967
Stephen Hanmer,England,Forward,23/04/1971
Jojo Harries,Wales,Midfielder,16/06/1997
Craig Harris,England,Forward,15/04/1996
Richard Harris,England,Midfielder,14/09/1984
George Harry,Wales,Forward,07/06/1999
Chris Hartland,Wales,Forward,20/06/1990
Josh Hartrick,Wales,Midfielder,20/12/1991
Lee Hartshorn,Wales,Defender,12/03/1987
Ian Havard,England,Goalkeeper,14/10/1987
Jamie Haynes,England,Midfielder,04/03/1988
Matthew Hearsey,Wales,Forward,25/02/1991
Harry Hibbott,Wales,Forward,1859
Sean Highdale,Wales,Midfielder,04/03/1991
Nathan Hodge,Wales,Forward,25/12/1988
Barry Hogan,England,Midfielder,15/02/1983
Keith Holmans,England,Midfielder,28/10/1970
Alan Hooley,England,Midfielder,13/10/1978
Eddie Hope,Wales,Midfielder,03/09/1986
Gareth Hughes,Wales,Midfielder,08/01/1981
George Hughes,Wales,Midfielder,03/10/1986
Jack Hughes,England,Midfielder,12/02/1990
Craig Hutchinson,England,Midfielder,28/01/1973
Michael Jackson,England,Defender,14/12/1979
Robbie James,Wales,Defender,20/12/1988
Danny Jellicoe,England,Defender,27/09/1976
Jermaine Johnson,England,Defender,02/01/1990
Andrew Jones,England,Defender,28/03/1985
Andy Jones,Wales,Forward,23/03/1985
Danny Jones,England,Goalkeeper,23/04/1982
Dave Jones,Wales,Goalkeeper,29/04/1984
David Jones,Wales,Goalkeeper,03/02/1990
Elliott Jones,Wales,Forward,28/12/1993
Ethan Jones,England,Forward,04/04/1998
Graham Jones,England,Defender,01/12/1975
Jordan Jones,Wales,Defender,05/02/1999
Rhys Jones,Wales,Midfielder,28/08/1993
Sean Jones,Wales,Defender,16/06/1990
Steve Jones,England,Goalkeeper,03/09/1977
Steve Jones,England,Forward,25/04/1986
Tom Jones,Wales,Defender,19/06/1990
Jack Keating,Australia,Forward,28/02/1989
Paul Keddle,Wales,Midfielder,18/11/1983
Jack Kelly,England,Defender,01/01/1996
Joe Kenton,Wales,Forward,19/05/1998
Ryan Kershaw,Wales,Midfielder,21/09/1995
Robert King,Wales,Defender,02/09/1977
Shane Kirkham,Wales,Forward,17/09/1983
George Latham,Wales,Defender,01/01/1881
John Leah,England,Midfielder,03/08/1978
Steven Leslie,Scotland,Midfielder,05/11/1987
Matthew Lewis,Wales,Midfielder,01/03/1982
Paul Line,England,Midfielder,25/05/1975
Sam Litchfield,Wales,Defender,17/03/1993
James Lloyd,Wales,Midfielder,1861
Marc Lloyd-Williams,Wales,Forward,08/02/1973
Colin Loss,England,Midfielder,15/08/1973
Jake Mann,Wales,Midfielder,
Gareth Mansell,England,Midfielder,17/11/1987
Dan March,Wales,Defender,20/04/1985
Lee Matthews,Wales,Midfielder,29/06/1979
Sean McAllister,England,Midfielder,15/08/1987
Stephen McCormick,Wales,Forward,14/08/1969
Tyrone McFadden,Wales,Midfielder,07/03/1991
David Mcguire,Ireland,Goalkeeper,09/10/1990
John McKenna,England,Defender,15/05/1990
Dylan McPhee,Wales,Midfielder,10/03/1976
Robbie Millington,Wales,Midfielder,14/06/1992
Kieran Mills-Evans,Wales,Defender,11/10/1992
Neil Mitchell,England,Forward,01/04/1988
Adrian Moody,England,Defender,29/09/1982
Chris Morgan,Wales,Defender,06/08/1979
Dickie Morris,Wales,Forward,01/01/1879
Kevin Morrison,Scotland,Forward,10/02/1966
Craig Moses,Wales,Forward,11/12/1986
John Muldoon,England,Midfielder,21/11/1964
Andy Mulliner,England,Goalkeeper,03/01/1971
Nick Mumby,England,Defender,28/07/1991
James Murphy,Wales,Midfielder,31/01/1997
Lifumpa Mwandwe,England,Forward,29/12/2000
Joe Newton,Wales,Midfielder,17/09/1995
William Nock,Wales,,1876
James O'Neill,Wales,Forward,17/02/1995
Michael O'Reilly,Wales,Forward,07/02/1996
Anwar Olugbon,Wales,Forward,15/11/1990
Jason Oswell,England,Forward,07/10/1992
Adam Owen,Wales,Defender,05/09/1980
Matty Owen,Wales,Midfielder,23/07/1994
Charlie Parry,Wales,Defender,1870
Nick Parry,Wales,Defender,16/02/1983
William Parry,Wales,Forward,1873
Gareth Partridge,Wales,Forward,26/09/1991
Max Penk,Wales,Defender,17/02/1993
Jack Perry,Wales,Goalkeeper,31/10/1997
Jamie Petrie,England,Midfielder,15/05/1986
Sam Phillips,Wales,Midfielder,24/02/1999
Sam Pickup,England,Forward,07/11/1986
Richard Pike,England,Midfielder,30/01/1965
Robert Plant,England,Goalkeeper,03/09/1975
Mike Platt,Wales,Goalkeeper,19/12/1987
Roger Preece,England,Midfielder,09/06/1969
Gary Price,England,Defender,07/01/1986
Jamie Price,Wales,Midfielder,22/07/1988
Mark Probert,Wales,Defender,29/08/1984
Nigel Pryce,Wales,Midfielder,24/10/1967
Albert Pryce-Jones,Wales,Forward,26/05/1870
Connell Rawlinson,Wales,Defender,22/09/1991
Jamie Reed,Wales,Forward,13/08/1987
Colin Reynolds,Wales,Defender,03/10/1968
Tom Reynolds,England,Midfielder,01/02/1982
Callum Roberts,Wales,Defender,16/10/1998
Dave Roberts,England,Goalkeeper,10/12/1988
Marc Roberts,Wales,Midfielder,20/07/1971
Paul Roberts,Wales,Forward,29/07/1977
Lee Robinson,Wales,Midfielder,08/05/1974
Jed Rodway,Wales,Midfielder,08/04/1990
Steve Rogers,England,Forward,16/12/1978
Dave Rose,Wales,Goalkeeper,18/07/1976
John Rowley,Wales,Goalkeeper,09/03/1984
Scott Ruscoe,England,Midfielder,15/12/1977
Nick Rushton,Wales,Forward,03/02/1992
Jamie Russell,Wales,Midfielder,
Darren Ryan,England,Midfielder,03/07/1972
Scott Ryan,Wales,Forward,
Neil Salathiel,Wales,Defender,19/11/1962
Kevin Scott,Wales,Midfielder,12/07/1977
Ryan Sears,England,Defender,30/12/1998
Karl Seliearts,England,Midfielder,11/07/1989
Marcus Sharrad,England,Forward,06/03/1989
Ian Sheridan,England,Midfielder,12/03/1989
Lewis Short,England,Midfielder,11/06/1990
Brian Showdery,Wales,Forward,02/10/1983
Peter Smith,Wales,Forward,18/09/1978
Ross Stephens,Wales,Midfielder,28/05/1985
Gareth Sudlow,England,Defender,06/10/1983
Shane Sutton,Wales,Defender,31/01/1989
Dave Swanick,England,Defender,16/05/1979
Dave Taylor,Wales,Forward,25/08/1965
Oliver Taylor,Wales,Defender,1869
Andrew Thomas,Wales,Defender,26/01/1975
Andy Thomas,Wales,Defender,14/12/1977
Aneurin Thomas,Wales,Defender,27/01/1973
Harley Thomas,,Defender,30/07/1996
Mark Thomas,Wales,Defender,03/02/1973
Nick Thomas,Wales,Goalkeeper,02/02/1991
Glenn Tolley,Wales,Midfielder,24/09/1983
Alfred Townsend,Wales,Defender,1864
Stuart Vernon,Wales,Midfielder,20/12/1987
Nicky Ward,Wales,Forward,30/11/1977
Tom Ward,Wales,Forward,
Aaron Warwick,Wales,Midfielder,20/11/1984
David Watkins,Wales,Forward,14/11/1981
Gareth Watkins,Wales,Midfielder,28/04/1983
Paul Watson,Wales,Forward,07/03/1989
Ashley Wells,Wales,Defender,26/01/1993
Jordan Wells,Wales,Defender,18/10/1996
Jeff White,Wales,Forward,18/01/1986
Craig Whitfield,England,Forward,16/08/1989
Paul Whitfield,Wales,Goalkeeper,06/05/1982
Justin Wickham,Wales,Midfielder,21/11/1975
Peter Wilding,England,Midfielder,28/11/1968
Craig Williams,Wales,Midfielder,28/01/1983
Craig Williams,Wales,Defender,21/12/1987
Elliot Williams,Wales,Midfielder,20/05/1999
Iwan Williams,Wales,Midfielder,28/03/1985
Jonathan Williams,Wales,Forward,16/03/1972
Lee Williams,England,Goalkeeper,09/04/1968
Mark Williams,Wales,Forward,10/12/1973
Oliver Williams,England,Midfielder,09/09/1984
Rob Williams,England,Defender,06/07/1987
Richard Williams-Cook,Wales,Forward,25/01/1980
George Woosnam,Wales,Midfielder,1860
Tom Worthington,Wales,Midfielder,
Tom Worthington,Wales,Midfielder,1866
Adam Worton,England,Midfielder,10/04/1987
Callum Wright,England,Forward,31/10/1989
Jason Yates,England,Forward,10/12/1974
