Name,Country,Position,Born
Magnus Aagaard Madsen,Denmark,,
Mathias Alyas,Denmark,Midfielder,
Carl Andersen,Denmark,Defender,
Nicolai Andersen,Denmark,Goalkeeper,
Patrick Andersen,Denmark,Midfielder,
Sebastian Andersen,Denmark,Midfielder,
Sebastian AskjÃ¦r,Denmark,Midfielder,
Mads Aspholm,Denmark,Midfielder,
Tobias Bagger Hansen,Denmark,Midfielder,
Wilhelm Berg,Denmark,,
Nicolaj Bolding,Denmark,Midfielder,
Frederik BÃ¸gh BÃ¦k,Denmark,Midfielder,
Aske BrÃ¸nlund Niekrenz,Denmark,Midfielder,
Mads Bukhave,Denmark,Forward,1997
Malthe Andreas Christensen,Denmark,,
Gustav Christiansen,Denmark,Goalkeeper,
Joachim Dalgaard,Denmark,Midfielder,
Almin Dedic,Denmark,Midfielder,
Malte Eghave Flindtholt,Denmark,Midfielder,
Engin Ergin,Denmark,Midfielder,
Jonathan Foss,Denmark,Midfielder,
Rasmus Fugl,Denmark,Midfielder,11/12/2001
Andreas Ginsbo,Denmark,Midfielder,
Tobias GrÃ¸ndal Jensen,Denmark,Midfielder,
Hamlet Andreas Hakopian,Denmark,,
Magnus Hansen,Denmark,Midfielder,
Tobias Hansen,Denmark,,
Johan Haslund,Denmark,Midfielder,
William Hendriksen,Denmark,Defender,
Silas Herter,Denmark,Midfielder,
Niclas Hjorth,Denmark,Midfielder,
Jeppe Holm,Denmark,Goalkeeper,
Magnus Holmberg Nielsen,Denmark,Midfielder,
Otto HÃ¸j FÃ¤lling Andersen,Denmark,Midfielder,
Filip HÃ¸jgaard,Denmark,Midfielder,03/01/2002
Karl Hultberg,Denmark,,
Rasmus Jacobsen,Denmark,Forward,
Silas Jensen,Denmark,Midfielder,
Rasmus Oliver Johnsen,Denmark,Midfielder,
Jeppe JÃ¸rgensen,Denmark,Goalkeeper,26/08/2001
Magnus JÃ¸rgensen,Denmark,Defender,24/10/2001
Mathias Kofod,Denmark,Midfielder,
Patrick Kramer,Denmark,Midfielder,16/02/2001
Janus Larsen,Denmark,,
Laurits Larsen,Denmark,Forward,11/02/2001
Magnus Larsen,Denmark,Midfielder,
Nicklas Larsen,Denmark,Midfielder,
Noah Larsen,Denmark,Midfielder,
William LenÃ¡rt,Denmark,Midfielder,
Johan Lykkeberg,Denmark,Defender,27/09/2001
Thor Mandal,Denmark,Midfielder,
Mikkel Melgaard,Denmark,Midfielder,
Jonas Mohamad,Denmark,Midfielder,
Malte MÃ¸rch,Denmark,Defender,
Asger Olsen,Denmark,,
Mads Olsen,Denmark,Midfielder,
Josef Omar,Denmark,,
Noah Petersen,Denmark,Midfielder,28/07/2001
Ludwig Ravnholdt Jakobsen,Denmark,Midfielder,
Lauge Schorlemmer,Denmark,Midfielder,
Carl SchrÃ¸der,Denmark,Midfielder,
Sebastian SchrÃ¸der,Denmark,Midfielder,
Mikkel Seiffert,Denmark,Midfielder,27/08/2001
Moses Shimeyimana,Denmark,,
Arthur Sivalingene,Denmark,Midfielder,
Nyambe Sivalingene,Denmark,Midfielder,
Mads SÃ¸by,Denmark,Midfielder,
Agge SÃ¸lvtofte,Denmark,Midfielder,
Frode Tambour Gregersen,Denmark,Midfielder,
Tobias TornÃ¸e,Denmark,Midfielder,
Karlo Trkulja,Denmark,Midfielder,
Yasar Uysal,Denmark,Forward,
Christoffer Wennicke,Denmark,Midfielder,
