Name,Country,Position,Born
Isaak Almanidis,Greece,Forward,05/01/1971
Marijan Altiparmakovski,North Macedonia,Forward,18/07/1991
Argyris Anastasopoulos,Greece,Midfielder,16/01/1981
Georgios Arabatzis,Greece,Defender,21/11/1977
Theodoros Armylagos,Greece,Forward,05/05/1968
Dimitris Arvanitis,Greece,Defender,09/08/1980
Christos Athanasopoulos,Greece,Goalkeeper,10/02/1982
Leonardo Azul Flores,Argentina,Goalkeeper,05/02/1979
MiloÅ¡ Babic,Bosnia-Herzegovina,Midfielder,10/09/1979
Laurent Ballenghien,Belgium,Forward,15/12/1969
BoÅ¾idar BandoviÄ,Serbia,Defender,30/08/1969
Bernard Barnjak,Bosnia-Herzegovina,Forward,01/05/1965
Bica,Brazil,Forward,12/03/1972
Bira,Brazil,Midfielder,27/04/1969
Clarence Bitang,Cameroon,Midfielder,02/09/1992
Keynes Bong,Cameroon,Midfielder,10/10/1993
Milan Bosanac,Serbia,Midfielder,05/03/1974
Ilias Botaitis,Greece,Midfielder,21/09/1979
Panagiotis Bris,Greece,Forward,02/01/1984
Dimitrios Chaloulos,Greece,Defender,02/05/1987
Konstantinos Chaniotakis,Greece,Goalkeeper,19/07/1968
CÃ©sar CharÃºn,Peru,Defender,25/10/1970
Stratos Chintzidis,Greece,Defender,13/12/1987
Giannis Chrysafis,Greece,Midfielder,16/03/1981
Darci,Brazil,Forward,26/09/1968
Alekos Dedes,Greece,Midfielder,29/07/1972
Athanasios Demirtzoglou,Greece,Midfielder,21/10/1974
David Diah,Costa Rica,Forward,07/06/1974
Predrag ÄorÄeviÄ,Serbia,Midfielder,04/08/1972
Giannis Efthimiou,Greece,Defender,03/05/1976
Vasileios Emmanouil,Greece,Forward,08/03/1993
Anastassios Ferekidis,Greece,Midfielder,27/06/1973
Loukas Galamelos,Greece,Midfielder,26/07/1977
Giorgos Gargaronis,Greece,Defender,10/06/1983
Zeljko GavriloviÄ,Bosnia-Herzegovina,Midfielder,05/12/1971
Angelos Georgiou,Greece,Goalkeeper,27/08/1974
Savvas Giannakidis,Greece,Midfielder,19/11/1977
Stylianos Giannakopoulos,Greece,Midfielder,12/07/1974
Takis Gonias,Greece,Midfielder,06/10/1971
Aleksandar IliÄ,Serbia,Defender,26/06/1969
Christos Ioannou,Greece,Midfielder,03/06/1980
Thanasis Ioannou,Greece,Midfielder,18/10/1981
Leonardo Iorlano,Argentina,Midfielder,06/01/1986
RadosÅaw JasiÅski,Poland,Forward,09/10/1971
Dimitrios Kafes,Greece,Forward,30/10/1980
Nikos Kalfas,Greece,Midfielder,23/03/1991
Ilias Kampas,Greece,Forward,13/02/1974
Chrysanis Kariofyllis,Greece,Midfielder,09/08/1974
Nikos Kizeridis,Greece,Midfielder,20/04/1971
Kostantinos Koloskopis,Greece,Defender,25/01/1968
Giorgios Koltsis,Greece,Defender,22/10/1974
Georgios Koltzos,Greece,Defender,13/09/1976
Nikos Konstantakopoulos,Greece,Midfielder,28/07/1998
Sokratis Kopsachilis,Greece,Goalkeeper,15/10/1972
Konstantinos Kotarelas,Greece,Midfielder,28/01/1979
Dimitrios Kotsonis,Greece,Defender,25/01/1989
Andreas Koutelieris,Greece,Defender,09/09/1981
Dimitrios Koutsopoulos,Greece,Goalkeeper,20/04/1978
Vangelis Koutsopoulos,Greece,Defender,02/02/1980
Pavlos Kyriakidis,Greece,Defender,03/09/1991
Sifis Labropoulos,Greece,Defender,18/01/1987
Vassilios Lakis,Greece,Midfielder,10/09/1976
Allan LalÃ­n,Honduras,Forward,05/01/1981
Georgios Lampropoulos,Greece,Goalkeeper,27/07/1979
Mihalis Lignos,Greece,Midfielder,12/07/1974
Giannis Liourdis,Greece,Goalkeeper,27/02/1979
Ioannis Liourdis,Greece,Goalkeeper,27/02/1979
Aristidis Lottas,Greece,Midfielder,16/09/1988
Nikos Lugos,Greece,Midfielder,27/07/1992
Vladan LukiÄ,Serbia,Forward,16/02/1970
Reisis Mailis,Greece,Midfielder,26/07/1980
Nikolaos Makridis,Greece,Forward,14/05/1989
Martin Mandra,Argentina,Forward,20/12/1975
Ilias Manikas,Greece,Forward,11/05/1980
Carlos Marcora,Uruguay,Midfielder,01/02/1976
Dimitris Maris,Greece,Defender,24/06/1979
Sotiris Mavromatis,Greece,Midfielder,21/02/1966
Blagoja Milevski,North Macedonia,Midfielder,25/03/1971
Kristijan MiljeviÄ,Serbia,Forward,15/07/1992
Nenad Miljkovic,Serbia,Forward,05/01/1978
Georgios Mitkos,Greece,Midfielder,16/04/1978
Georgios Mitsiopoulos,Greece,Defender,23/11/1974
Charalambos Moisiadis,Greece,Midfielder,28/02/1976
Xenofontas Moskogiannis,Greece,Defender,21/01/1977
Vangelis Nasiakos,Greece,Midfielder,27/04/1969
Anestis Nastos,Greece,Midfielder,28/04/1989
Kostas Nebegleras,Greece,Midfielder,14/04/1975
Alexios Nikolakopoulos,Greece,Forward,17/11/1999
Christos Nikoletakis,Greece,Forward,07/01/1980
Dejan Nikolic,Serbia,Midfielder,31/07/1973
Dejan NikoliÄ,Serbia,Midfielder,27/04/1969
Spyros Nousias,Greece,Midfielder,05/01/1973
Guy Nzeng,Gabon,Defender,30/05/1970
Joseph Obinna,Nigeria,Forward,05/05/1983
Marinos Ouzounidis,Greece,Defender,10/10/1968
Fotis Papadopoulos,Greece,Midfielder,05/12/1975
Nikolaos Papadopoulos,Greece,Midfielder,06/09/1976
Georgos Papandreou,Greece,Forward,12/02/1969
Dionysos Pappas,Greece,Midfielder,25/09/1972
SrÄan Pecelj,Bosnia-Herzegovina,Defender,12/03/1975
Dimitrios Petropoulos,Greece,Midfielder,25/08/1981
Leszek Pisz,Poland,Midfielder,18/12/1966
Vangelis Pitkas,Greece,Goalkeeper,30/07/1983
Angelos Pournos,Greece,Midfielder,21/01/1992
Denijal Purkovic,Bosnia-Herzegovina,Forward,03/08/1968
Cesar Rosales,Peru,Midfielder,09/11/1970
Ruy Netto,Brazil,Midfielder,02/02/1980
Nikos Samoladas,Greece,Midfielder,24/01/1970
Zurab Sanaya,Russia,Goalkeeper,15/04/1968
Miltos Sapanis,Greece,Midfielder,28/01/1976
Giorgos Saramantas,Greece,Defender,29/01/1992
Georgios Savvidis,Greece,Midfielder,27/03/1974
NebojÅ¡a ScepanoviÄ,Montenegro,Midfielder,04/12/1967
Gerardo Severo,Uruguay,Defender,29/03/1972
Zoran SliÅ¡koviÄ,Croatia,Forward,01/03/1966
Ioannis Sotirchos,Greece,Midfielder,06/04/1977
Periklis Spyrakos,Greece,Forward,05/03/1979
Konstantinos Spyropoulos,Greece,Midfielder,08/07/1977
Andreas Stamatis,Greece,Forward,12/05/1993
Michalis Stroboulos,Greece,Defender,02/02/1981
Mohamed Sylla,Guinea,Forward,22/02/1971
Giannis Taralidis,Greece,Midfielder,17/05/1981
Georgios Tasidis,Greece,Defender,14/12/1975
Tasos Tasiopoulos,Greece,Midfielder,25/04/1968
Giannis Tatsis,Greece,Midfielder,15/08/1972
Giannis Thomaidis,Greece,Forward,29/02/1972
Sergej Tica,Bosnia-Herzegovina,Midfielder,13/08/1974
Kyriakos Tohouroglou,Australia,Goalkeeper,13/08/1972
Christos Tomaras,Greece,Forward,14/01/1989
Vangelis Toyias,Greece,Defender,23/08/1972
Diego Trotta,Argentina,Defender,11/02/1979
Grigoris Troupkos,Greece,Defender,11/12/1971
Athanasios Tsigas,Greece,Forward,20/09/1982
Evangelos Tsiolis,Greece,Midfielder,09/05/1981
Sakis Tsiolis,Greece,Midfielder,30/06/1959
Vangelis Tsoukalis,Greece,Midfielder,09/12/1983
Giannis Voskopoulos,Greece,Defender,24/10/1987
Loukas Vyntra,Greece,Defender,05/02/1981
Eivinas Zagurskas,Lithuania,Midfielder,09/09/1989
Panagiotis Ziakas,Greece,Forward,18/06/1975
