Name,Country,Position,Born
Riccardo Aluigi,San Marino,Forward,29/03/1994
Fabrizio Amati,San Marino,Midfielder,
Emanuel Amici,San Marino,Midfielder,21/05/1986
Michael Angelini,San Marino,Forward,25/11/1983
Luca Bacciocchi,San Marino,Forward,
Imre Badalassi,Italy,Forward,08/02/1995
Gabriele Bartoletti,San Marino,Defender,11/05/1971
Andrea Bartoli,San Marino,Midfielder,01/01/1974
Mirko Bartoli,San Marino,Defender,18/05/1989
Stefano Bellavista,San Marino,Goalkeeper,
Marco Berardi,San Marino,Defender,12/02/1993
Marco Bernardi,San Marino,Forward,02/01/1994
Massimiliano Bernardi,San Marino,Forward,16/08/1997
Cristian Bernardini,San Marino,,
Maicol Berretti,San Marino,Defender,01/05/1989
Luca Bezzi,Italy,Midfielder,05/06/1989
Alessandro Bianchi,San Marino,Forward,19/07/1989
Augusto Bianchi,San Marino,Defender,26/03/1975
Luca Bianchi,San Marino,Goalkeeper,27/02/1990
Simone Bianchi,San Marino,Midfielder,07/09/1971
Davide Bicchiarelli,Italy,Goalkeeper,19/05/1989
Davide Bicchirelli,Italy,Goalkeeper,19/05/1985
Fabio Bollini,San Marino,Midfielder,19/09/1983
Gianluca Bollini,San Marino,Defender,24/03/1980
David Bologna,San Marino,Midfielder,28/04/1971
Luca Bonifazi,San Marino,Midfielder,12/11/1982
Cristian Brolli,San Marino,Defender,28/02/1992
Matteo Camillini,Italy,Defender,10/01/1984
Nicola Canini,San Marino,Midfielder,14/08/1988
Claudio Canti,San Marino,Defender,15/06/1965
Lorenzo Capicchioni,San Marino,Defender,27/01/1989
Matteo Casadei,San Marino,Forward,
Michele Casadei,San Marino,Midfielder,24/01/1992
Fabio Ceschi,Italy,Forward,19/01/1982
Stefano Ciacci,San Marino,Goalkeeper,04/08/1970
Andrea Contato,San Marino,Forward,21/02/1998
Alessandro Della Torre,San Marino,Midfielder,02/05/1969
Achille Della Valle,San Marino,Forward,31/01/1989
Alessandro Della Valle,San Marino,Defender,08/06/1982
Stefano Diana,San Marino,Defender,06/12/1986
Marco Domeniconi,San Marino,Midfielder,29/01/1984
Lorenzo Dormi,Italy,Midfielder,11/02/1995
Alberto Durelli,San Marino,Midfielder,
Andrea Durelli,San Marino,,
Diego Fabbri,San Marino,Midfielder,
Marco Felici,San Marino,Goalkeeper,24/12/1984
Stefano Ferri,San Marino,Defender,
William Forcellini,San Marino,Defender,
Federico Gasperoni,San Marino,Goalkeeper,10/09/1976
Christofer Genestreti,Italy,Defender,30/05/1984
Filippo Gianelli,San Marino,Goalkeeper,22/07/1995
Massimiliano Gianni,San Marino,Forward,20/06/1968
Matteo Giardi,San Marino,Forward,14/04/1997
Graziano Giovagnoli,San Marino,,
Michele Giovagnoli,San Marino,Defender,
Antonio Gravina,San Marino,Forward,22/02/1994
Devis Guidi,San Marino,Defender,05/07/1977
Tomas Guidi,San Marino,Defender,04/09/1992
JosÃ© Hirsch,San Marino,Forward,31/01/1986
Manuel Iuzzolino,Italy,Defender,05/05/1990
Cristian la Rotella,San Marino,Forward,
Martin Lago,Argentina,Forward,14/10/1987
Andrea Lani,San Marino,Midfielder,
Nicolas Lazzaro,Italy,Goalkeeper,20/07/1993
Simone Loiodice,Italy,Midfielder,16/03/1989
Davide Magnani,Italy,Defender,25/08/1979
Nicola Marini,Italy,Defender,10/05/1995
Gianluca Martinini,San Marino,Midfielder,19/02/1980
Fabio Massaroni,San Marino,Forward,
Matteo Mazza,San Marino,Forward,19/09/1974
Alberto Mazzola,Italy,Defender,21/07/1984
Simone Montanari,Italy,Goalkeeper,11/03/1980
Nicola Moretti,San Marino,Forward,20/04/1984
Marco Morri,San Marino,Defender,04/11/1974
Manuel Muccini,Italy,Midfielder,24/11/1989
Marco Muraccini,San Marino,Defender,25/02/1991
Gabriele Muratori,San Marino,Forward,
Cristian Negri,San Marino,Forward,16/01/1985
Andrea Nucci,Italy,Defender,06/09/1986
Andrea Ottaviani,San Marino,Defender,16/06/1985
Mirko Ottaviani,San Marino,Goalkeeper,09/02/1995
Robert Ottaviani,San Marino,Midfielder,
Simone Pacini,Italy,Midfielder,08/01/1981
Riccardo Paganelli,Italy,Forward,09/06/1987
Mirko Paglialonga,Italy,Midfielder,19/09/1983
Filippo Pamantini,San Marino,Midfielder,
Luca Paradisi,Italy,Midfielder,29/04/1991
Daniele Pazzini,Italy,Midfielder,19/01/1969
Fabrizio Pelliccioni,San Marino,Defender,13/10/1976
Federico Pelliccioni,San Marino,Midfielder,13/10/1976
Luca Pelliccioni,San Marino,Defender,24/08/1987
Francesco Perrotta,Italy,Forward,27/08/1981
Loris Pierini,San Marino,Forward,10/11/1969
Gian Luca Proli,San Marino,Midfielder,30/06/1995
Alessandro Protti,San Marino,Defender,
Francesco Quintavalla,Italy,Defender,26/06/1982
Daniele Raggini,San Marino,Forward,
Paolo Raschi,San Marino,Defender,
Marco Rattini,San Marino,Midfielder,31/12/1984
Andrea Renzi,San Marino,Forward,
Dalibor Riccardi,San Marino,Defender,04/09/1983
Luca Righi,San Marino,Defender,01/04/1995
Matteo Righi,San Marino,Goalkeeper,
Roberto Rosini,Italy,Defender,27/09/1991
Leonardo Rossi,San Marino,Defender,25/04/1971
Luca Rossi,Italy,Defender,14/04/1993
Mirco Rupi,San Marino,Midfielder,
Stefano Sacco,San Marino,Midfielder,10/02/1991
Paolo Sartini,San Marino,Midfielder,
Francesco Sartori,Italy,Defender,07/03/1993
Umberto Semeraro,Italy,Defender,09/02/1992
Alberto Semprini,Italy,Defender,13/02/1990
Matteo Serafini,Italy,Midfielder,13/02/1994
Fabio Sottile,Italy,Defender,05/02/1993
Giuseppe Taddei,San Marino,Goalkeeper,10/12/1992
NicolÃ² Tamagnini,San Marino,Goalkeeper,07/02/1988
Filippo Tardini,Italy,Defender,08/04/1981
Marco Temeroli,Italy,Goalkeeper,28/05/1986
Luca Tonelli,San Marino,Forward,25/10/1986
Luca Tosi,San Marino,Midfielder,04/11/1992
Michael Traini,Italy,Forward,21/07/1988
Francesco Ugolini,San Marino,Midfielder,
Davide Vagnetti,San Marino,Midfielder,19/07/1983
NicolÃ² Venerucci,San Marino,Forward,27/08/1995
Mohammed Zaboul,Morocco,Forward,19/02/1979
Alessandro Zanotti,San Marino,Forward,27/07/1974
Daniele Zattoni,San Marino,Midfielder,23/12/1978
Denis Zonzini,San Marino,Midfielder,
Fabio Alegri,Italy,Forward,
Daniele Angeli,San Marino,Forward,29/07/1992
Alessandro Angelini,Italy,Midfielder,
NicolÃ² Angelini,San Marino,Forward,15/03/1992
Filippo Antonelli,Italy,Midfielder,28/01/1983
Mauro Antonioli,Italy,Midfielder,27/09/1968
Daniele Bacciocchi,San Marino,Defender,11/01/1974
Lorenzo Bacciocchi,San Marino,Midfielder,18/11/1993
Simone Bacciocchi,San Marino,Defender,22/01/1977
Andrea Benvenuti,San Marino,Defender,24/07/1990
Massimiliano Betti,San Marino,Midfielder,
Oscar Bianchi,San Marino,Forward,
Stefano Biordi,San Marino,Defender,08/03/1974
Giacomo Bologna,San Marino,Midfielder,08/03/1982
Luca Bonifazi,San Marino,Midfielder,12/11/1982
Samuele Buda,Italy,Defender,04/07/1986
Matteo Camillini,Italy,Defender,10/01/1984
Alessandro Canini,San Marino,Forward,08/03/1988
Lorenzo Capicchioni,San Marino,Defender,27/01/1989
Matteo Casadei,San Marino,Forward,
Nicola Cavalli,San Marino,Midfielder,15/12/1986
Michele Ceccoli,San Marino,Goalkeeper,04/12/1973
Michele Cervellini,San Marino,Midfielder,14/04/1988
Francesco Cevoli,Italy,Defender,
Fabio Dall'Ara,Italy,Midfielder,18/06/1984
Marco De Luigi,San Marino,Forward,21/03/1978
Achille Della Valle,San Marino,Forward,31/01/1989
Mirco Facondini,Italy,Midfielder,30/09/1982
Giacomo Fambri,San Marino,Forward,19/03/1975
Marco Fantini,San Marino,Forward,28/08/1978
Fabio Francini,San Marino,Midfielder,06/03/1969
Massimo Francioni,San Marino,Goalkeeper,17/06/1993
Mirco Gabrielli,San Marino,Defender,28/07/1986
Massimo Gazzi,San Marino,Defender,04/07/1975
Massimo Ghiotti,San Marino,Midfielder,03/08/1972
Mirko Giardi,San Marino,Midfielder,11/05/1995
Enrico Golinucci,San Marino,Midfielder,16/07/1991
Daniel Grassi,San Marino,Defender,08/10/1973
