Name,Country,Position,Born
Anicet Adjamossi,Benin,Defender,15/03/1984
JosuÃ© Aguie,Ivory Coast,Forward,14/06/1987
Bryan Alceus,Haiti,Midfielder,01/02/1996
Yoann Alibert,France,Defender,08/12/1983
Paul Alo'o Efoulou,Cameroon,Forward,12/11/1983
Pierre Aristouy,France,Forward,30/12/1979
Amin Arroub,France,Midfielder,06/09/1982
BenoÃ®t Aureille,France,Goalkeeper,05/01/1984
Georges Ba,France,Forward,21/01/1979
Hamidou Ba,France,Defender,13/02/1991
Maxime Baca,France,Defender,02/06/1983
Abdourahamane BaldÃ©,France,Forward,15/01/1999
Algassimou BaldÃ©,Guinea,Midfielder,11/10/1984
Samir BÃ©hary,France,Defender,07/03/1976
Djilalli Bekkar,France,Forward,04/06/1981
Karim Benounes,Algeria,Midfielder,09/02/1984
Michel Berry,France,Forward,20/09/1943
Germain Bersac,France,Midfielder,22/06/1975
SÃ©bastien Bertrand,France,Defender,05/08/1978
Maxime Blanchard,France,Defender,27/09/1986
Mohamed Bouachri,Algeria,Defender,29/10/1964
Sylvio Breleur,French Guyana,Forward,13/08/1978
Vincent Carlier,France,Defender,20/12/1979
Stephane Carnot,France,Midfielder,10/07/1972
Alban Catrin,France,Goalkeeper,23/02/1988
SÃ©bastien Celina,St. Martin,Defender,04/01/1985
BenoÃ®t Chagnaud,France,Forward,21/08/1972
JÃ©rÃ©my Choplin,France,Midfielder,09/02/1985
Laurent Ciechelski,France,Defender,04/06/1971
Kevaughn Connell,Trinidad & Tobago,Forward,27/07/1983
Tony Czech,France,Midfielder,
Charles Davidson,Haiti,Midfielder,28/03/1983
Fabien Debray,France,Midfielder,05/10/1981
Simon Dia,France,Forward,17/07/1992
Oumarou Diaby,France,Midfielder,14/11/1987
Mahamadou Diawara,Mali,Forward,24/10/1982
Amath Diedhiou,Senegal,Forward,19/11/1989
El Hadji Dieye,Senegal,Midfielder,08/09/1988
Mathieu Dinet,France,Midfielder,01/08/1985
Sabou Diompy,Senegal,Defender,07/02/1986
Yoann Djidonou,Benin,Goalkeeper,17/05/1986
Melvyn Doremus,France,Forward,29/10/1996
Ali Doumbouya,Guinea,Forward,18/07/1978
BafodÃ© DramÃ©,France,Forward,04/08/1989
Sonny Duflos,France,Midfielder,08/06/1995
Olivier Ebuya,France,Forward,08/06/1990
Fritz Emeran,Rwanda,Defender,28/03/1976
Theo Epailly,France,Midfielder,10/02/1999
Patrick Etshimi,Congo DR,Forward,26/02/1989
CÃ©dric Fabien,French Guyana,Forward,31/01/1982
Jonathan Famery,France,Midfielder,13/07/1988
KÃ©vin Farade,France,Forward,01/09/1995
David FerrÃ¨re,France,Midfielder,30/05/1974
Max Ferrier,France,Forward,05/01/1937
MickaÃ«l Firmin,France,Defender,21/09/1990
Madny Fofana,France,Defender,22/03/1988
Herby Fortunat,Congo,Forward,28/06/1982
Garry Franchi,Ivory Coast,Midfielder,03/12/1983
Christophe Freitas,France,Midfielder,09/05/1981
ThÃ©o GabÃ©,France,Midfielder,02/12/1993
Thomas Gamiette,Guadeloupe,Midfielder,21/06/1986
Thomas Gaudu,France,Goalkeeper,04/04/1987
Mathieu GÃ©ran,France,Midfielder,13/10/1991
Pierre Goaziou,France,Midfielder,25/01/1983
Vincent Gragnic,France,Midfielder,23/06/1983
AdlÃ¨ne GuÃ©dioura,Algeria,Midfielder,12/11/1985
Medoune Gueye,France,Defender,28/03/1982
Rodolphe Guimard,France,Midfielder,
Mamadou Guirassy,Guinea,Forward,13/10/1995
Ulrich Hays,France,Midfielder,27/10/1973
Brice Irie-Bi,France,Midfielder,11/07/1992
Price Jolibois,France,Midfielder,29/06/1981
Abdoul Kabore,Burkina Faso,Forward,01/01/1996
Jordi Kaloukadilandi,France,Defender,19/05/1993
Souleymane Karamoko,France,Defender,29/07/1992
Boubacar KÃ©bÃ©,Burkina Faso,Forward,10/05/1987
Mamady KÃ©bÃ©,France,Defender,12/10/1982
Losseni Keita,Guinea,Defender,01/04/1984
Kingue Kingue-Milla,France,Midfielder,14/10/1983
Dramane KonÃ©,France,Forward,11/04/1992
Lassana Konte,France,Defender,24/04/1990
Mehmet Korkmaz,Turkey,Midfielder,04/05/1977
Kevin Kouang,France,Defender,17/02/1996
Ali Koulibaly,Guinea,Forward,22/06/1986
JÃ©rÃ©my Labor,France,Defender,19/03/1992
Yohan Lacroix,France,Goalkeeper,01/02/1985
Jordan Lambert,France,Forward,17/12/1980
Johan Lapeyre,France,Goalkeeper,03/08/1985
Saliou Lassissi,Ivory Coast,Defender,15/08/1978
Rosario Latouchent,France,Midfielder,21/03/1996
Jerome Lempereur,France,Forward,03/11/1973
Gilbert Lida,France,Forward,19/06/1993
Patrice Lima,France,Forward,19/12/1969
Eric Liri,Ivory Coast,Defender,12/06/1978
Ulick Lupede,Guadeloupe,Defender,01/06/1984
HervÃ© Lybohy,Ivory Coast,Defender,23/07/1983
Aboubacar Magnora,Guinea,Defender,12/05/1996
Djamal Mahamat,Libya,Midfielder,26/04/1983
GaÃ«l Maia,France,Midfielder,02/01/1984
Biko Marena,France,Midfielder,11/04/1988
SÃ©bastien Mate,France,Goalkeeper,19/09/1972
Mathieu Oliveira,Portugal,Midfielder,06/02/1993
Will-Cesaire Matimbou,France,Goalkeeper,11/02/2000
Oxence Mbani,Congo,Midfielder,05/05/1987
Jean-Claude Mbvoumin,Cameroon,Defender,05/02/1973
Anthony Menard,France,Defender,04/09/1996
Jean-Manuel Mendy,Senegal,Defender,28/03/1987
Christopher Missilou,France,Midfielder,18/07/1992
Marc Mohamed,France,Defender,15/02/1972
Benjamin Moukandjo,Cameroon,Forward,12/11/1988
SÃ©bastien Mounissamy,France,Midfielder,01/04/1982
Vedran MuratoviÄ,Croatia,Forward,04/10/1983
Amigo N'Singi,Congo DR,Forward,22/03/1982
Jonathan N'SondÃ©,France,Midfielder,16/04/1996
Junior N'Tima N'Siemi,France,Goalkeeper,16/05/1993
GrÃ©gory Nakkaa,France,Midfielder,25/10/1984
Cire Ndongo,France,Goalkeeper,30/11/1998
Khadime Ndoye,France,Forward,17/02/1992
Yanis Nesri,France,Midfielder,27/05/1997
Kevin Junior Nguechoung,Gabon,Midfielder,13/08/2000
Jules Ondjola,Congo,Defender,25/08/1988
Louckmane OuÃ©draogo,Burkina Faso,Forward,17/10/1992
Romain OuÃ©hi,Ivory Coast,Defender,10/05/1978
Julien Outrebon,France,Defender,16/06/1983
Ludovic Pancrate,Martinique,Forward,23/02/1987
Albert Patoux,France,Midfielder,28/04/1950
Kevin Penda,France,Midfielder,05/01/1991
Willem Pierre-Charles,France,Forward,26/11/1993
Xavier Pinoteau,France,Goalkeeper,12/02/1983
Vincent Pires,France,Midfielder,17/11/1995
Jean-Daniel Piwowar,France,Midfielder,17/01/1948
Pierre Planus,France,Midfielder,25/03/1979
Sylvain PoinÃ§on,France,Defender,02/09/1973
StÃ©phane Potier,France,Midfielder,09/11/1978
Erwan Quintin,France,Midfielder,01/02/1984
Yohann Rangdet,France,Forward,03/07/1980
SÃ©bastien Raphose,France,Goalkeeper,29/06/1980
Hamdi Razak,France,Forward,08/10/1985
Arnaud Ribeiro,France,Goalkeeper,06/06/1985
Anthony Ribelin,France,Midfielder,08/04/1996
Christophe Rodrigues Silva,France,Midfielder,06/02/1996
MickaÃ«l Salamone,France,Goalkeeper,27/05/1992
Vincent Scotte,France,Midfielder,16/07/1987
William Sea Nessemon,France,Forward,03/03/1992
Elhadji SidibÃ©,Senegal,Forward,07/03/1994
