Name,Country,Position,Born
Max Ahammer,Germany,Forward,16/02/1999
Felix Bachmann,Germany,Defender,22/02/2000
Philipp Bachmeier,Germany,Goalkeeper,26/04/1999
Abdul Bangura,Sierra Leone,Forward,07/11/2002
Ralph Bauer,Germany,Goalkeeper,07/06/1996
Thomas Bauer,Germany,Goalkeeper,07/02/1994
Frederic Benedix,Germany,Midfielder,22/11/2002
Thomas Berger,Germany,Midfielder,22/07/1990
Filip Bilbija,Germany,Midfielder,24/04/2000
Christoph Blabl,Germany,Defender,24/02/2001
Thomas Blomeyer,Germany,Defender,24/04/1996
Jordan Born,Germany,Defender,10/03/2000
Lukas Brandl,Germany,Goalkeeper,20/01/2002
Philipp Breuer,Germany,Midfielder,13/07/1995
Maximilian Breunig,Germany,Forward,14/08/2000
Jonas Brunner,Germany,Defender,15/02/2002
Gordon BÃ¼ch,Germany,Defender,25/10/1995
Justin Butler,USA,Forward,23/03/2001
Tjark Dannemann,Germany,Forward,13/01/1998
Philipp Danner,Germany,Midfielder,28/01/1996
Nico Dantscher,Germany,Defender,10/02/1997
Dominik Dedaj,Germany,Forward,24/08/2004
Ibrahim Devrilen,Germany,Forward,14/03/1995
Gilbert Diep,Germany,Forward,01/03/1996
Gregoire Diep,Germany,Midfielder,21/07/1997
Renato DomisliÄ,Croatia,Forward,21/07/2001
Mergim Dumani,Germany,Forward,27/05/1993
Selman El Baset,Finland,Defender,01/01/2001
Niklas Elm,Germany,Midfielder,30/03/1998
Johannes Fiedler,Germany,Midfielder,05/03/2002
Martin Finkenzeller,Germany,Midfielder,07/03/1986
Jannik Fippl,Germany,Defender,20/02/2000
Leon Fischhaber,Germany,Goalkeeper,15/06/1997
Konstatin Flassak,Germany,Defender,06/06/1994
Fabian Forisch,Germany,Defender,10/03/1999
Jens FÃ¶rtsch,Germany,Defender,14/04/1998
Yannick Fuhrmann,Germany,Midfielder,25/06/1993
Albano Gashi,Germany,Midfielder,14/01/1995
Lukas Gerlspeck,Germany,Defender,27/09/1998
Korbinian Gillich,Germany,Midfielder,11/03/1992
Ahmeti Glerdis,Kosovo,Forward,29/03/1996
Jonas Gmeinwieser,Germany,Forward,15/04/1999
Mario GÃ¶tzendÃ¶rfer,Germany,Midfielder,22/06/1996
Mario Gratzl,Germany,Midfielder,01/08/2000
Tim Greifenegger,Germany,Defender,08/10/2001
Tobias GÃ¼rtner,Germany,Defender,15/10/1993
Felix Habersetzer,Germany,Midfielder,27/06/1994
Tim HÃ¤rtel,Germany,Forward,25/02/2000
Patrick HasenhÃ¼ttl,Austria,Forward,20/05/1997
Jalen Hawkins,USA,Forward,24/01/2001
Mathias HeiÃ,Germany,Defender,24/11/1992
Philipp Herrmann,Germany,Forward,22/02/2000
Marius Herzig,Germany,Goalkeeper,17/12/1999
Elias HÃ¶ng,Germany,Midfielder,12/03/1999
Quirin Huber,Germany,Midfielder,07/05/2001
Aloy Ihenacho,Germany,Forward,21/07/1995
Serhat Imsak,Germany,Forward,30/11/1998
Gianluca Ippolito,Italy,Midfielder,29/02/2000
Jordaine Jaeger,USA,Goalkeeper,22/02/2002
Darius Jalinous,Germany,Midfielder,03/10/1997
Paul Kalischko,Germany,Forward,02/06/2003
Simon Kampmann,Germany,Midfielder,15/01/2002
Fatih Kaya,Germany,Forward,13/11/1999
Thomas Keller,Germany,Midfielder,05/08/1999
Sammy Kittel,Germany,Midfielder,20/01/2000
Emrah Klimenta,Montenegro,Defender,13/02/1991
Phillipp Knogl,Germany,Midfielder,21/01/1996
