Name,Country,Position,Born
Lukas Aeberli,Switzerland,Defender,03/01/2001
Bujar Ajeti,Switzerland,Defender,07/07/2002
Izer Aliu,Switzerland,Midfielder,15/11/1999
Philipp Allemann,Switzerland,Forward,10/01/1997
Gianni Antoniazzi,Switzerland,Defender,05/09/1998
Soheil Arghandewall,Germany,Midfielder,19/08/2001
Leandro Aversa,Switzerland,Midfielder,12/06/2002
Liridon Berisha,Switzerland,Defender,13/09/1997
Trevis Binder,Switzerland,Midfielder,23/07/1997
Lukas Bolzli,Switzerland,Goalkeeper,15/03/2000
David Brunner,Switzerland,Defender,10/10/2002
Kenith Catari,Switzerland,Defender,11/05/1999
Marin Cavar,Switzerland,Defender,18/06/1999
Diego Corvalan,Switzerland,Midfielder,17/02/2002
Marco ÄuriÄ,Switzerland,Defender,04/05/2003
Arlind Dakaj,Switzerland,Midfielder,13/10/2001
Meo Dalgic,Switzerland,Defender,26/09/2000
Valdrin Dalipi,Switzerland,Midfielder,20/07/2001
Yaro de Carvalho,Switzerland,Forward,23/05/2002
Luka Deronjic,Switzerland,Goalkeeper,11/03/2002
Matteo di Giusto,Switzerland,Forward,18/08/2000
Fabio Dixon,Switzerland,Defender,21/06/1999
Vernon Doe,Switzerland,Midfielder,14/08/1999
Toni Domgjoni,Croatia,Midfielder,04/09/1998
Colin Erdin,Switzerland,Defender,27/12/2002
Basil Erne,Switzerland,Defender,02/06/2000
Junior Eyamba,Switzerland,Forward,27/06/2001
Nico Feusi,Switzerland,Goalkeeper,07/06/2001
Marc Figueiredo,Switzerland,Midfielder,18/06/1999
Filip Frei,Switzerland,Defender,07/01/2001
Luka Frei,Switzerland,Midfielder,07/01/2001
Alain Fuchs,Switzerland,Defender,02/01/2001
Guillaume Furrer,Switzerland,Forward,28/01/2001
Adhurim Gashi,Switzerland,Midfielder,20/06/2000
Giovanni Giallongo,Switzerland,Defender,20/03/1996
Heroid Gjoshi,Albania,Midfielder,18/05/1997
Milos Grujicic,Switzerland,Forward,22/01/2001
Kedus Haile-Selassie,Switzerland,Forward,07/01/2002
Maren Haile-Selassie,Switzerland,Forward,13/03/1999
Mats Hanke,Switzerland,Midfielder,29/09/2003
Calvin Heim,Switzerland,Goalkeeper,18/09/2000
Selmin Hodza,Switzerland,Defender,24/05/2003
Andi Hoti,Switzerland,Defender,02/03/2003
Lenny Janko,Switzerland,Defender,05/02/2002
Stefan JovanoviÄ,Serbia,Defender,18/07/1998
ArbÃ«r Jusufi,Switzerland,Midfielder,19/03/2002
Tim KÃ¤gi,Switzerland,Forward,21/06/2002
Filip Kangeman,Sweden,Forward,11/04/2001
Andy KÃ¤ppeli,Switzerland,Goalkeeper,28/01/2002
