Name,Country,Position,Born
Mohamed Aggoun,France,Midfielder,2002
Steven Ako,France,Defender,14/03/1999
Tijany Atallah,France,Defender,12/03/2003
Dilane Bakwa,France,Forward,26/08/2002
Yassine Benrahou,France,Midfielder,24/01/1999
Messie Biatoumoussoka,France,Defender,05/06/1998
Abdoulaye Bomou,France,Midfielder,14/01/1999
Tom Bonhoure,France,Defender,26/03/2002
Arthur Brebion,France,Goalkeeper,20/01/2002
Thomas Carrique,France,Defender,26/02/1999
Alexandre Celerier,France,Midfielder,24/04/2001
Till Cissokho,France,Defender,08/02/2000
Allan Clement,France,Forward,12/01/2001
Mayverick Compper,France,Defender,29/10/2001
RaphaÃ«l Crivello,France,Defender,16/02/1998
Hugo Danjou,France,Forward,12/03/2001
Anthony Dekono,France,Defender,07/10/2000
Logan Delaurier-Chaubet,France,Midfielder,22/04/2002
Emeric Depussay,France,Midfielder,27/08/2001
Abou Diallo,France,Midfielder,28/02/2002
Augusto DÃ­az,Argentina,Forward,03/03/1992
David Djigla,Benin,Forward,23/08/1995
Marc Olivier Doue,France,Midfielder,11/10/2000
ClÃ©ment Dupuy,France,Midfielder,2002
Steeve Eboa,France,Defender,20/02/2001
Tom Gaston,Ireland,Defender,18/02/2001
Walid Gharnout,France,Forward,13/02/2002
Karamba KeÃ¯ta,France,Defender,26/01/2000
Christian Konan,Italy,Forward,12/07/1999
Jules KoundÃ©,France,Defender,12/11/1998
Grzegorz Krychowiak,Poland,Defender,29/01/1990
Hnasselen Kutran,New Caledonia,Defender,10/01/2002
Tom Lacoux,France,Midfielder,25/01/2002
Brendan Lebas,France,Midfielder,12/01/2001
Simon Lefebvre,France,Goalkeeper,06/05/1997
FÃ©lix LemarÃ©chal,France,Midfielder,07/08/2003
Darren Lima Semedo,France,Goalkeeper,27/04/2002
Albert Makiadi,France,Midfielder,11/07/1997
JÃ©rÃ©my Malamba Kanza,France,Defender,21/01/2002
Tidiane Malbec,France,Goalkeeper,03/11/2001
NdziÃ© Manga,France,Defender,2002
SÃ©kou Mara,France,Forward,30/07/2002
Robin Maulun,France,Midfielder,23/11/1996
Corentin Michel,Belgium,Goalkeeper,20/03/2000
ThÃ©o Minard,France,Midfielder,24/02/2001
MichaÃ«l Nilor,France,Forward,16/04/1998
Malhory Noc,France,Midfielder,09/01/1998
Rudy Orea,France,Midfielder,04/06/2002
Johab Pascal,France,Midfielder,10/03/2000
GaÃ«tan Poussin,France,Goalkeeper,13/01/1999
Quentin Ranquine,France,Midfielder,18/03/2002
Valentin Rey,France,Defender,06/03/2000
Lucas Rocrou,France,Forward,27/03/2003
Davy Rouyard,France,Goalkeeper,17/08/1999
David Sambissa,France,Defender,11/01/1996
Sacha Semaoun,France,Forward,07/02/2001
Manuel Semedo Da Veiga,France,Forward,20/01/2000
KÃ©vin Soni,Cameroon,Midfielder,17/04/1998
Ismael Sow,France,Defender,19/02/2001
Julien StÃ©phane,France,Midfielder,18/09/1980
Ervin Taha,France,Forward,14/03/1999
AurÃ©lien TchouamÃ©ni,France,Midfielder,27/01/2000
Jean-Marc Tiboue,France,Midfielder,14/03/2000
Amadou TraorÃ©,France,Forward,07/03/2002
Mathieu Valbuena,France,Midfielder,28/09/1984
Alexis Wolff,France,Goalkeeper,29/01/2001
Hamidou Yameogo,France,Forward,22/03/2002
Zaydou Youssouf,France,Midfielder,11/07/1999
Junah Zuccolotto,France,Midfielder,10/03/2003
