Name,Country,Position,Born
Arnold Abelinti,French Guyana,Forward,09/09/1991
Samy Alouache,France,Midfielder,21/10/1994
SÃ©Ã¯dou BarazÃ©,Benin,Defender,20/10/1990
Loody Bellamy,France,Defender,01/05/1994
Adrien Brun,France,Midfielder,05/01/1996
Lenny Christopher,France,Forward,19/01/1998
Anthony Civet,France,Defender,01/04/1997
Jean-Christophe Colard,France,Goalkeeper,29/08/1980
Quentin Deniaud,France,Midfielder,08/10/1988
Gabin Diot,France,Forward,20/08/1998
Marvyn Gallien,France,Midfielder,26/02/1999
Cyril Guillou,France,Defender,17/12/1984
JÃ©rÃ©mie Hardouin,France,Midfielder,06/10/1989
Julien Kouadio,France,Defender,22/09/1999
Nganga Loubassa,France,Defender,
Benjamin Margottat,France,Forward,11/01/2000
Jonathen Millieras,France,Goalkeeper,19/05/1993
Jordan Millot,France,Midfielder,23/10/1990
Nicolas Morette,France,Goalkeeper,
Anthony Racollet,France,Forward,20/12/1999
GrÃ©gory Rouchon,France,Defender,24/09/1983
Francis Sudre,France,Midfielder,05/03/1996
Ibrahima TourÃ©,France,Midfielder,26/03/1997
Nathan VitrÃ©,France,Defender,03/03/1998
